l_ukrainian:
 # New Manchu culture
 manchu_new:0 "Maньчжуpcьк"
 the_mountain_khanate_desc:0 "Чагатайське ханство лежить укрите між озером Балхаш та горами Тянь-Шань. Це сувора і невблаганна земля, яку наш народ може використати як зброю проти потенційних загарбників."
 sons_of_chagatai:0 "Сини Чагатай Хана"
 sons_of_chagatai_desc:0 "Нинішній хан Чагатая веде свій рід від Чагатай Хана, другого сина Чингісхана, який колись правив цими землями та створив потужну державу-спадкоємицю Монголії. Хоча ця імперія зараз розділена між Чагатаєм, Яркендом та Трансоксанією, нинішні хани все ще мають велику легітимність, апелюючи до спадщини свого предка."
 CHG_chagatai_literature:0 "Чагатайська література"
 CHG_chagatai_literature_desc:0 "Чагатайська мова східних степів широко вживається аж до Тимуридської імперії для переносу думок та ідей великого монгольського роду. Ми повинні сприяти використанню нашої рідної мови та дозволити чагатайським літературним традиціям процвітати."
 CHG_border_wars:0 "Безперервні прикордонні війни"
 CHG_border_wars_desc:1 "Затиснуті між Китайською імперією, тимуридами, узбеками та ойратами, ми стикаємося з постійною боротьбою за збереження наших кордонів. Наші вічно пильні солдати мають численні можливості відточувати свої вміння в бою, породжуючи загартованих воїнів, готових повернути спадщину великого хана."
 CHG_constant_scheming:0 "Інтриги знаті"
 CHG_constant_scheming_desc:0 "Постійна боротьба за владу між різними князями, місцевими дворянами, містами та племенами Чагатайського ханства створила націю майстерних інтриганів та політиків. Якщо ми зможемо припинити свої сварки та спрямувати цю енергію на те, щоби перехитрити наших ворогів, це дало би велику перевагу нашому народові."
 #Korean Missions
 KOR_has_factional_upheaval_tooltip2:1 "Сталася подія §YТретя літературна чистка§!."
 is_rivalled_by_root:0 "Суперник §Y[Root.GetName]§!."
 have_at_least_7point5_more_discipline:1 "Дисципліна перевищує §G107.5%§!"
 #A trigger
 TOTAL_OWN_AND_NON_TRIBUTARIES_DEVELOPMENT_AT_LEAST:1 "Загальний власний та розвиток суб'єктів-неданників становить щонайменше $VAL|Y$ (зараз $CURRENT|0Y$).\n"
 TOTAL_OWN_AND_NON_TRIBUTARIES_DEVELOPMENT_LESS_THAN:1 "Загальний власний та розвиток суб'єктів-неданників менше $VAL|Y$ (зараз $CURRENT|0Y$).\n"
 #EoC Rebalance
 new_mandate_holder:0 "Нова імператорська династія"
 desc_new_mandate_holder:0 "Відновивши порядок у Піднебесній, наша династія переживає хвилю популярності серед наших нових підданих."
 waging_war_for_china:0 "Війна за Піднебесну імперію"
 desc_waging_war_for_china:0 "Наші піддані вітають зусилля щодо возз'єднання Піднебесної імперії та повернення земель, що вийшли з-під контролю, назад у наші руки."
 #Ming Crisis additions
 ming_crisis.8.t:0 "Криза вщухає"
 ming_crisis.8.d:0 "Із втратою Небесного мандата, частина тиску на нашу династію зменшилася. Хоча в майбутньому нас чекає безліч випробувань, ми можемо залишити отруєну чашу управління Небесною Імперією [emperor_of_china.GetAdjective]ому [emperor_of_china.Monarch.GetTitleOMU]."
 ming_crisis.8.a:0 "Нехай вдавляться."
 #Korean flavour events
 kor_reforms_of_third_literati:0 "Учені реформи"
 desc_kor_reforms_of_third_literati:0 "Було здійснено низку масштабних реформ для омолодження корейської нації шляхом вдосконалення управління та підвищення загального процвітання народу."
 opinion_KOR_supported_war_for_north:0 "Підтримали війну з чжурчженями в Юкчині"
 #Evenk Ideas
 evenk_ideas:0 "Евенкські ідеї"
 evenk_ideas_start:0 "Евенкські традиції"
 evenk_ideas_bonus:0 "Евенкські амбіції"
 evenk_family_brigades:0 "Сімейні загони"
 evenk_family_brigades_desc:0 "Багато евенків живуть сімейними громадами, добре знають місцевість і дику природу цього району. Вони здатні виживати навіть в найнесприятливіших умовах і легко пересуваються по своїй території."
 evenk_reindeer_herds:0 "Оленярство"
 evenk_reindeer_herds_desc:0 "Евенкійська практика оленярства дозволяє нам долати великі відстані, щоб торгувати хутром, продуктами природи та іншими товарами, і бути завжди винахідливими в боротьбі за виживання в безплідному середовищі, яке ми називаємо нашим домом."
 event_self_sufficiency:0 "Самодостатність"
 event_self_sufficiency_desc:0 "Евенки можуть вижити в будь-якому місці та з готовністю навчать іноземців цих навичок, що дозволить нам залучити інших до образу життя евенків."
 evenk_siberian_resources:0 "Сибірські ресурси"
 evenk_siberian_resources_desc:0 "Природні ресурси сибірської тундри і тайги дають матеріали для будівництва, що сприяє розвитку міст."
 evenk_mongolian_deel:0 "Монгольські делі"
 evenk_mongolian_deel_desc:0 "Обмінюючи наші хутра на традиційний монгольський одяг, ми могли б ефективніше залучати монгольських найманців, завдяки нашій схожості на їхніх лідерів. Вони потечуть до нас юрбами, готові в будь-який момент виступити проти наших ворогів."
 evenk_love_of_the_forest:0 "Любов до лісу"
 evenk_love_of_the_forest_desc:0 "Ніхто не знає ліси цієї землі краще за нас. Ми можемо пересуватися швидко та безшумно. Наші генерали навчилися з легкістю перетинати місцевість, яка іншим здасться непрохідною, тож ми можемо використовувати це як перевагу в битвах."
 evenk_new_ways_to_hunt:0 "Нові способи полювання"
 evenk_new_ways_to_hunt_desc:0 "Обмін вогнепальної зброї на хутра та оленів, відкрив нам нові способи полювання та здобуття перемог у битвах. Вогнепальна зброя може стріляти на більші відстані, ніж наші традиційні луки, та наносити більше шкоди, ніж наші ножі."
 # Uzbek provinces
 PROV4684:0 "Джеменіка"
 PROV_ADJ4684:0 "Джеменікаськ"
 PROV4685:0 "Карагандія"
 PROV_ADJ4685:0 "Карагандинськ"
 PROV4686:0 "Екібастуз"
 PROV_ADJ4686:0 "Екібастузьк"
 PROV4687:0 "Імакія"
 PROV_ADJ4687:0 "Імакійськ"
 PROV4688:0 "Бараба"
 PROV_ADJ4688:0 "Барабаськ"
 PROV4689:0 "Ом"
 PROV_ADJ4689:0 "Омськ"
 PROV4690:0 "Ішим"
 PROV_ADJ4690:0 "Ішимітськ"
 PROV4691:0 "Ес"
 PROV_ADJ4691:0 "Еськ"
 PROV4692:0 "Тургай"
 PROV_ADJ4692:0 "Тургайськ"
 PROV4693:0 "Керія"
 PROV_ADJ4693:0 "Керійськ"
 aqmola_area:0 "Акмола"
 aqmola_area_name:0 "Акмола"
 aqmola_area_adj:0 "Акмоланськ"
 # Modifier descs
 JAP_siberian_intervention_tt:0 "Кожна провінція, що належить нам в регіоні §YСхідна Сибір§!, отримає модифікатор '§YСибірський бум§!' на §Y10 років§!, який надасть такі ефекти:\nМісцеве виробництво товарів: §G+15.0%§!"
 desc_JAP_siberian_boom:0 "Інвестиції в Сибір привабили в регіон низку дослідників і шукачів пригод, що підвищило продуктивність."
 desc_JAP_gokaido_stations:0 "Подорожні станції вздовж найголовніших доріг в області не тільки полегшують подорож, але й впливають на популярність центральної влади у віддалених областях."
 desc_JAP_sankin_kotai_modifier:1 "Розміщення великої групи лордів-даймьо, які постійно переміняються, у столиці зробив уряд особливо майстерним в одночасному розв'язанні багатьох дипломатичних питань."
 desc_JAP_social_hierarchy:0 "У нашій державі кожен знає своє місце."
 desc_JAP_indochinese_trade:0 "Торговельні судна, наділені урядовим дозволом 'червоної печатки', користуються особливим захистом і привілеями, що робить торгівлю для них набагато менш ризикованою."
 desc_JAP_trade_hegemon:0 "Наша торгівля і промисловість не мають собі рівних, а представників наших найбільших торговельних кланів можна знайти в будь-якій точці світу."
 desc_JAP_cadastral_surveys:0 "Дослідження сільської місцевості на предмет прихованих угідь виявили нові джерела прибутку для уряду."
 desc_JAP_currency_regulations:0 "Безпечні кредити полегшили фінансування нових будівельних проектів по всій країні."
 desc_JAP_sengoku_contender:1 "Серед всіх протиборчих держав ми довели, що є силою, з якою треба рахуватися, а наша сила отримала визнання як всередині, так і за межами нашої області."
 #More Additions to Chinese Crises
 ming_crisis.9.t:0 "Втручання в кризу [From.GetAdjective]ої династії"
 ming_crisis.9.d:0 "[From.GetAdjective]ий Імператор втратив контроль над північчю. Селянський воєначальник Лі Цзичен зібрав велику кількість повстанців і бандитів під своїм командуванням і захопив контроль над містом [CSH.Capital.GetCapitalName], проголосивши себе імператором Китаю. Цей момент [From.GetAdjective]ої слабкості являє собою ідеальну для нас можливість захопити контроль над північним Китаєм і, якщо все піде добре, – і якщо ми вважаємо за потрібне здійснити це – створити підґрунтя для власної претензії на Небесний Мандат."
 ming_crisis.9.A:0 "Ми рушаємо на війну!"
 ming_crisis.9.B:0 "Наш час ще не настав."
 empire_of_china_nomadic_border_events.3.t:0 "Страх перед кочовиками"
 empire_of_china_nomadic_border_events.3.d:0 "[From.Monarch.GetTitle] проявляє слабкість в подоланні нашої загрози і серед [From.Monarch.GetHerHis] [From.GetAdjective]их підданих почався незадоволений гомін. Оскільки наша влада продовжує зростати, можна очікувати, що цей гомін звучатиме голосніше."
 empire_of_china_nomadic_border_events.3.opt:0 "Нам потрібно тільки дочекатися їхнього краху."
 empire_of_china_nomadic_border_events.3.tooltip:0 "Держава §Y[From.GetName]§!:\nМає §R10%§! прогресу лиха §YНезахищений від кочовиків кордон§!."
 empire_of_china_nomadic_border_events.4.t:0 "[From.GetUsableName] в паніці"
 empire_of_china_nomadic_border_events.4.d:0 "[From.GetAdjective][From.Monarch.GetMEndAYJ] [From.Monarch.GetTitleKHTO] зіштовхну[From.Monarch.GetMEndVSja] із серйозним опором у боротьбі зі страхом, що відчувають перед нами жителі [From.GetUsableNameOGO]. Наші шпигуни в їхніх лавах очікують, що дуже скоро невдоволення переросте у відкрите повстання і крах влади [From.Monarch.GetTitleOGO]... що надасть нам ідеальну можливість захопити багатства Китаю."
 empire_of_china_nomadic_border_events.4.opt.manchu:0 "Скликайте корогви!"
 empire_of_china_nomadic_border_events.4.opt:0 "Китай буде наш!"
 empire_of_china_nomadic_border_events.4.tooltip:0 "§Y[From.GetName]§!:\nМає §R75%§! прогресу лиха §YНезахищений від кочовиків кордон§!."
 empire_of_china_nomadic_border_events.5.t:0 "[emperor_of_china.GetAdjective]е занепокоєння слабшає"
 empire_of_china_nomadic_border_events.5.d:0 "Оскільки нас більше не вважають загрозою для імператора [emperor_of_china.GetUsableNameOGO], його піддані знову задоволені своїм правителем."
 empire_of_china_nomadic_border_events.5.d.disaster:0 "Занепокоєння з приводу нашої загрози затьмарилось іншими грізними ознаками імператору [emperor_of_china.GetUsableNameOGO], що загрожують внутрішній єдності держави. Тепер прийшов час завдати удару!"
 empire_of_china_nomadic_border_events.5.opt:0 "Безталанний."
 #Shun Ideas
 CSH_ideas:0 "Ідеї Великої Шунь"
 CSH_ideas_start:0 "Традиції Великої Шунь"
 CSH_ideas_bonus:0 "Амбіції Великої Шунь"
 shun_humble_beginnings:0 "Скромне походження"
 shun_humble_beginnings_desc:0 "Династія Шунь починалася як заколот проти влади Мін, повстання фермерів і селян, втомлених від збирачів податків та їхніх господарів, які висмоктують з них усі соки. Наші люди радше візьмуться за зброю, ніж будуть змушені страждати від ще більших злигоднів і голоду."
 shun_dashing_king:0 "Дженджурний король"
 shun_dashing_king_desc:0 "Лідер Шунь отримав прізвисько Дженджурний Король. Офіційно прийнявши цей титул і використовуючи його в наших стосунках із закордонними сановниками, ми можемо підвищити свою репутацію як у країні, так і за кордоном."
 shun_hidden_treasury:0 "Приховане багатство"
 shun_hidden_treasury_desc:0 "Ми скасували стару систему виплати податків зерном, що дозволило землевласникам Шунь зберігати більшу частину своїх доходів, з яких вони можуть заплатити своїм солдатам за службу, своїм фермерам за ведення господарства, а своїм дипломатам за представлення їх за кордоном. Це також означає, що при необхідності нам є у кого позичити гроші."
 shun_obedient_to_heaven:0 "Покірні небу"
 shun_obedient_to_heaven_desc:0 "Обране ім'я династії означає 'покірні небу'. Відповідно до цього імені наші війська дали клятву вірності нашому правителеві, якого вони вважають єдиним володарем небесної влади. У зв'язку з цим вони готові тренуватися старанніше і стати дисциплінованішими, щоб забезпечити славний результат у боях."
 shun_perfection_of_sieging:0 "Досконалість в облозі"
 shun_perfection_of_sieging_desc:0 "Ми знайшли нові способи застосування пороху в облоговій війні та розробили ефективні методи проламування і руйнування фортечних стін. За допомогою цих методів ми можемо успішно осаджувати навіть найнеприступніші фортеці та з легкістю захоплювати та утримувати провінції під час воєн."
 shun_from_sticks_to_guns:0 "Від палиць до гармат"
 shun_from_sticks_to_guns_desc:0 "Наші війська навчені використовувати як ручну, так і стрілецьку зброю. Наші солдати можуть виконувати будь-які завдання за допомогою будь-якої зброї: палиць, мечів, ножів, луків та вогнепальної зброї. Їхня універсальність дає їм можливість домінувати на полі бою."
 shun_claim_to_the_mandate:0 "Претензія на Мандат"
 shun_claim_to_the_mandate_desc:0 "Хоча наша династія походить з низів, завдяки своїй силі та справедливості ми залучили на свій бік як знать, так і простолюд. Тепер нас вважають гідними претендентами на Небесний мандат, династією, що законно панує землями Китаю."
