l_ukrainian:
 flavor_ter.1.t:0 "Прянощі мають текти неспинно"
 sio_fight_the_iroquois_desc:0 "Intertribal warfare for land and resources is one of the oldest forms of warfare. The Iroquois tribes occupy a prominent position near the Great Lakes, taking great advantage of the prosperity of that land. We shall also get our share."
 sio_bellicose:0 "Bellicose"
 desc_sio_bellicose:1 "Our men have been inspired by their fellow warriors' combative spirits."
 sio_warrior_society_title:0 "Warrior Society"
 sio_warrior_society_desc:0 "Our best warriors take full responsibility for the training of our youth, both for fighting and hunting purposes. This elite training has increased the reputation of our army.."
 sio_warrior_society:0 "Elite Training"
 desc_sio_warrior_society:0 "A strict training has increased the discipline of our troops."
 sio_european_trade_title:0 "European Trade"
 sio_european_trade_desc:0 "Trading only for economic purposes shows greed and selfishness. What our people could need to survive, we already have, and we have effortlessly lived for generations past. To accept these foreign offers, bounds need to be created. The secrets of our richness shall not be easily disclosed."
 iroquois_food_surplus_title:0 "Food Surplus"
 iroquois_food_surplus_desc:0 "Our food production has reached a level that guarantees the well-being of our people. We could use that extra corn to trade with other tribes."
 che_principal_people_title:0 "Principal People"
 che_principal_people_desc:0 "The name of our people in our own language is Aniyunwiya, the principal people. We hold that name because our tribe is destined for greatness and, if we wish to fulfill that destiny, we need to start increasing our prestige."
 che_the_seven_clans:0 "The Seven Clans"
 desc_che_the_seven_clans:0 "Our diplomatic reputation has grown thanks to the prestige of our nation."
 che_the_council_house_title:0 "The Council House"
 che_the_council_house_desc:0 "A Council House is the center of each of our villages. Our leader rules from there, weddings and meetings are held inside it and it works as a symbol of our diplomatic power. We should invite some allies to come and see it with their own eyes."
 che_conciliatory_views:0 "Conciliatory Views"
 che_white_government_title:0 "White Government"
 che_white_government_desc:0 "The White Government makes the decisions in times of peace. Our advisors, counselors, messengers and priests take part in it, as well as our ruler. It is their duty to ensure that such peace is maintained."
 che_red_government_title:0 "Red Government"
 che_red_government_desc:0 "The Red Government makes the decisions in times of war. Our war counselors, war speakers and great warriors take part in it, as well as our ruler. It is their duty to lead us toward victory."
 che_thunder_and_lightning_title:0 "Thunder and Lightning"
 che_thunder_and_lightning_desc:0 "We have achieved greatness in times of both peace and war, times of hardship and ease. The final step to fulfill the destiny that has been gifted to us is to reach total reliability."
 che_the_cave_country_title:0 "The Cave Country"
 che_the_cave_country_desc:0 "One of the many names given to our people means “those who inhabit the cave country”, and it is, in fact, a name that suits us. The land surrounding our villages is as steep as our people’s nature."
 che_tunnels:0 "Tunnel Construction"
 desc_che_tunnels:1 "This investment in effective infrastructures has improved our travel time."
 che_botanical_exports_title:0 "Botanical Exports"
 che_botanical_exports_desc:0 "Many plants grow in our fertile soil, and many of them hold interesting properties. Some may be used for healing, but others are more inclined to do harm; both types equally powerful. We should use these resources to improve our international trade."
 che_black_drink:0 "Black Drink"
 desc_che_black_drink:0 "Thanks to our most renowned beverage, trade has been a great success."
 che_the_beloved_woman_title:0 "The Beloved Woman"
 che_the_beloved_woman_desc:0 "A Ghigau, or Beloved Woman, is chosen for her bravery in battle, her wisdom in life and her integrity and devotion to the truth. It would be a great honor to have one in our own court."
 che_mother_clan:0 "Mother Clan"
 desc_che_mother_clan:0 "Our Beloved Woman has inspired other women to follow her steps."
 che_perfect_stability:0 "Perfect Stability"
 desc_che_perfect_stability:0 "Living a stable life has ensured that our scholars can focus on intellectual matters."
 che_effective_remedies:0 "Effective Remedies"
 desc_che_effective_remedies:0 "Our army can quickly recover thanks to our botanical knowledge."
 platform_mounds_reward_tooltip:0 "Every owned province with a Palisade or a Fortified House will gain 25% local defensiveness."
 che_conciliatory_views_tooltip:0 "Our totemist allies will increase their opinion of us by +50."
 rebuilding_the_towns:0 "Rebuilding the Towns"
 desc_rebuilding_the_towns:0 "We will make our towns and hamlets bigger and more powerful than they were before!"
 grain_production_improved:0 "Grain Production Improved"
 desc_grain_production_improved:0 "Thanks to the efforts made by our people to improve our farming capacities our grain stocks will be greatly enhanced."
 pow_just_around_the_riverbend_title:0 "Just Around the Riverbend"
 pow_just_around_the_riverbend_desc:0 "Canoes are not only important symbols of our culture, but also an essential part of our lives when it comes to traveling, fishing, trading and even warfare. Making sure we have a good amount of them will help us in all these activities."
 pow_beyond_the_shore:0 "Beyond the Shore"
 desc_pow_beyond_the_shore:0 "Our canoes are both admired and feared."
 pow_head_of_navigation_title:0 "Head of Navigation"
 pow_head_of_navigation_desc:0 "The next step when defining our naval power implies finding someone worthy of commanding our ships. We shall appoint one of our greatest warriors as our admiral."
 pow_mouth_of_the_river:0 "Mouth of the River"
 desc_pow_mouth_of_the_river:0 "The morale of our navy increases with the excellent leadership of their admiral."
 pow_powhatan_fleet_title:0 "Powhatan Fleet"
 pow_powhatan_fleet_desc:0 "Our fleet is now powerful enough to intimidate any of our enemies. However, this does not end here; or rather, it starts here. Using our impressive fleet to transport our army will increase our power in war."
 pow_yehakins_title:0 "Yehakins"
 pow_yehakins_desc:0 "Our houses are made of young saplings and woven mats or bark. Making sure our village has enough room for growth will attract more people and result in a rich and prosperous society."
 pow_leeroy_yehakins:0 "Leeroy Yehakins"
 desc_pow_leeroy_yehakins:0 "He just ran in."
 pow_weroance_title:0 "Weroance"
 pow_weroance_desc:0 "Each of our tribes must be commanded by a capable leader, called weroance, all under the power of one single paramount chief. They make decisions in times of both war and peace, leading our people towards victory. It is time for us to choose a new one."
 pow_tsenacommacah_title:0 "Tsenacommacah"
 pow_tsenacommacah_desc:0 "Our native homeland is famous for being densely inhabited due to the good fortune of the soil and the affluence of abundant dwellers. We must ensure that we own enough territory to harbor our entire population."
 pow_the_laughing_king_title:0 "The Laughing King"
 pow_the_laughing_king_desc:0 "Being a gallant warrior is not the only significant quality in a chief, as loyalty is equally as important. The nobility of the great Laughing King is unparalleled and having him by our side will be the greatest of honors."
 pow_yehakins_effect:0 "Every owned province with a Fortified House or a Longhouse will be fortified."
