l_english:
 ###ETH FLAVOR EVENTS###
 flavor_eth.29.t:0 "The Itinerant Capital of [Root.GetName]"
 gen_hoa_convert_60_provinces_tooltip_tt:1 "Провінції регіону §YАфриканського Рогу§! повинні свовідувати релігію §Y[Root.Religion.GetName]§!."
 gen_hoa_convert_30_provinces_tooltip_tt:0 "Конвертовано щонайменше 30 провінцій регіону."
 gen_hoa_join_forces_title:0 "Об'єднайте зусилля"
 gen_hoa_join_forces_desc:0 "Дорога була довгою і важкою для наших васалів, але тепер вони готові. Ми вітаємо їх з розпростертими обіймами в нашій великій державі і разом ми принесемо віру та процвітання землі."
 gen_hoa_join_forces.tooltip:0 "Країна дипломатично анексувала кожного язичницького васала."
 gen_hoa_become_great_power_title:0 "Світло рогу"
 gen_hoa_become_great_power_desc:0 "Зараз світ набагато більший, ніж за часів наших предків. Великі держави формують землю за своєю волею. Ми не можемо дозволити тим невірним гігантам чинити з ним так, як вони вважають за потрібне; замість цього ми повинні зібратися разом, підняти смолоскип віри та направити гордий народ Африканського Рогу до раю."
 gen_hoa_great_power_modifier:0 "Світло рогу"
 desc_gen_hoa_great_power_modifier:0 "Велику державу, яка веде народ Африканського Рогу, знають і шанують у кожному куточку Землі."
 gen_hoa_prepare_for_war_title:0 "Готуйся до війни"
 gen_hoa_prepare_for_war_desc:0 "За межами наших кордонів у нас все ще є багато ворогів, язичників, які слідують за страшними богами і які хочуть призвести до нашої загибелі. Треба якнайшвидше зібратися з силами і підготуватися до невідворотної війни."
 gen_hoa_attack_the_heathens_title:0 "Нападіть на язичників"
 gen_hoa_attack_the_heathens_desc:0 "Зусилля нашого народу дали результат, і наша армія нарешті готова захищати нашу Батьківщину. Тепер, коли ми маємо перевагу, ми повинні атакувати язичників і забрати ресурси, які вони накопичують, перш ніж вони зможуть об’єднатися і атакувати нас."
 gen_hoa_attack_the_heathens.tooltip:0 "Має свою столицю на §YАфриканському Розі§!."
 gen_hoa_horn_bravery_modifier:0 "Відвага правидників"
 desc_gen_hoa_horn_bravery_modifier:0 "Наші воїни славляться своєю лютістю і нещадністю до ворогів нашої віри."
 gen_hoa_expand_borders_title:0 "Розширюємо наші кордони"
 gen_hoa_expand_borders_desc:0 "Кордони нашої держави недостатньо великі, щоб охопити нашу грандіозну долю, ми повинні розширити їх і використати всі наявні в них ресурси для здійснення наших мрій про безпечне та процвітаюче майбутнє."
 gen_hoa_unify_the_horn_of_africa_title:0 "Об’єднайте Африканський ріг"
 gen_hoa_unify_the_horn_of_africa_desc:0 "Часи заворушень і війн між народоми Рогу наближаються до кінця. Ми об’єднаємо кожне плем’я і кожен народ під нашим прапором і приведемо їх до процвітаючого і мирного майбутнього."
 gen_hoa_unify_horn_modifier:0 "Об'єднати ріг"
 desc_gen_hoa_unify_horn_modifier:0 "Тепер усі радіють, що Африканський ріг нарешті об’єднався у спільну державу."
 gen_hoa_favor_church_title:1 "Надавайте перевагу [Root.GetChurchOrFallbackName]"
 gen_hoa_favor_church_desc:1 "Наш край завжди був розділений, а народ обдурений фальшивими культами. Давайте покінчимо з цим, підтримавши [Root.GetChurchOrFallbackName] у їхній місії показати кожному язичнику помилку їхніх шляхів і залучити їх у лоно."
 gen_hoa_convert_conquered_title:0 "Конвертуйте підкорених"
 gen_hoa_convert_conquered_desc:0 "Коли нові провінції приєднуються до нашої великої держави, наш обов’язок – навчати тих, хто в нашій опіці, шляху до спасіння. Тільки вірні можуть повністю інтегруватися в нашу країну і приєднатися до своїх співгромадян у нашій славній долі."
 gen_hoa_convert_conquered_modifier:0 "Конвертуйте підкорених"
 desc_gen_hoa_convert_conquered_modifier:0 "Ті, хто перебуває під нашим захистом, повинні дотримуватися наших традицій і з вдячністю прийняти своє спасіння."
 gen_hoa_convert_the_horn_title:0 "Зберегти ріг"
 gen_hoa_convert_the_horn_desc:0 "Велика доля нашої держави – вести людство до спасіння, і, зробивши справжню релігію панівною в розі, ми зробимо перший крок у наше майбутнє."
 gen_hoa_convert_the_horn_modifier:0 "Священний ріг"
 desc_gen_hoa_convert_the_horn_modifier:0 "Народи Африканського Рогу нарешті об’єдналися під єдиною правдивою вірою."
 gen_hoa_stabilize_economy_mission_title:0 "Стабілізувати економіку"
 gen_hoa_stabilize_economy_mission_desc:0 "Нестабільність нашого регіону – це чудова можливість для тих, хто достатньо сміливий, щоб нею скористатися. Ми повинні зробити все можливе, щоб збільшити дохід держави та підготуватися до прийдешніх тривожних часів."
 gen_hoa_stabilize_economy_mission.tooltip:0 "Не має позик із маєтків."
 gen_hoa_developing_economy_modifier:0 "Економіка, що розвивається"
 desc_gen_hoa_developing_economy_modifier:0 "Економіка нашої країни знову набула сили і створює нові можливості для наших людей."
 gen_hoa_build_temples_title:0 "Кам'яні храми"
 gen_hoa_build_temples_desc:0 "Новостворене багатство держави тепер має повернутися до народу. Ми виконаємо свій обов’язок милосердя, відбудовуючи храми та інфраструктуру нашої віри."
 gen_hoa_build_temples_modifier:0 "Нові храми"
 desc_gen_hoa_build_temples_modifier:0 "Благоустрій нашої столиці та будівництво нових храмів заспокоюють наших підданих і дають їм надію на майбутнє."
 gen_hoa_build_trade_navy_title:0 "Побудувати флот"
 gen_hoa_build_trade_navy_desc:0 "Наш народ має великі торгові традиції, але ми завжди торгували з іноземцями, які приїжджали на наші береги, тепер настав час побудувати великий торговий флот, щоб подорожувати в далекі країни і приносити найкращі багатства."
 gen_hoa_trade_navy_modifier:0 "Торговий флот"
 desc_gen_hoa_trade_navy_modifier:0 "Великий флот нашої держави готовий будь-якою ціною приносити нашим людям прибуток."
 gen_hoa_control_coastline_title:0 "Контролюйте берегову лінію"
 gen_hoa_control_coastline_desc:0 "Купці нашого народу — основа нашої сили. Перш ніж ми почнемо дивитися назовні, ми повинні докласти всіх зусиль, щоб зміцнити їх утримання в торгівлі в нашому регіоні."
 gen_hoa_control_coastline_modifier:0 "Море можливостей"
 desc_gen_hoa_control_coastline_modifier:0 "Розгалужена берегова лінія нашої держави є нашим рятівним колом для торгівлі з рештою світу, і як така вона є нашим найважливішим ресурсом."
 gen_hoa_control_india_ocean_title:0 "Домінувати в Індійському океані"
 gen_hoa_control_india_ocean_desc:0 "Африканський ріг має привілейоване розташування, і ми повинні використовувати його, щоб розширити свій вплив і стати найуспішнішими торговцями Індійського океану."
 gen_hoa_control_india_ocean.tooltip1:0 "§Y[Root.GetName]§! має §Y70%§! торгової сили в §YАденській затоці§!"
 gen_hoa_control_india_ocean.tooltip2:0 "§Y[Root.GetName]§! має §Y50%§! торгової сили в §YЕфіопії§!"
 gen_hoa_control_india_ocean.tooltip3:0 "§Y[Root.GetName]§! має §Y30%§! торгової сили в §YГуджараті§!"
 gen_hoa_control_india_ocean.tooltip4:0 "§Y[Root.GetName]§! має §Y30%§! торгової сили в §YКороманделі§!"
 gen_hoa_control_india_ocean.tooltip5:0 "§Y[Root.GetName]§! має §Y15%§! торгової сили в §YБенгалії§!"
 gen_hoa_control_india_ocean.tooltip6:0 "§Y[Root.GetName]§! має §Y15%§! торгової сили в §YМалакці§!"
 ###WEST AFRICA MISSIONS###
 west_africa_assemble_warband_title:0 "Зберіть Warband"
 west_africa_assemble_warband_desc:0 "Щоб ефективно утвердити контроль над нашою територією, нам потрібно зібрати команду хоробрих воїнів."
 west_africa_strong_leadership_title:0 "Сильне лідерство"
 west_africa_strong_leadership_desc:0 "Наші суперники повинні усвідомлювати нашу хоробрість і могутність. Таким чином, ми повинні показати, що ми найсильніші люди навколо, принижуючи їх на полі бою."
 west_africa_strong_leadership_ct:0 "Жодна відома країна зі столицею в §YСахель§!, §YНігер§! чи §YГвінея§! є незалежною з розвитком більше ніж §Y[Root.GetName]§!."
 west_africa_unite_home_region_title:0 "Об'єднати домашній регіон"
 west_africa_unite_home_region_desc:0 "Ми зміцніли за останні роки, і ми маємо можливість об’єднати всіх людей нашого краю вперше за покоління."
 west_africa_gunpowder_weapons_title:0 "Порохова зброя"
 west_africa_gunpowder_weapons_desc:0 "Зараз ми є могутньою державою в нашому регіоні, але ми побачили новий вид зброї, якою торгують іноземні купці, які називають її порохом. Нам потрібно забезпечити можливість мати їх для наших воїнів, не залежачи від цих іноземців."
 west_africa_greater_than_mali_title:0 "Більші за Малі!"
 west_africa_greater_than_mali_desc:0 "Після об’єднання нашого регіону та з новою зброєю в руках наших воїнів ми тепер готові завоювати всі землі між пустелею Сахара та Гвінейською затокою. Ми не повинні втрачати можливість стати найбільшою державою з часів занепаду Імперії Малі або навіть більшою!"
 west_africa_embracing_old_traditions_title:0 "Прийняття старих традицій"
 west_africa_embracing_old_traditions_desc:0 "Ми дотримуємося наших давніх традицій протягом поколінь. Зараз серед наших людей поширюються нові віри, але нам потрібно залишатися разом і дотримуватися наших старих ритуалів, щоб зберегтися."
 west_africa_brothers_in_tradition_fetishist_title:0 "Брати у вірі"
 west_africa_brothers_in_tradition_fetishist_desc:0 "Наш народ має давню традицію конфліктів з іншими сусідами через наші та їхні переконання. Але тепер настав час об’єднатися проти вір, що підривають наші території."
 west_africa_shamans_title:0 "Шамани"
 west_africa_shamans_desc:0 "Наші переконання міцні серед наших людей, але ми вважаємо, що лише поклоніння недостатньо. Наші шамани охоче навчають іноземців культу, який робить нас сильнішими."
 west_africa_sankore_university_fetishist_title:0 "Університет Санкоре"
 west_africa_sankore_university_fetishist_desc:0 "Медресе Санкоре в Тімбукту протягом десятиліть було найважливішим центром знань на південь від Сахари. Тепер настав час взяти це місто і використати рукописи, які там зберігаються, на нашу користь."
 west_africa_sincretic_rituals_title:0 "Синкретичні ритуали"
 west_africa_sincretic_rituals_desc:1 "Велика різноманітність культів, традицій і вірувань поширена в усіх регіонах Сахеля, Нігеру та Гвінеї. У наших інтересах мати плавильний котел всього цього, щоб підтримати нашу зростаючу владу в цих регіонах шляхом кращого розуміння серед людей під нашим правлінням."
 west_africa_embracing_new_traditions_title:0 "Прийняття нових традицій"
 west_africa_embracing_new_traditions_desc:0 "Іслам давно присутній у нашому регіоні, але не повністю прийнятий нашими людьми. Тепер ми повинні закріпити це, і те що ми достатньо побожні, щоб до нас ставилися з повагою."
 west_africa_brothers_in_faith_sunni_title:0 "Брати у вірі"
 west_africa_brothers_in_faith_sunni_desc:1 "Наш народ має давню традицію конфліктів з іншими сусідами через наші та їхні переконання. Але тепер настав час об’єднатися проти вір, що підривають наші території."
 west_africa_marabouts_title:0 "Марабути"
 west_africa_marabouts_desc:0 "Марабути протягом поколінь поширювали П’ять стовпів Ісламу в регіоні. Тепер настав час підтримати їхні зусилля, щоб їхнє слово поширилося ширше."
 west_africa_sankore_university_sunni_title:0 "Університет Санкоре"
 west_africa_sankore_university_sunni_desc:0 "Медресе Санкоре в Тімбукту протягом десятиліть було найважливішим центром знань на південь від Сахари. Тепер настав час взяти це місто і використати рукописи, які там зберігаються, на нашу користь."
 west_africa_the_only_faith_title:0 "Єдина Віра"
 west_africa_the_only_faith_desc:0 "Наші зусилля щодо поширення Шахади, інших стовпів і Корану серед людей, якими ми керуємо, були інтенсивними протягом десятиліть. Але тепер ми повинні стверджувати Іслам як єдину релігію, тому що немає бога, крім Аллаха."
 west_africa_gathering_tributes_title:0 "Збір данини"
 west_africa_gathering_tributes_desc:0 "Нашим людям необхідно збирати данину з наших сусідів, оскільки ми вимагаємо, щоб вони зміцніли в найближчі кілька років."
 west_africa_clearings_irrigations_title:0 "Очищення та зрошення"
 west_africa_clearings_irrigations_desc:0 "Наші землі були придатними для сільського господарства з тих пір, як люди почали їх обробляти, але якщо ми хочемо утримувати більше населення, яке проживає на нашій території, нам потрібно провести вирубки лісів та джунглів, а також зрошення в долинах наших річок."
 west_africa_salt_cloth_shells_title:0 "Сіль, тканина і черепашки"
 west_africa_salt_cloth_shells_desc:0 "Торгівля через Сахарські коридори та Гвінейську затоку вже деякий час зростає, у наших містах з’являються нові купці-іноземці та торгують деякими новими продуктами. Тепер ми повинні взяти під контроль цю прибуткову торгівлю на нашу користь."
 west_africa_manufacturing_africa_title:0 "Виробництво в Африці"
 west_africa_manufacturing_africa_desc:0 "Заможні торгові товари з-за океану заполонили наші території протягом кількох років. Тепер у нас є можливість власними силами копіювати та створювати нові товари, одержуючи прибуток від продажу їх серед наших людей і навіть експорту їх за кордон."
 west_africa_bilad_sudan_trade_title:0 "Торгівля Білада аль-Судану"
 west_africa_bilad_sudan_trade_desc:0 "Деякі важливі центри розвивалися разом із зростанням торгівлі за останні десятиліття в усьому регіоні. Тімбукту — це ворота на північ, Канем-Борно контролює торгівлю зі Сходом, а Бенін — головне місце на південному узбережжі. Тепер необхідно взяти під контроль ці місця, і торгівлю, що проходить через них."
 ###MORE MISSIONS###
 zan_centralize_trade_at:1 "§Y[Root.GetName]§! має §Y85%§! торгового впливу в будь-якому з таких торгових вузлів: §YЗанзібар§!, §YМис Доброї Надії§! або §YБерег Слонової Кістки§!."
 zan_centralize_trade_bt:0 "§Y[Root.GetName]§! має або §Y30%§! торгового впливу або §Yнайбільший торговий вплив§! у торговому вузлі §YЗамбезі§! або §YАденській затоці§!."
 zan_centralize_trade_ct:1 "§Y[Root.GetName]§! має або §Y10%§! торгового впливу або §Yнайбільший торговий вплив§! у торговому вузлі §YГуджарат§! або §YКоромандел§!."
 mal_second_branch_mission_title:0 "[Root.GetSelectableMissionTitle]"
 mal_second_branch_mission_desc:0 "[Root.GetSelectableMissionDescription]"
 obj_convert_25_provinces_tooltip:0 "Навернути §Y25§! провінцій (§Y[Root.GetNumConvertedProvinces]§!/§Y25§!)."
 eth_secure_religious_unity_title:0 "Забезпечити релігійну єдність"
 eth_secure_religious_unity_desc:0 "Наші володіння релігійно розділені між коптами, євреями та мусульманами. Це призвело до відсутності релігійної єдності, що робить будь-які спроби централізувати державу та подолати проблеми майже неможливими. Ми маємо забезпечити нашу релігійну єдність!"
 hausa_claims_tt:0 "§Y[Root.GetName]§! отримує довічні претензії на кожну провінцію §YХауса§! в регіоні §YНігер§!."
 hau_build_armies_ct:0 "§Y[Root.GetName]§! отримує довічні претензії на кожну провінцію §YХауса§! в регіоні §YНігер§!, якщо виконано місію '§YУтворіть альянси§!'."
 hau_the_seven_great_cities_tt:0 "Провінції §Y[2280.GetName]§!, §Y[1149.GetName]§!, §Y[2279.GetName]§!, §Y[1148.GetName]§!, §Y[1155.GetName]§!, §Y[2281.GetName]§! та §Y[1154.GetName]§! отримують особливий модифікатор провінції на §Y10 років§!, який відображає їхню історичну важливість в історії Хауса."
 hau_the_seven_great_cities_decision_tt:1 "Увімкнути рішення, яке дозволяє [Root.GetName] застосовувати модифікатор провінції §YСьоме місто§! до провінцій §Y[2280.GetName]§!, §Y[1149.GetName]§!, §Y[2279.GetName]§!, §Y[1148.GetName]§!, §Y[1155.GetName]§!, §Y[2281.GetName]§! та §Y[1154.GetName]§! на §Y10 років§! кожні §Y20 років§! з ціною §Y75§! адміністративної сили."
 hau_gather_allies_ct:1 "§Y[Root.GetName]§! отримує довічні претензії на кожну провінцію §YХауса§! в регіоні §YНігер§! якщо місія '§YЗберіть армію§!' виконана."
 hau_the_kanuri_threat_tt:0 "Кожен, хто володіє провінцією §YКанурі§!, отримує модифікатор провінції '§YЗавоювання Хауса§!' на §Y30 років§!, що матиме такі ефекти:\nМісцеві заворушення: §G-2.00§!\nМісцевий сепаратизм: §G-5.00§!"
 hau_prepare_the_jihad_tt:0 "§Y[Root.GetName]§! отримує довічні претензії на кожну §Yне мусульманську§! провінцію в регіоні §YСахель§!, §YНігер§! або §YГвінея§!."
 JOL_TRADE_DEAL_AGREEMENT:0 "Волофська торгова угода"
 JOL_INCREASED_IVORY_DEMAND:0 "Збільшений попит на слонову кістку"
 jol_gain_ports_tt:0 "Випадковий приналежний порт почне безкоштовне будівництво §Y6 легких кораблів§! та §YВеликої верфі§! безкоштовно та на §Y50%§! швидше."
 four_years_of_trade_income:0 "Отримайте прибуток від торгівлі впродовж §G4 років§!."
 jol_centralize_the_state_ct:0 "Зменште автономію кожної приналежної провінції, яка має принаймні §Y5§! автономії, на §G100%§! і збільште абсолютизм на §G0.1§! за кожнну провінцію."
 msi_integrate_the_muslims_ct:0 "Покращте думку кожної відомої §Yмусульманської§! країни в §YЗахідній Африці§! на §G50§!."
 msi_integrate_the_muslims_at:0 "Кожна приналежна §Yмусульманська§! провінція отримує модифікатор провінції '§YІнтегровані язичники§!' на §Y25 років§!, що матиме такі ефекти:\nМісцевий внесок у релігійну єдність: §G-100.0%§!\nМісцеві заворушення: §G-2.00§!\nПрибуток від податків у провінції: §G+15.0%§!"
 msi_integrate_the_muslims_bt:0 "Кожна приналежна §Yязичницька§! провінція отримує модифікатор провінції '§YІнтегровані язичники§!' на §Y25 років§!, що матиме такі ефекти:\nМісцевий внесок у релігійну єдність: §G-100.0%§!\nМісцеві заворушення: §G-2.00§!\nПрибуток від податків у провінції: §G+15.0%§!"
 msi_gather_the_troops_ct:0 "§Y[Root.GetName]§! отримує довічні претензії на всі провінції §YМосі§! в регіоні §YНігер§!."
 west_africa_shamans_ct:1 "Кожна приналежна §Yязичницька§! провінція отримує модифікатор провінції '§YПрава фетишистів§!' на §Y25 років§!, що матиме такі ефекти:\nМісцеві заворушення: §G-2.00§!\nМісцева щомісячна зміна автономії: §G-0.05§!"
 west_africa_marabouts_ct:0 "Кожна приналежна §Yмусульманська§! провінція отримує модифікатор провінції '§YМісцевий марабут§!' на §Y25 років§!, що матиме такі ефекти:\nМісцеві заворушення: §G-2.00§!\nМісцева щомісячна зміна автономії: §G-0.05§!"
 oyo_trade_with_the_muslims_at:0 "Має §YЦентр торгівлі§! у торговому вузлі §YТімбукту§!."
 oyo_trade_with_the_muslims_bt:0 "Будь-який власник §YЦентра торгівлі§! у торговому вузлі §YТімбукту§! має принаймні §Y90§! думки про [Root.GetTagKUDY] або є суб'єктом [Root.GetTagOGO]."
 oyo_chaaargee_ct:0 "Столиця §Yсуперника§!, §Yворога§!, §Yвеликої держави§! або країни з більшим загальним розвитком, ніж §Y[Root.GetName]§!, під нашим контролем, а кавалерійський полк знаходиться у згаданій столиці."
 oyo_chaaargee_tt:1 "Компанія найманців §YОйонська кавалерія§! більше не зменшує після найму §Yпрофесіоналізм армії§!."
 CAPITAL_MONOPOLY:0 "Production of the capital."
 hau_build_armies_title:0 "Gather an Army"
 hau_build_armies_desc:0 "If we are to survive and succeed as a nation, the first thing we have to do is to make sure that nobody can destroy us. We need to gather an army to ensure our security, and we'll be able to use it to conquer our enemies too."
 hau_the_yoruba_and_nupe_title:0 "The Yoruba and the Nupe"
 hau_the_yoruba_and_nupe_desc:0 "The Yoruba and the Nupe are right next door, and a perfect target for our expansion. We must conquer them to establish a firm position from which to expand further later."
 hau_gain_sea_access_title:0 "Gain Sea Access"
 hau_gain_sea_access_desc:0 "We have been landlocked for too long. We need to gain access to the sea, which would allow us to expand our reaches further than ever before."
 hau_unite_the_cities_title:0 "Об'єднати the Cities"
 hau_unite_the_cities_desc:0 "The different Hausa cities have been divided and competing among them for too long. We need to unite them all under the same banner, ours."
 hau_develop_the_cities_title:0 "Develop the Cities"
 hau_develop_the_cities_desc:0 "Now that all the Hausa cities are under our control, we need to develop them to make them shine like the jewels they ought to be."
 hau_resolve_internal_issues_title:0 "Resolve Internal Issues"
 hau_resolve_internal_issues_desc:0 "Having united all the different Hausa cities, it is inevitable that some internal strife should arise. We must work on resolving these issues so that we can truly become just one nation."
 hau_contact_with_the_fulani_title:0 "Contact with the Fulani"
 hau_contact_with_the_fulani_desc:0 "The Fulani have unexpectedly become more relevant recently. We must establish contact with them, and assess if they may be beneficial for us."
 hau_gather_allies_title:0 "Утворіть альянси"
 hau_gather_allies_desc:0 "If we are to survive and succeed as a nation, the first thing we have to do is to make sure that nobody can destroy us. We need to secure alliances to reduce the threats against us and ensure protectors at the same time."
 hau_the_kanuri_threat_title:0 "The Kanuri Threat"
 hau_the_kanuri_threat_desc:0 "The Kanuri are right next door, and a threat to our expansion. We must conquer them before they are powerful enough to conquer us."
 hau_the_tuareg_title:0 "The Tuareg"
 hau_the_tuareg_desc:0 "The Tuareg have always lived in the desert areas north of us. It is time we expand ourselves towards that direction and bring them under our rule."
 hau_prepare_the_jihad_title:0 "Prepare the Jihad"
 hau_prepare_the_jihad_desc:0 "It is clear that the teachings of the Prophet are the only one true faith. We must be prepared to fight any that dared say otherwise."
 hau_convert_west_africa_title:0 "Convert West Africa"
 hau_convert_west_africa_desc:0 "There are still too many people that don't believe in the teachings of the Prophet, this can not stand. We must spread His teachings if we are to become a beacon of civilization."
 hau_finish_the_jihad_title:0 "Finish the Jihad"
 hau_finish_the_jihad_desc:0 "We have successfully spread the teachings of the Prophet, but there are still some people that don't believe in them. We must convince them all to become a true caliphate."
 aju_completely_modernized_army:0 "Модернізована армія"
 desc_aju_completely_modernized_army:0 "We have decided to massively invest in our army and modernize it completely based on the Ottoman guidance."
 aju_bought_new_guns:0 "Ottoman Guns"
 desc_aju_bought_new_guns:0 "We have decided to invest in our army and equip them with the firearms of the Ottoman Empire."
 aju_keep_the_ways:0 "Retain Old Ways"
 desc_aju_keep_the_ways:0 "We have decided to renounce the guidance of the Turks. Instead we retain the old ways of war, which are more accessible to a greater number of our people."
 jol_the_mali_border_title:0 "The Mali Border"
 jol_the_mali_border_desc:0 "To the east, the strong nation of Mali threatens our security and our advisors, rightfully, tell us to start developing a strategy to defend ourselves.\nJust in case."
 jol_take_over_futa_jallon_title:0 "Take over Futa Jallon"
 jol_take_over_futa_jallon_desc:0 "Futa Jallon is a sandstone plateau, heavily eroded by the abundant rainfall, that lies to the southwest of our realm. The region can be used as the start of a longer front to challenge the power of Mali."
 jol_gain_ports_title:0 "Gain Ports"
 jol_gain_ports_desc:0 "For centuries, our people have looked at the sea as an opportunity, since most of our nation is coastal. Now, more than ever, our expansion must be focused on getting more ports, should we want to rely on the sea."
 jol_discover_europe_title:0 "Discover Europe"
 jol_discover_europe_desc:0 "On many occasions, pale skinned people sailing from the north have arrived to our shores, trying to trade with us most of the time. Knowing where they come from can allow us to set the conditions of this trade and avoid any new attempt of bullying us."
 jol_trade_experts_title:0 "Trade Experts"
 jol_trade_experts_desc:0 "Now that we know about the trading practices in Europe, we can look at ours and improve them where we feel they fail. We shall use these new and better techniques to become the dominant trader in our region."
 jol_the_fulani_title:0 "The Fulani"
 jol_the_fulani_desc:0 "The Fulani are our neighbors and for centuries our people have been in contact. The relations have not always been friendly, but there is some kind of kinship between us and we think it could be possible to fully integrate them into our realm."
 jol_push_further_into_mali_title:0 "Push Further into Mali"
 jol_push_further_into_mali_desc:0 "As our power increases, that of Mali starts to fade. It is the moment to get payback from the yoke under which our people have suffered for years. We shall attack §YBaghena§!, §YManding§! and §YMassina§!."
 jol_replace_mali_title:0 "Replace Mali"
 jol_replace_mali_desc:0 "Mali took the place of the Ghana Empire as the hegemon of West Africa. Now it is our time. Mali must fall, either as our subject or as a corpse."
 jol_the_songhai_threat_title:0 "The Songhai Threat"
 jol_the_songhai_threat_desc:0 "As one of the most powerful nations in the area, the sole existence of Songhai is a threat to our realm. As long as they are not kept in check, there is danger. They will kneel before us or die."
 jol_west_african_great_power_title:0 "West African Great Power"
 jol_west_african_great_power_desc:0 "In order to make the world know who rules in West Africa we must ensure that we directly control enough land. To the arms!"
 jol_the_tribal_confederacy_title:0 "Племінна конфедерація"
 jol_the_tribal_confederacy_desc:0 "Our nation is formed by several petty kingdoms that alone are weak, but that working together can become a formidable threat for our enemies. We shall unify our people and conquer the world."
 jol_reforms_for_the_state_title:0 "Reforms for the State"
 jol_reforms_for_the_state_desc:0 "As a tribal confederacy, our people have fought more among themselves than against those that opposed us, and therefore we have kept too old-fashioned laws everywhere that drain the efficiency of the state. We shall change it!"
 jol_centralize_the_state_title:0 "Centralize the State"
 jol_centralize_the_state_desc:0 "For too long, the power has been divided among the Bur or the King and the different petty kings or chiefs of our realm. We need to recover all that lost power into the figure of our ruler."
 zim_militarize_the_nguni_title:0 "Recruit the Nguni"
 zim_militarize_the_nguni_desc:0 "While our people are fierce and strong warriors in their own right, they are still [Root.GetAdjective] - people of our [Root.GovernmentName]. We should consider recruiting the wild tribes and clans of the south in order to avoid losses of our own people."
 zim_learn_from_the_nguni_title:0 "Learn from the Nguni"
 zim_learn_from_the_nguni_desc:0 "The Nguni have proven their worth in combat. They have shown their strength and cunning in battle. We should expand the militaristic resources of the Nguni and learn from their innovativeness for the wars ahead."
 oyo_trade_with_the_muslims_title:0 "Trade with the Muslims"
 oyo_trade_with_the_muslims_desc:0 "Trade has always been prominent in our area, especially that led by the Muslims through Timbuktu and Gao. We must not fall behind them if we are to profit, we need to also be active participants in the trade flow and be able to control it."
 oyo_found_the_cavalry_regiment_title:0 "Cavalry for [Root.GetName]"
 oyo_found_the_cavalry_regiment_desc:1 "Thanks to our trade with the Muslim nations, we have now access to horses, a resource until now uncommon in our country. We must also form cavalry regiments, in the likes of the ones the Muslim countries have."
 oyo_chaaargee_title:0 "Chaaarge!!"
 oyo_chaaargee_desc:0 "Now that we have cavalry regiments, it is time to put them to use. We can use their superior maneuverability to quickly snatch the enemy's capital and utterly crush them. We shall do precisely that."
 oyo_appease_the_oyo_mesi_title:0 "Appease the Oyo Mesi"
 oyo_appease_the_oyo_mesi_desc:0 "The Oyo Mesi, our council of nobles, have always been an integral part of our government. No ruler can be enthroned without their approval, and they can also remove him from the throne if they deem him too tyrant. We must keep them happy with our rule."
 oyo_perma_claims_tt:0 "§Y[Root.GetName]§! gets довічні претензії on the areas §YBenin§!, §YLower Niger§!, §YZazzau§!, §YAtacora Oueme§! and §YLower Volta§!."
 oyo_appease_the_oyo_mesi_ct:0 "§Y[Root.GetName]§! gets довічні претензії on the areas §YBenin§!, §YLower Niger§!, §YZazzau§!, §YAtacora Oueme§! and §YLower Volta§! if the mission '§YAppease the Ogboni§!' has been completed."
 oyo_push_north_tt:0 "§Y[Root.GetName]§! gets довічні претензії on every province in the §YSahel§!, §YNiger§! and §YGuinea§! regions, which are not of §Y[Root.Religion.GetName]§! faith."
 oyo_appease_the_ogboni_ct:0 "§Y[Root.GetName]§! gets довічні претензії on the areas §YBenin§!, §YLower Niger§!, §YZazzau§!, §YAtacora Oueme§! and §YLower Volta§! if the mission '§YAppease the Mesi§!' has been completed."
 oyo_push_north_title:0 "Push North"
 oyo_push_north_desc:0 "Unlike the dense jungles to the South, the lush plains of the Sahel to the North are a great source of wealth. Therefore, the only sensible choice we have is to expand northwards."
 oyo_eradicate_the_muslims_title:0 "Eradicate the Muslims"
 oyo_eradicate_the_muslims_desc:0 "The Muslims around us have ceased to serve their purpose for us and have started to become a nuisance. We must get rid of them completely to make space for our own glorious expansion."
 oyo_eradicate_the_muslims_ct:1 "Is either a subject of §Y[Root.GetName]§! or follows the §Y[Root.Religion.GetName]§! faith."
 oyo_growth_of_power_title:0 "Growth of Power"
 oyo_growth_of_power_desc:0 "We, the Oyo, are a great nation. But we can always become even greater. We need to expand our glorious nation so that it can be the envy of the world."
 oyo_develop_the_capital_title:0 "Develop the Capital"
 oyo_develop_the_capital_desc:1 "Our capital is the shining jewel of our country, and its symbol. We must develop it into a true bustling city that clearly shows its importance."
 oyo_reform_the_government_title:0 "Reform the Government."
 oyo_reform_the_government_desc:0 "Our old tribal traditions have become too small for our great ambitions. We must reform our government into a glorious state if we are to stand among the giants of the world."
 oyo_imperial_oyo_title:0 "Imperial Oyo"
 oyo_imperial_oyo_desc:0 "Oyo has always been an Empire in our eyes. The time has come for it to become one in the eyes of everyone. We need to show true strength if we are to deserve to be called such."
 oyo_appease_the_ogboni_title:0 "Appease the Ogboni"
 oyo_appease_the_ogboni_desc:0 "The Ogboni have always been an influential part of our government. Apart from their involvement in religious matters, they also have influence in the appointment of rulers. As such, we need to make sure they are on our side."
