l_ukrainian:
 FAVORSGAINED_TITLE: "Накопичено прихильність"
 WEDECLWAR_MAP: "ВІЙНА!"
 DECLWARCOLATT_TITLE: "Колонія оголошує війну!"
 DECLWARCOLATT_SETUP: "Коли ваша колонія оголошує війну"
 DECLWARCOLATT_HEADER: "$WAR$"
 DECLWARCOLATT_1: "Наша колонія $AGRESSOR$"
 DECLWARCOLATT_2: "оголосила війну"
 DECLWARCOLATT_3: "державі $DEFENDER$"
 DECLWARCOLATT_4: ""
 DECLWARCOLATT_5: ""
 DECLWARCOLATT_6: "$CASUS$"
 DECLWARCOLATT_LOG: "Наша колонія $AGRESSOR$ почала війну під назвою '$WAR$' проти держави $DEFENDER$."
 DECLWARCOLATT_BTN1: "Гаразд"
 DECLWARCOLATT_BTN2: "Гаразд"
 DECLWARCOLATT_BTN3: "Перейти"
 DECLWARCOLATT_MAP: "ВІЙНА!"
 DECLWARCOLDEF_TITLE: "Нашу колонію атаковано!"
 DECLWARCOLDEF_SETUP: "Коли нашій колонії оголосили війну"
 DECLWARCOLDEF_HEADER: "$WAR$"
 DECLWARCOLDEF_1: "Держава $AGRESSOR$"
 DECLWARCOLDEF_2: "оголосила війну нашій колонії"
 DECLWARCOLDEF_3: "$DEFENDER$"
 DECLWARCOLDEF_4: ""
 DECLWARCOLDEF_5: ""
 DECLWARCOLDEF_6: "$CASUS$"
 DECLWARCOLDEF_LOG: "Держава $AGRESSOR$ почала війну під назвою '$WAR$' проти нашої колонії $DEFENDER$."
 DECLWARCOLDEF_BTN1: "Гаразд"
 DECLWARCOLDEF_BTN2: "Гаразд"
 DECLWARCOLDEF_BTN3: "Перейти"
 DECLWARCOLDEF_MAP: "ВІЙНА!"
 WEGAINCB_TITLE: "Отримано Casus Belli"
 WEGAINCB_SETUP: "Ми отримуємо привід до війни"
 WEGAINCB_HEADER: "$MONARCHTITLE$"
 WEGAINCB_1: "Casus Belli"
 WEGAINCB_2: "Ми отримали привід до війни"
 WEGAINCB_3: "'$CASUS$' "
 WEGAINCB_4: "проти держави"
 WEGAINCB_5: "$ENEMY$:"
 WEGAINCB_6: "$DESC$"
 WEGAINCB_LOG: "Ми отримали привід до війни '$CASUS$' з державою $ENEMY$."
 WEGAINCB_BTN1: "Гаразд"
 WEGAINCB_BTN2: "Гаразд"
 WEGAINCB_BTN3: "Перейти"
 WEGAINCB_MAP: ""
 WELOSECB_TITLE: "Втрачено Casus Belli"
 WELOSECB_SETUP: "Ми втрачаємо привід до війни"
 WELOSECB_HEADER: "$MONARCHTITLE$"
 WELOSECB_1: "Casus Belli"
 WELOSECB_2: "Як це не прикро, але ми втратили привід до війни"
 WELOSECB_3: "'$CASUS$'"
 WELOSECB_4: "проти держави"
 WELOSECB_5: "$ENEMY$."
 WELOSECB_6: ""
 WELOSECB_LOG: "Ми втратили привід до війни '$CASUS$' з державою $ENEMY$."
 WELOSECB_BTN1: "Неприємно"
 WELOSECB_BTN2: "Неприємно"
 WELOSECB_BTN3: "Перейти"
 WELOSECB_MAP: ""
 OURFOREIGNHEIRWINS_TITLE: "Обрання члена нашої династії"
 OURFOREIGNHEIRWINS_SETUP: "Коли на виборах в іншій державі перемагає член нашої династії"
 OURFOREIGNHEIRWINS_HEADER: "Було обрано члена нашої династії!"
 OURFOREIGNHEIRWINS_1: "$CANDIDATENAME$"
 OURFOREIGNHEIRWINS_2: "наш кандидат на трон держави"
 OURFOREIGNHEIRWINS_3: "$COUNTRYNAME$"
 OURFOREIGNHEIRWINS_4: "переміг на виборах та успадкував титул."
 OURFOREIGNHEIRWINS_5: "Це збільшить наш престиж на $PRESTIGE$, а легітимність на $LEGITIMACY$. Ми також будемо отримувати $ADM_BONUS$ адміністративних балів, $DIP_BONUS$ дипломатичних балів, та $MIL_BONUS$ військових балів."
 OURFOREIGNHEIRWINS_6: ""
 OURFOREIGNHEIRWINS_LOG: "Наш кандидат $CANDIDATENAME$ переміг на виборах у державі $COUNTRYNAME$."
 OURFOREIGNHEIRWINS_BTN1: "Гаразд"
 OURFOREIGNHEIRWINS_BTN2: "Гаразд"
 OURFOREIGNHEIRWINS_BTN3: "Перейти"
 OURFOREIGNHEIRWINS_MAP: ""
 NEWHEIR_TITLE: "Новий спадкоємець"
 NEWHEIR_SETUP: " У нас з'являється законний спадкоємець"
 NEWHEIR_HEADER: "Новий спадкоємець трону!"
 NEWHEIR_1: "$HEIRNAME$ $STATS$"
 NEWHEIR_2: "став новим"
 NEWHEIR_3: "спадкоємцем трону"
 NEWHEIR_4: "Доля нашої династії тепер у надійних руках."
 NEWHEIR_5: "$LESSERINUNION_01$"
 NEWHEIR_6: "$LESSERINUNION_02$"
 NEWHEIR_LOG: "Спадкоємцем нашого трону стає $HEIRNAME$!"
 NEWHEIR_BTN1: "Гаразд"
 NEWHEIR_BTN2: "Гаразд"
 NEWHEIR_BTN3: "Перейти"
 NEWHEIR_MAP: "Хай живе $HEIRNAME$!"
 NEWHEIR_NAME_1: "$STATS$"
 NEWHEIR_NAME_2: "У держави $COUNTRY$ з'явився новий спадкоємець. $PRONOUN$ отримає ім'я:"
 HEIRDEATH_TITLE: "Смерть спадкоємця" 
 HEIRDEATH_SETUP: "Наш законний спадкоємець помирає"
 HEIRDEATH_HEADER: "Жахлива трагедія!"
 HEIRDEATH_1: "$HEIRNAME$"
 HEIRDEATH_2: "трагічно"
 HEIRDEATH_3: "помирає."
 HEIRDEATH_4: "Давайте помолимося за $POSSPRONOUN$ душу та сподіватимемося на нового"
 HEIRDEATH_5: "спадкоємця"
 HEIRDEATH_6: ""
 HEIRDEATH_LOG: "Раптово помирає $HEIRNAME$, законний спадкоємець."
 HEIRDEATH_BTN1: "Неприємно"
 HEIRDEATH_BTN2: "Неприємно"
 HEIRDEATH_BTN3: "Перейти"
 HEIRDEATH_MAP: ""
 DOOMSDAY_TITLE: "Судний день настав" 
 DOOMSDAY_SETUP: "Годинник Судного дня пробив 100"
 DOOMSDAY_HEADER: "Кінець часів!"
 DOOMSDAY_1: "$RULERNAME$"
 DOOMSDAY_2: "Не зміг виконати свої священні обов'язки"
 DOOMSDAY_3: "і для нас настав"
 DOOMSDAY_4: "Судний день!"
 DOOMSDAY_5: "Заради спасіння нашого світу ми повинні принести правлячу сім'ю в жертву богам."
 DOOMSDAY_6: "Всі васали відреклись від нас, відчувши нашу слабкість."
 DOOMSDAY_LOG: "Жертвопринесення правлячої сім'ї відтермінувало кінець світу."
 DOOMSDAY_BTN1: "Неприємно"
 DOOMSDAY_BTN2: "Неприємно"
 DOOMSDAY_BTN3: "Перейти"
 DOOMSDAY_MAP: ""
 DOOMSDAYOTHER_TITLE: "Судний день настав" 
 DOOMSDAYOTHER_SETUP: "У іншої держави настав Судний день"
 DOOMSDAYOTHER_HEADER: "Кінець часів!"
 DOOMSDAYOTHER_1: "Держава $COUNTRY$"
 DOOMSDAYOTHER_2: "не змогла виконати свої священні обов'язки"
 DOOMSDAYOTHER_3: "для неї настав"
 DOOMSDAYOTHER_4: "Судний день!"
 DOOMSDAYOTHER_5: "Всі васали відреклися від них, відчувши їхню слабкість."
 DOOMSDAYOTHER_6: ""
 DOOMSDAYOTHER_LOG: "Правлячу сім'ю держави $COUNTRY$ було принесено в жертву у сподіванні відтермінувати загибель світу."
 DOOMSDAYOTHER_BTN1: "Гаразд"
 DOOMSDAYOTHER_BTN2: "Гаразд"
 DOOMSDAYOTHER_BTN3: "Перейти"
 DOOMSDAYOTHER_MAP: ""
 CLAIMTOUS_TITLE: "Претензії на престол"
 CLAIMTOUS_SETUP: "Інша держава висуває претензії на наш трон"
 CLAIMTOUS_HEADER: "Наш канцлер повідомляє:"
 CLAIMTOUS_1: "Претенденти на наш трон!"
 CLAIMTOUS_2: "$MONARCHTITLE$, монарх держави"
 CLAIMTOUS_3: "$ACTOR$ "
 CLAIMTOUS_4: "обурливим чином висунув"
 CLAIMTOUS_5: "претензію на наш трон."
 CLAIMTOUS_6: "Якщо наш улюблений правитель помре, не залишивши спадкоємця, ми, ймовірно, укладемо з ними особисту унію в якості молодшого партнера. Втім, ми можемо уникнути цього, якщо підтримуватимемо наш престиж вищим за їхній."
 CLAIMTOUS_LOG: "Держава $ACTOR$ висунула претензії на наш трон."
 CLAIMTOUS_BTN1: "Неприємно"
 CLAIMTOUS_BTN2: "Неприємно"
 CLAIMTOUS_BTN3: "Перейти"
 CLAIMTOUS_MAP: ""
 CLAIMTOOTH_TITLE: "Претензії на престол"
 CLAIMTOOTH_SETUP: "Держава висуває претензії на трон іншої держави"
 CLAIMTOOTH_HEADER: "Вісник держави"
 CLAIMTOOTH_1: "$ACTOR$"
 CLAIMTOOTH_2: "повідомляє, що вони висунули"
 CLAIMTOOTH_3: "претензію на трон"
 CLAIMTOOTH_4: "держави"
 CLAIMTOOTH_5: "$RECIPIENT$."
 CLAIMTOOTH_6: "Якщо правитель держави $RECIPIENT$ помре не залишивши спадкоємця, між ними може утворитися особиста унія."
 CLAIMTOOTH_LOG: "Держава $ACTOR$ висунула претензії на трон держави $RECIPIENT$."
 CLAIMTOOTH_BTN1: "Гаразд"
 CLAIMTOOTH_BTN2: "Гаразд"
 CLAIMTOOTH_BTN3: "Перейти"
 CLAIMTOOTH_MAP: ""
 WECLAIM_TITLE: "Претензії на престол"
 WECLAIM_SETUP: "Ми висуваємо претензії на трон іншої держави"
 WECLAIM_HEADER: "Наш канцлер повідомляє:"
 WECLAIM_1: "Претензії на трон!"
 WECLAIM_2: "$MONARCHTITLE$, ми нагадали державі $RECIPIENT$ про наші незаперечні"
 WECLAIM_3: "права на їхній трон."
 WECLAIM_4: "Якщо їхній монарх помре, не залишивши спадкоємця, а ми будемо мати більший престиж, то між нашими країнами буде укладена особиста унія."
 WECLAIM_5: ""
 WECLAIM_6: ""
 WECLAIM_LOG: "Ми висунули претензії на трон держави $RECIPIENT$."
 WECLAIM_BTN1: "Гаразд"
 WECLAIM_BTN2: "Гаразд"
 WECLAIM_BTN3: "Перейти"
 WECLAIM_MAP: ""
 WEIMPREL_TITLE: "Покращення стосунків"
 WEIMPREL_SETUP: "Ми, в якості імператора СРІ, покращуємо стосунки з князівством Імперії"
 WEIMPREL_HEADER: "$MESSENGER$"
 WEIMPREL_1: "Відносини в імперії!"
 WEIMPREL_2: "$MONARCHTITLE$, робота наших дипломатів, відправлених у державу"
 WEIMPREL_3: "$RECIPIENT$,"
 WEIMPREL_4: "привела до того, що рівень наших з ними стосунків"
 WEIMPREL_5: "$INCDEC$ на $CHANGE$"
 WEIMPREL_6: ""
 WEIMPREL_LOG: "Ми в якості імператора покращили наші стосунки з державою $RECIPIENT$."
 WEIMPREL_BTN1: "Гаразд"
 WEIMPREL_BTN2: "Гаразд"
 WEIMPREL_BTN3: "Перейти"
 WEIMPREL_MAP: ""
 IMPRELTOUS_TITLE: "Покращення стосунків"
 IMPRELTOUS_SETUP: "Імператор покращує стосунки з нами"
 IMPRELTOUS_HEADER: "Вісник держави"
 IMPRELTOUS_1: "$ACTOR$"
 IMPRELTOUS_2: "повідомляє, що рівень наших стосунків"
 IMPRELTOUS_3: "$INCDEC$ на $CHANGE$"
 IMPRELTOUS_4: "завдяки роботі імперських дипломатів."
 IMPRELTOUS_5: ""
 IMPRELTOUS_6: ""
 IMPRELTOUS_LOG: "Імператор, правитель держави $ACTOR$, покращив наші з ним стосунки."
 IMPRELTOUS_BTN1: "Гаразд"
 IMPRELTOUS_BTN2: "Гаразд"
 IMPRELTOUS_BTN3: "Перейти"
 IMPRELTOUS_MAP: ""
 IMPRELTOOTHER_TITLE: "Покращення стосунків"
 IMPRELTOOTHER_SETUP: "Імператор СРІ покращує стосунки з іншим князівством Імперії"
 IMPRELTOOTHER_HEADER: "Вісник держави"
 IMPRELTOOTHER_1: "$ACTOR$"
 IMPRELTOOTHER_2: "повідомляє, що рівень їх стосунків з державою"
 IMPRELTOOTHER_3: "$RECIPIENT$"
 IMPRELTOOTHER_4: "завдяки роботі імперських дипломатів."
 IMPRELTOOTHER_5: "$INCDEC$ на $CHANGE$."
 IMPRELTOOTHER_6: ""
 IMPRELTOOTHER_LOG: "Імператор СРІ - правитель держави $ACTOR$, покращує стосунки з державою $RECIPIENT$."
 IMPRELTOOTHER_BTN1: "Гаразд"
 IMPRELTOOTHER_BTN2: "Гаразд"
 IMPRELTOOTHER_BTN3: "Перейти"
 IMPRELTOOTHER_MAP: ""
 RELIGIOUSUNITYDESC: "Вимагати від них змінити їхню державну релігію на єдину істинну віру. Якщо вони відмовляться, ми втратимо 20% престижу."
 RELIGIOUSUNITYNEWDESC: "Родина, яка молиться разом, тримається разом, чи не так?! Ви впевнені, що хочете надіслати їм вимогу змінити їхню державну релігію на єдину істинну віру?"
 RELIGIOUSUNITYTITLE: "Примушення до релігійної єдності"
 RELIGIOUSUNITYREQDESC: "Імператор Священної Римської Імперії (§Y$COUNTRY$§W) вимагає від нас, щоб ми змінили свою державну релігію на $RELIGION$. Відмова дасть їм привід до війни."
 RELUNITYWITHUS_TITLE: "Згода на релігійну єдність"
 RELUNITYWITHUS_SETUP: "Одна держава погоджується на нашу вимогу релігійної єдності"
 RELUNITYWITHUS_HEADER: "Наш канцлер повідомляє:"
 RELUNITYWITHUS_1: "Релігійна єдність!"
 RELUNITYWITHUS_2: "$MONARCHTITLE$, держава"
 RELUNITYWITHUS_3: "ми досягли релігійної єдності"
 RELUNITYWITHUS_4: "з державою"
 RELUNITYWITHUS_5: "$RECIPIENT$"
 RELUNITYWITHUS_6: "Одна імперія - одна віра!"
 RELUNITYWITHUS_LOG: "Держава $RECIPIENT$ прийняла наші вимоги й перейшла в $ACTORRELIGION$."
 RELUNITYWITHUS_BTN1: "Гаразд"
 RELUNITYWITHUS_BTN2: "Гаразд"
 RELUNITYWITHUS_BTN3: "Перейти"
 RELUNITYWITHUS_MAP: ""
 WEACCRELUNITY_TITLE: "Згода на релігійну єдність"
 WEACCRELUNITY_SETUP: "Ми погоджуємося на пропозицію імператора досягти релігійну єдність"
 WEACCRELUNITY_HEADER: "$MESSENGER$"
 WEACCRELUNITY_1: "Релігійна єдність!"
 WEACCRELUNITY_2: "$MONARCHTITLE$, ми прийняли вимогу імператора Священної Римської Імперії, правителя держави"
 WEACCRELUNITY_3: "$ACTOR$"
 WEACCRELUNITY_4: "і змінили свою державну релігію на"
 WEACCRELUNITY_5: "$ACTORRELIGION$."
 WEACCRELUNITY_6: ""
 WEACCRELUNITY_LOG: "Ми прийняли пропозицію держави $ACTOR$ і погодилися досягти з ними релігійну єдність."
 WEACCRELUNITY_BTN1: "Гаразд"
 WEACCRELUNITY_BTN2: "Гаразд"
 WEACCRELUNITY_BTN3: "Перейти"
 WEACCRELUNITY_MAP: ""
 RELUNITYWITHOTHER_TITLE: "Згода на релігійну єдність"
 RELUNITYWITHOTHER_SETUP: "Інша держава погоджується на пропозицію імператора досягти релігійну єдність"
 RELUNITYWITHOTHER_HEADER: "Вісник держави"
 RELUNITYWITHOTHER_1: "$RECIPIENT$"
 RELUNITYWITHOTHER_2: "повідомляє, що вони"
 RELUNITYWITHOTHER_3: "погодилися  досягти релігійну єдність"
 RELUNITYWITHOTHER_4: "з імператором Священної Римської Імперії, правителем держави"
 RELUNITYWITHOTHER_5: "$ACTOR$."
 RELUNITYWITHOTHER_6: "Тепер вони сповідують $ACTORRELIGION$."
 RELUNITYWITHOTHER_LOG: "Держава $RECIPIENT$ погодилася досягти релігійну єдність з державою $ACTOR$."
 RELUNITYWITHOTHER_BTN1: "Гаразд"
 RELUNITYWITHOTHER_BTN2: "Гаразд"
 RELUNITYWITHOTHER_BTN3: "Перейти"
 RELUNITYWITHOTHER_MAP: ""
 DECRELUNITYWITHUS_TITLE: "Відмова від релігійної єдності"
 DECRELUNITYWITHUS_SETUP: "Держава відмовляється від нашої вимоги релігійної єдності"
 DECRELUNITYWITHUS_HEADER: "Наш канцлер повідомляє:"
 DECRELUNITYWITHUS_1: "Відмова від релігійної єдності!"
 DECRELUNITYWITHUS_2: "$MONARCHTITLE$, держава"
 DECRELUNITYWITHUS_3: "$RECIPIENT$"
 DECRELUNITYWITHUS_4: "необачно відмовилася від нашої вимоги досягти"
 DECRELUNITYWITHUS_5: "релігійну єдність."
 DECRELUNITYWITHUS_6: ""
 DECRELUNITYWITHUS_LOG: "Держава $RECIPIENT$ відмовилася від нашої вимоги досягти релігійної єдності."
 DECRELUNITYWITHUS_BTN1: "Неприємно"
 DECRELUNITYWITHUS_BTN2: "Неприємно"
 DECRELUNITYWITHUS_BTN3: "Перейти"
 DECRELUNITYWITHUS_MAP: ""
 DECRELUNITYWITHOTHER_TITLE: "Відмова від релігійної єдності"
 DECRELUNITYWITHOTHER_SETUP: "Інша держава відмовляється від вимоги релігійної єдності з імператором"
 DECRELUNITYWITHOTHER_HEADER: "Вісник держави"
 DECRELUNITYWITHOTHER_1: "$RECIPIENT$"
 DECRELUNITYWITHOTHER_2: "повідомляє, що вони"
 DECRELUNITYWITHOTHER_3: "відмовилися від нашої вимоги досягти релігійну єдність"
 DECRELUNITYWITHOTHER_4: "з імператором Священної Римської Імперії, правителем держави"
 DECRELUNITYWITHOTHER_5: "$ACTOR$."
 DECRELUNITYWITHOTHER_6: " Здається, в імперії панує розлад."
 DECRELUNITYWITHOTHER_LOG: "Держава $RECIPIENT$ відмовилася від вимоги релігійної єдності з державою $ACTOR$."
 DECRELUNITYWITHOTHER_BTN1: "Гаразд"
 DECRELUNITYWITHOTHER_BTN2: "Гаразд"
 DECRELUNITYWITHOTHER_BTN3: "Перейти"
 GRANTELECTORATEWITHUS_TITLE: "Прийнято титул курфюрста"
 GRANTELECTORATEWITHUS_SETUP: "Держава приймає від нас титул курфюрста"
 GRANTELECTORATEWITHUS_HEADER: "Вісник держави"
 GRANTELECTORATEWITHUS_1: "$RECIPIENT$"
 GRANTELECTORATEWITHUS_2: "повідомляє, що вони"
 GRANTELECTORATEWITHUS_3: "прийняли титул курфюрста."
 GRANTELECTORATEWITHUS_4: "Відтепер вони можуть голосувати"
 GRANTELECTORATEWITHUS_5: "на виборах нового імператора."
 GRANTELECTORATEWITHUS_6: "І в їхніх інтересах голосувати за нас!"
 GRANTELECTORATEWITHUS_LOG: "Держава $RECIPIENT$ стала курфюрстом імперії."
 GRANTELECTORATEWITHUS_BTN1: "Гаразд"
 GRANTELECTORATEWITHUS_BTN2: "Гаразд"
 GRANTELECTORATEWITHUS_BTN3: "Перейти"
 GRANTELECTORATEWITHUS_MAP: ""
 WEACCGRANTELECTORATE_TITLE: "Прийнято титул курфюрста"
 WEACCGRANTELECTORATE_SETUP: "Ми приймаємо від імператора титул курфюрста"
 WEACCGRANTELECTORATE_HEADER: "$MESSENGER$"
 WEACCGRANTELECTORATE_1: "Ми стали курфюрстом!"
 WEACCGRANTELECTORATE_2: "Ми прийняли пропозицію імператора Священної Римської Імперії, правителя держави"
 WEACCGRANTELECTORATE_3: "$ACTOR$."
 WEACCGRANTELECTORATE_4: "Відтепер ми стали курфюрстом імперії."
 WEACCGRANTELECTORATE_5: ""
 WEACCGRANTELECTORATE_6: ""
 WEACCGRANTELECTORATE_LOG: "Ми прийняли титул курфюрста від імператора."
 WEACCGRANTELECTORATE_BTN1: "Гаразд"
 WEACCGRANTELECTORATE_BTN2: "Гаразд"
 WEACCGRANTELECTORATE_BTN3: "Перейти"
 WEACCGRANTELECTORATE_MAP: ""
 GRANTELECTORATEWITHOTHER_TITLE: "Прийнято титул курфюрста"
 GRANTELECTORATEWITHOTHER_SETUP: "Інша держава приймає титул курфюрста від імператора"
 GRANTELECTORATEWITHOTHER_HEADER: "Вісник держави"
 GRANTELECTORATEWITHOTHER_1: "$RECIPIENT$"
 GRANTELECTORATEWITHOTHER_2: "повідомляє, що вони"
 GRANTELECTORATEWITHOTHER_3: "прийняли титул курфюрста"
 GRANTELECTORATEWITHOTHER_4: "з рук держави"
 GRANTELECTORATEWITHOTHER_5: "$ACTOR$"
 GRANTELECTORATEWITHOTHER_6: "Відтепер вони є курфюрстом Священної Римської Імперії"
 GRANTELECTORATEWITHOTHER_LOG: "Держава $RECIPIENT$ прийняла титул курфюрста від держави $ACTOR$."
 GRANTELECTORATEWITHOTHER_BTN1: "Гаразд"
 GRANTELECTORATEWITHOTHER_BTN2: "Гаразд"
 GRANTELECTORATEWITHOTHER_BTN3: "Перейти"
 GRANTELECTORATEWITHOTHER_MAP: ""
 DECGRANTELECTORATEWITHUS_TITLE: "Не прийнято титул курфюрста"
 DECGRANTELECTORATEWITHUS_SETUP: "Держава відмовляється від нашої пропозиції стати курфюрстом"
 DECGRANTELECTORATEWITHUS_HEADER: "Вісник держави"
 DECGRANTELECTORATEWITHUS_1: "$RECIPIENT$"
 DECGRANTELECTORATEWITHUS_2: "повідомляє, що вони"
 DECGRANTELECTORATEWITHUS_3: "відмовилися прийняти нашу пропозицію"
 DECGRANTELECTORATEWITHUS_4: "стати курфюрстом імперії."
 DECGRANTELECTORATEWITHUS_5: ""
 DECGRANTELECTORATEWITHUS_6: ""
 DECGRANTELECTORATEWITHUS_LOG: "Держава $RECIPIENT$ відмовилася від нашої пропозиції стати курфюрстом."
 DECGRANTELECTORATEWITHUS_BTN1: "Неприємно"
 DECGRANTELECTORATEWITHUS_BTN2: "Неприємно"
 DECGRANTELECTORATEWITHUS_BTN3: "Перейти"
 DECGRANTELECTORATEWITHUS_MAP: ""
 DECGRANTELECTORATEWITHOTHER_TITLE: "Не прийнято титул курфюрста"
 DECGRANTELECTORATEWITHOTHER_SETUP: "Держава відмовляється стати курфюрстом"
 DECGRANTELECTORATEWITHOTHER_HEADER: "Вісник держави"
 DECGRANTELECTORATEWITHOTHER_1: "$RECIPIENT$"
 DECGRANTELECTORATEWITHOTHER_2: "повідомляє, що вони"
 DECGRANTELECTORATEWITHOTHER_3: "відмовилися прийняти титул курфюрста"
 DECGRANTELECTORATEWITHOTHER_4: "з рук держави"
 DECGRANTELECTORATEWITHOTHER_5: "$ACTOR$"
 DECGRANTELECTORATEWITHOTHER_6: " Здається, в імперії панує розлад."
 DECGRANTELECTORATEWITHOTHER_LOG: "Держава $RECIPIENT$ відмовилася прийняти титул курфюрста від держави $ACTOR$."
 DECGRANTELECTORATEWITHOTHER_BTN1: "Гаразд"
 DECGRANTELECTORATEWITHOTHER_BTN2: "Гаразд"
 DECGRANTELECTORATEWITHOTHER_BTN3: "Перейти"
 WE_LOST_ELECTORATE_TITLE: "Ми втратили статус курфюрста" 
 WE_LOST_ELECTORATE_SETUP: "Імператор скасував наш статус курфюрста Священної Римської Імперії"
 WE_LOST_ELECTORATE_HEADER: "$MESSENGER$"
 WE_LOST_ELECTORATE_1: "Ми втратили статус курфюрста в Імперії!"
 WE_LOST_ELECTORATE_2: "Наш статус виборця було скасовано державою"
 WE_LOST_ELECTORATE_3: "$ACTOR$"
 WE_LOST_ELECTORATE_4: "Цей виродок імператор дорого за це заплатить"
 WE_LOST_ELECTORATE_5: "коли прийде час розплати."
 WE_LOST_ELECTORATE_6: ""
 WE_LOST_ELECTORATE_LOG: "Держава $ACTOR$ відкликала наш статус курфюрста."
 WE_LOST_ELECTORATE_BTN1: "Хай начуваються!"
 WE_LOST_ELECTORATE_BTN2: "Хай начуваються!"
 WE_LOST_ELECTORATE_BTN3: "Перейти"
 WE_LOST_ELECTORATE_MAP: ""
 OTHER_LOST_ELECTORATE_TITLE: "Статус курфюрста втрачено" 
 OTHER_LOST_ELECTORATE_SETUP: "Імператор відкликав статус курфюрста Священної Римської Імперії"
 OTHER_LOST_ELECTORATE_HEADER: "Вісник держави"
 OTHER_LOST_ELECTORATE_1: "$RECIPIENT$"
 OTHER_LOST_ELECTORATE_2: "Повідомляє, що держава"
 OTHER_LOST_ELECTORATE_3: "$RECIPIENT$"
 OTHER_LOST_ELECTORATE_4: "втратила своє право бути курфюрстом,"
 OTHER_LOST_ELECTORATE_5: "воно було скасоване державою $ACTOR$."
 OTHER_LOST_ELECTORATE_6: "Вони більше не можуть бути виборцем."
 OTHER_LOST_ELECTORATE_LOG: "Держава $ACTOR$ відкликала привілеї держави $RECIPIENT$  ."
 OTHER_LOST_ELECTORATE_BTN1: "Буває.."
 OTHER_LOST_ELECTORATE_BTN2: "Буває.."
 OTHER_LOST_ELECTORATE_BTN3: "Перейти"
 OTHER_LOST_ELECTORATE_MAP: ""
 GRANTFREECITYWITHUS_TITLE: "Прийнято статус вільного міста"
 GRANTFREECITYWITHUS_SETUP: "Інша держава прийняла нашу пропозицію статусу вільного міста"
 GRANTFREECITYWITHUS_HEADER: "Вісник держави"
 GRANTFREECITYWITHUS_1: "$RECIPIENT$"
 GRANTFREECITYWITHUS_2: "$MONARCHTITLE$, держава $RECIPIENT$ погодилась"
 GRANTFREECITYWITHUS_3: "на нашу пропозицію статусу вільного міста."
 GRANTFREECITYWITHUS_4: "Їхні права і привілеї тепер гарантовані нами."
 GRANTFREECITYWITHUS_5: ""
 GRANTFREECITYWITHUS_6: ""
 GRANTFREECITYWITHUS_LOG: "Держава $RECIPIENT$ відтепер є вільним містом Імперії."
 GRANTFREECITYWITHUS_BTN1: "Гаразд"
 GRANTFREECITYWITHUS_BTN2: "Welcome to the club, pals"
 GRANTFREECITYWITHUS_BTN3: "Перейти"
 GRANTFREECITYWITHUS_MAP: ""
 WEACCGRANTFREECITY_TITLE: "Прийнято статус вільного міста"
 WEACCGRANTFREECITY_SETUP: "Ми прийняли пропозицію статусу вільного міста"
 WEACCGRANTFREECITY_HEADER: "$MESSENGER$"
 WEACCGRANTFREECITY_1: ""
 WEACCGRANTFREECITY_2: "Ми прийняли пропозицію держави $ACTOR$,"
 WEACCGRANTFREECITY_3: "відтепер ми вільне місто в Імперії."
 WEACCGRANTFREECITY_4: "Наші права і привілеї відтепер гарантовані самим імператором."
 WEACCGRANTFREECITY_5: ""
 WEACCGRANTFREECITY_6: ""
 WEACCGRANTFREECITY_LOG: "Ми прийняли пропозицію статусу вільного міста в Імперії."
 WEACCGRANTFREECITY_BTN1: "Гей, тост за імператора!"
 WEACCGRANTFREECITY_BTN2: "Гей, тост за імператора!"
 WEACCGRANTFREECITY_BTN3: "Перейти"
 WEACCGRANTFREECITY_MAP: ""
 GRANTFREECITYWITHOTHER_TITLE: "Прийнятий статус вільного міста"
 GRANTFREECITYWITHOTHER_SETUP: "Інша держава прийняла пропозицію статусу вільного міста"
 GRANTFREECITYWITHOTHER_HEADER: "Вісник держави"
 GRANTFREECITYWITHOTHER_1: "$RECIPIENT$"
 GRANTFREECITYWITHOTHER_2: "повідомляє, що держава"
 GRANTFREECITYWITHOTHER_3: "$RECIPIENT$"
 GRANTFREECITYWITHOTHER_4: "погодилась на пропозицію держави"
 GRANTFREECITYWITHOTHER_5: "$ACTOR$"
 GRANTFREECITYWITHOTHER_6: "отримати статусу вільного міста в Священній Римський Імперії."
 GRANTFREECITYWITHOTHER_LOG: "Держава $RECIPIENT$ прийняла пропозицію держави $ACTOR$ стати вільним містом."
 GRANTFREECITYWITHOTHER_BTN1: "Гаразд"
 GRANTFREECITYWITHOTHER_BTN2: "Гаразд"
 GRANTFREECITYWITHOTHER_BTN3: "Перейти"
 GRANTFREECITYWITHOTHER_MAP: ""
 DECGRANTFREECITYWITHUS_TITLE: "Відхилено статус вільного міста"
 DECGRANTFREECITYWITHUS_SETUP: "Інша держава відхилила пропозицію статусу вільного міста"
 DECGRANTFREECITYWITHUS_HEADER: "Вісник держави"
 DECGRANTFREECITYWITHUS_1: "$RECIPIENT$"
 DECGRANTFREECITYWITHUS_2: "У них вистачило безрозсудства"
 DECGRANTFREECITYWITHUS_3: "відмовитися від нашої пропозиції стати вільним містом,"
 DECGRANTFREECITYWITHUS_4: "як ми цього вимагали."
 DECGRANTFREECITYWITHUS_5: ""
 DECGRANTFREECITYWITHUS_6: ""
