l_ukrainian:
 exploration_events.1.t:0 "Розвідка у провінції $PROVINCENAME$"
 nahuatl_events.28.a:0 "Він догоджає богам і людям."
 nahuatl_events.28.b:0 "Йому не може бути дозволено залишитися."
 nahuatl_events.29.t:0 "Розширення великого храму в столиці"
 nahuatl_events.29.d:0 "Головний храм столиці – це найважливіший символ нашої влади і основа нашого зв'язку з богами. Це місце, де приносять жертви під час найважливіших свят, стає метою будь-яких загарбників, які проникли в місто. Один з головних обов'язків Тлатоані – підтримувати храм і розширювати його, коли можливо."
 nahuatl_events.29.a:0 "Прийняти амбітний проект розширення піраміди."
 nahuatl_events.29.b:0 "Настав час додати ще один поверх до піраміди."
 nahuatl_events.29.c:0 "Скромні покращення – це все, що ми можемо собі дозволити."
 nahuatl_events.29.dd:0 "Зараз ми не можемо дозволити собі багато."
 nahuatl_events.30.t:0 "Паломництво до Чолули"
 nahuatl_events.30.d:0 "Загальною традицією для наших дворян є паломництво у велике храмове місто Чолула, присвячене Кетцалькоатлю, покровителю мистецтв і дощів. Тут дворяни зі всієї Мезоамерики можуть принести йому дари і продемонструвати один одному своє багатство, не побоюючись зіштовхнутися в бою."
 nahuatl_events.30.a:0 "Віддати належне Кетцалькоатлю."
 nahuatl_events.30.b:0 "Що ж це за бог, який не дозволяє людські жертвоприношення?"
 nahuatl_events.31.t:0 "Землетрус"
 nahuatl_events.31.d:0 "Столиця [Root.Capital.GetCapitalName] була розбуджена сьогодні вночі потужним підземним поштовхом, який зруйнував чимало будівель і навіть кілька храмів. На наше полегшення, майже всі мешканці міста залишилися неушкодженими.\nТе, що знищення п'ятого Сонця і кінець нашої ери прийдуть у вигляді низки страшних землетрусів, відомо навіть дитині. Ми повинні дякувати богам, що цього разу вони врятували світ."
 nahuatl_events.31.a:0 "Хвала Тескатліпоке, богу ночі і промислів."
 nahuatl_events.31.b:0 "Хвала Кетцалькоатлю, богу життя та мудрості."
 nahuatl_events.31.c:0 "Хвала Уїцилопочтлі, покровителю воєн і богу сонця."
 nahuatl_events.31.dd:0 "Хвала Шипе-Тотеку, богу війни, смерті і сільського господарства."
 sce_poison_rock:0 "Отруйна скеля"
 desc_sce_poison_rock:0 "Зветься так через смертоносні рослини, що оточують скелю."
 sce_poison_rock_tooltip:0 "Отруйна скеля"
 desc_sce_poison_rock_tooltip:0 "Зветься так через смертоносні рослини, що оточують скелю."
 inti_yana_lord:0 "Лояльний вождь"
 desc_inti_yana_lord:0 "Ми особисто призначили вождів в цьому регіоні з числа наших найвідданіших слуг. Це означає принаймні те, що в даний час ця провінція знаходиться під тісним контролем з боку центру."
 inti_pachamac_oracle:0 "Оракул Пачакамака"
 desc_inti_pachamac_oracle:0 "Оракул Пачакамака – одне з найбільш важливих святилищ Андського світу, з сьомого століття андські правителі і дворяни приходили сюди дізнатися про своє майбутнє у маленького дерев'яного ідола."
 inti_major_huaca_temple:0 "Великий храм Уака"
 desc_inti_major_huaca_temple:0 "Ця провінція випробувала великий наплив пілігримів і посилення локальної своєрідності після піднесення бога Уакі рішенням одного з місцевих вождів."
 inti_low_fertility:0 "Зниження народжуваності"
 desc_inti_low_fertility:0 "Поточний соціальний склад цієї провінції призвів до гострого зниження кількості шлюбів в цьому регіоні. Місцеві жерці турбуються, що це може призвести до зменшення населення, хоча сім'ї раді, що вони надані самі собі в питаннях сватання."
 inti_arranged_marriages:0 "Організовані весілля"
 desc_inti_arranged_marriages:0 "Спеціально призначеному жерцеві з столиці було доручено завдання діяти тут у ролі свахи, засвідчюючись в тому, що ніякі дрібні соціальні або економічні чвари не зможуть перешкоджати населенню радувати Інті, укладаючи шлюби."
 inti_shrine_of_virocacha:0 "Святилище Віракочі"
 desc_inti_shrine_of_virocacha:0 "Це територія головного храму Віракочі, творця світу."
 inti_royal_guard:0 "Нові члени королівської гвардії"
 desc_inti_royal_guard:0 "Ми підібрали нових, загартованих у бою членів спадкової королівської гвардії в провінціях. Незважаючи на те, що це сильно підвищило якість самої гвардії, більш стародавні сімейства гвардійців і народ провінцій стурбовані цією тенденцією."
 inti_alarmed_nobles:0 "Відчужене дворянство"
 desc_inti_alarmed_nobles:0 "Розширивши королівську гвардію, ми привнесли нову кров в ряди нашого дворянства... і це дуже не сподобалося більш древнім сімействам."
 inti_attended_inti_raymi:0 "Відвідування фестивалю Інті Раймі"
 inti_refused_to_attend_inti_raymi:0 "Відмова від відвідування фестивалю Інті Раймі"
 inti_events.1.t:0 "Панака $RANDOM_OLD_MONARCH$"
 inti_events.1.d:0 "$RANDOM_OLD_MONARCH$ помер і з його похоронами починається ритуал переходу в потойбічний світ за допомогою муміфікації. Коли всі похоронні обряди дотримані, родичі і слуги $RANDOM_OLD_MONARCH$ сформують родовід Панака, очолюваний правителем, що пішов, і намагатимуться зберегти пам'ять про нього і продовжити його справу. Його майно і влада збережуться в тому ж вигляді, що і за життя, а мумія продовжить бути главою роду.\nПанаки колишніх правителів часто є найбільш впливовими групами вищого суспільства, і сходження нового правителя дуже рідко обходиться без їх підтримки. Однак, деякі правителі набагато більше гідні забуття, ніж муміфікації."
 inti_events.1.a:0 "Панака повинна бути створена."
 inti_events.1.a.tt:0 "Мумія займає місце голови нової Панаки, забираючи її майно з собою."
 inti_events.1.b:0 "Це вже не правитель, це могутній Уака, бог."
 inti_events.1.b.tt:0 "Мумія стане другорядним божеством, яке будуть шанувати всі."
 inti_events.1.c:0 "$RANDOM_OLD_MONARCH$, хто це?"
 inti_events.1.c.tt:0 "Нікому, крім його власних родичів, не буде дозволено згадувати про нього. Його майно буде конфісковано, і лише деякі з небагатьох поколінь будуть пам'ятати, що він взагалі існував."
 inti_events.2.t:0 "Підходяща дружина для спадкоємця [Root.Heir.GetName]"
 inti_events.2.d:0 "Жерці Інті дали зрозуміти, що [Root.Heir.GetName] повинен взяти свою сестру в головні дружини для того, щоб догодити богам. Багато його предків і навіть сам бог сонця одружилися подібним чином внутрісімейно і зберігали чистоту роду. Мати хлопчика, проте, відмовляється чути це і не хоче давати згоду.\nПравильным виходом з цього конфлікту буде запитати ради у нашого предка, у мумії, яка є головою нашої Панаки."
 inti_events.2.a:0 "Порадитися з предком."
 inti_events.2.b:0 "Поступитися матері."
 inti_events.2.c:0 "Прямо знехтувати думкою матері."
 inti_events.3.t:0 "Згода Маллкуї"
 inti_events.3.d:0 "Через жерців Панаки мумія, яка є головою нашого роду, відповіла, що вона згодна із запропонованим шлюбом. Оскільки її влада непорушна, ніхто не може піти проти шлюбу спадкоємця [Root.Heir.GetName] і його сестри."
 inti_events.3.a:0 "Нехай будуть вони одружені."
 inti_events.3.b:0 "Можливо, весілля варто відкласти."
 inti_events.4.t:0 "Відмова Маллкуї"
 inti_events.4.d:0 "Через жерців Панаки мумія, яка є головою нашого роду, відповіла, що вона не схвалює запропонований шлюб. Оскільки її влада непорушна, шлюб спадкоємця [Root.Heir.GetName] і його сестри неможливий."
 inti_events.4.a:0 "Добре."
 inti_events.5.t:0 "Змова вождя проти правителя [Root.Monarch.GetName]"
 inti_events.5.d:0 "Наш релігійний наглядач розкрив змову, згідно з якою один із дрібних вождів нашої держави хотів зазіхнути на життя монарха [Root.Monarch.GetName] з допомогою золотого бога Уакі.\nНе дивлячись на сумнівність реальної шкоди здоров'ю короля, наглядач пропонує зробити з цього вождя зразок найгіршого різновиду зрадників і примусово видалити залученого Уаку."
 inti_events.5.a:0 "Видалення Уакі буде достатньо."
 inti_events.5.b:0 "Вождь відправиться в яму Санкаканча."
 inti_events.5.b.tt:0 "Вождя стратити, а правителем цієї області призначити лояльного слугу до стабілізації ситуації."
 inti_events.5.c:0 "Зробити догану вождю, але залишити його в живих."
 inti_events.6.t:0 "Шанування місцевого Уакі"
 inti_events.6.d:0 "Правитель повинен здійснити подорожсвоїм королівством, відвідуючи кожну провінцію держави та беручи участь не тільки у світських, але і релігійних церемоніях його вождів. З наближенням [Root.Monarch.GetName] до величезного храму місцевого бога Уакі, мумії давно минулої династії вустами королівських жерців закликають до обережності. Це неймовірно популярний Уака, а якщо ми занадто сильно вшануймо одного з Уак наших підданих, вони отримають дуже багато сили і влади.\nЗ іншого боку, цей Уака вважається дуже могутнім, що укупі з його популярністю може принести чималу користь."
 inti_events.6.a:0 "Вшанувати Уаку."
 inti_events.6.b:0 "Уникнути відвідин храму."
 inti_events.6.c:0 "Змусити вождя відіслати Уаку в [Root.Capital.GetCapitalName]."
 inti_events.7.t:0 "Молодь провінції [Root.GetName]"
 inti_events.7.d:0 "Жерці провінції [Root.GetName] стурбовані занадто великою кількістю неодружених юнаків і дівчат у цьому районі. Схоже, події склалися таким чином, що соціально та економічно вигідні шлюби тут практично неможливі, а родини не хочуть погоджуватися навіть з тими, що вже запропоновані. Буває, що [Root.Owner.Monarch.GetTitleKHTO] не рідко втручається і примусово організовує шлюби в подібних ситуаціях. Можливо, [Root.Owner.Monarch.GetTitleOMU] вже час втрутитися?"
 inti_events.7.a:0 "Послати жерця організовувати шлюби."
 inti_events.7.b:0 "Не в наших правилах втручатися в подібні речі."
 inti_events.8.t:0 "Храм Віракочі"
 inti_events.8.d:0 "Після створення світу й надання кожній етнічній групі її мови та одягу, Віракоча подорожував від озера Тітікака через Анди, прийнявши вигляд старого. Оскільки його не визнавали за божество, то з ним обходилися погано, тож для того, щоби продемонструвати свою сутність, він нарешті випалив землю й змусив людей визнати свою могутність.\nСьогодні шлях від озера Тітікака усипаний святилищами великого бога, а Кача, де він змусив людей себе визнати, буде ідеальним місцем для храму, присвяченого великому творцеві."
 inti_events.8.a:0 "Ми повинні побудувати цей храм."
 inti_events.8.b:0 "Давайте краще витратимо ресурси на що-небудь інше."
 inti_events.9.t:0 "Сповідники Акачіка"
 inti_events.9.d:0 "Після недавньої війни вина лежить на нашому народі, як важке покривало. Прийшла пора дати їм можливість очиститися від гріхів, скоєних під час війни. Наші жерці заявили, що це найкращий час для проведення очищення і посту, під час якого кожен зможе сповідатися Акачікам і очиститися в річках столиці [Root.Capital.GetCapitalName]."
 inti_events.9.a:0 "Відмінна ідея."
 inti_events.9.b:0 "Краще не варто."
 inti_events.10.t:0 "Великий храм [Root.GetName]"
 inti_events.10.d:0 "До нас дійшли чутки про те, що місцевий вождь у провінції [Root.GetName] почав будівництво нового амбітного храму для головного божества Уакі його племені. Як це часто буває, Уака також є муміфікованим предком його власної династії. Хоча вождь виглядає покірним і визнає нашу владу, створюється враження, що він намагається вибудувати для себе більш потужну бззу в провінції  [Root.GetName].\nЖерці Інті в місті [Root.Capital.GetCapitalName] впевнено намагаються переконати нас в тому, що ми повинні прибрати Уаку, щоби поставити цього вождя на місце."
 inti_events.10.a:0 "Наказати вождю зруйнувати його Уаку."
 inti_events.10.b:0 "Дозволити йому побудувати храм."
 inti_events.11.t:0 "Взаємність"
 inti_events.11.d:0 "Нічого не приходить безоплатно у цьому світі. Незважаючи на те, що будь-який з багатьох вождів нашої держави клянеться в безмежній вірності, якщо ми їх про що-небудь попросимо, то переконаємося, що вірність має свою ціну. Якщо ми не будемо регулярно проводити великі бенкети для вождів нашої країни і обдаровувати їх подарунками за їх вірну службу, у них може зникнути мотивація до виконання навіть найпростіших завдань."
 inti_events.11.a:0 "Давайте проведемо розкішний бенкет."
 inti_events.11.b:0 "Ми можемо дозволити собі лише скромний свято."
 inti_events.11.c:0 "Я не бачу причин для такого марнотратства."
 inti_events.12.t:0 "Фестиваль води"
 inti_events.12.d:0 "Без річок і струмків життя в Андах могло б бути куди більш важким, і духи, оживляючі текучу воду безсумнівно гідні нашого визнання. Прийшла пора для фестивалю Пурапусио. Могутні річки Анд готові прийняти наші дари."
 inti_events.12.a:0 "Пожертвувати пиво Чіча, щоб вони пили."
 inti_events.12.b:0 "Пожертвувати лам, щоб полегшити їх страждання."
 inti_events.12.c:0 "Пожертвувати гарною одягу, щоб тримати їх в теплі."
 inti_events.13.t:0 "Будівництво храму"
 inti_events.13.d:0 "Люди провінції [Root.GetName] розділені, оскільки шанують різних богів Уак. З цієї причини було вирішено розпочати будівництво великого храму Інті в якості природного центру духовного та адміністративного життя регіону.\nКерівник будівництва представив [Root.Owner.Monarch.GetTitleOMU] два різних плана для храму. Перший план – побудувати храм у Тінкає, священному злиття двох потоків, інший план пропонує використати старе святилище Уакі як основу для нового храму."
 inti_events.13.a:0 "Новому храму потрібно нове місце, будуйте його в Тінкає."
 inti_events.13.b:0 "Давайте використаємо старе святилище."
 inti_events.14.t:0 "Оракули і передбачення"
 inti_events.14.d:0 "Світ іноді буває дуже жорстоким місцем, а доля може скластися дивним чином. На щастя, у нас є боги Уакі, що допомагають нам тлумачити майбутнє. Якщо ж воно виявляється занадто складним для сприйняття Уак, в Андах є й інші оракули, але перед тим як поділитися своїми видіннями їм потрібен гідний дарунок. [Root.Monarch.GetName] останнім часом обтяжен[Root.Monarch.GetMEndAYJ] численними сумнівами, одже, можливо, саме час звернутися до знамень."
 inti_events.14.a:0 "Порадитися з оракулом місцевого Уакі в [Root.Capital.GetCapitalName]"
 inti_events.14.b:0 "Відправитися до великого оракула Пачакамак."
 inti_events.14.c:0 "Ми повинні йти до оракула Апурбемак."
 inti_events.14.dd:0 "Не варто сильно замислюватися над майбутнім."
 inti_events.15.t:0 "Відповідь Хуатук і Хамурпа"
 inti_events.15.d:0 "Велика кількість віщунів прикріплені до тієї чи іншої святині. Гуакарімачік розмовляє з Уакамі, в той час як Аятапук спілкується з мертвими. Хуатук досягає пророчого настрою за допомогою священного напою, а Хамурпа читає нутрощі принесених в жертву лам та інших тварин.\nУсі ці великі віщуни тільки що розглянули питання, поставлені нашим правителем, й усі згодні з тим, що на нас чекає плідне та успішне майбутнє"
 inti_events.15.a:0 "Чудово."
 inti_events.16.t:0 "Суперечливі відповіді Хуатука та Хамурпи"
 inti_events.16.d:0 "У храмі кожного оракула є велике число віщунів. Гуакаримачік говорить з Уаками, в той час як Аятапук спілкується з мертвими. Хуатук досягає пророчого настрою за допомогою священного напою, а Хамурпа читає нутрощі принесених в жертву лам або інших тварин.\nУсі ці великі віщуни тільки що розглянули питання, поставлені нашим правителем, але відповіді далеко не так корисні, як він очікував. Ознаки суперечливі, а в майбутньому, у яке завітали віщуни, нас чекають як небезпеки, так і можливості."
 inti_events.16.a:0 "Гаразд"
 inti_events.17.t:0 "Мітмаки хочуть додому"
 inti_events.17.d:0 "Із завоюванням нових земель ми зіткнулися з групами людей, насильно переселених в якості мітмаків з одного регіону в інший їхніми колишніми господарями. Оскільки мітмакам не дозволено міняти манеру розмови і одяг, а все своє майно вони повинні брати з собою, ці люди ніколи не припиняють тужити за своїми домівками.\nЯк це зазвичай буває, їхня рідна територія також знаходиться під нашим контролем, тому до [Root.Monarch.GetTitleOGO] була надіслана делагація від мітмаків. Вони стверджують, що їхні Уакі сказали їм повернутися, та просять зняти з них зобов'язання."
 inti_events.17.a:0 "Дозволити мітмакам повернутися."
 inti_events.17.b:0 "Вони потрібні там, де знаходяться зараз."
 inti_events.18.t:0 "Жерці розпалюють заворушення в провінції [Root.GetName]"
 inti_events.18.d:0 "Жерці дрібного бога Уакі в провінції [Root.GetName] поширюють негативні думки про наше правління, кажучи, що ми повільно підвищуємо владу Інті на шкоду іншим богам Уак. На щастя, велика частина наших підданих не настільки дурна, щоб вірити цим безпідставним звинуваченням, але одне з племен провінції [Root.GetName] підтримує жерців і тепер вимагає від нас гарантій збереження їхніх богів і їхнього народу."
 inti_events.18.a:0 "Прийшла пора цим людям змінити місце проживання як мітмакам."
 inti_events.18.b:0 "Дати гарантії місцевим жерцям."
 inti_events.18.c:0 "Цим жерцям місце тільки в ямі Санкаканчи."
 inti_events.19.t:0 "Зростання населення в провінції [Root.GetName]"
 inti_events.19.d:0 "Державна політика щодо організації шлюбів у провінції [Root.GetName] окупилася сповна. Тривожна тенденція не тільки відступила, але навіть навпаки – відбулося різке зростання населення в результаті нашого втручання.\nХоча зростання робочої сили в цілому сприяє провінції, обурення сімей, які були змушені погодитися з невигідними шлюбами, все ще має місце."
 inti_events.19.a:0 "Добре."
 inti_events.20.t:0 "Інті Раймі, Фестиваль Сонця"
 inti_events.20.d:0 "Священики Уака, які займаються спостереженнями за сонцем, оголосили, що саме час відсвяткувати фестиваль Інті Раймі, свято сонця. Ця подія триватиме дев'ять днів і покликана відзначити божественне походження Інків. На нього завжди запрошується все населення столиці, а також всі великі правителі інших земель і жерці Уака."
 inti_events.20.a:0 "Населення нашої великої столиці [Root.Capital.GetCapitalName] прийме участь."
 inti_events.20.b:0 "Покличте також всіх найвпливовіших вождів нашої Імперії!."
 inti_events.20.c:0 "Всі вожді і жерці Уака повинні бути присутніми."
 inti_events.21.t:0 "Вожді відмовляються підкорятися"
 inti_events.21.d:0 "Деякі із запрошених вождів зайняли принципово ворожу позицію і відмовилися відвідати фестиваль Інті Раймі."
 inti_events.21.a:0 "Спробуйте підкупити їх дорогими подарунками й обіцянками."
 inti_events.21.b:0 "Обійдемося без них."
 inti_events.21.c:0 "Вони повинні бути присутніми на святі, хочуть того чи ні."
 inti_events.22.t:0 "Уака цураються фестивалю"
 inti_events.22.d:0 "Священики, що служать деяким богам Уака, розсерджені нашим розпорядженням перенести їх ідолів в провінцію [Root.Capital.GetCapitalName] і відмовилися прийти на фестиваль."
 inti_events.22.a:0 "Ми проведемо фестиваль і без них."
 inti_events.22.b:0 "Примусьте їх прийти."
 inti_events.23.t:0 "Запрошення на фестиваль Інті Раймі"
 inti_events.23.d:0 "Прибув посол [From.GetTagOGO], який вимагає, щоб ми були присутні на фестивалі Інті-Раймі в їхній столиці [From.Capital.GetCapitalName]."
 inti_events.23.a:0 "Тоді ми повинні піти туди і прославити бога Сонця!"
 inti_events.23.b:0 "Ми залишимося вдома і віддамо хвалу сонцю по-своєму."
 inti_events.24.t:0 "Правитель [From.GetTagOGO] відмовився прийти."
 inti_events.24.d:0 "[From.Monarch.GetName], правитель [From.GetTagOGO] відмовився від пропозиції приєднатися до святкування Інті Раймі."
 inti_events.24.a:0 "Фестиваль нічого не втратить."
 inti_events.25.t:0 "Святкування Інті Раймі"
 inti_events.25.d:0 "Після кількох днів посту і утримання від зайвого нарешті прийшов час фестивалю Сонця. Населення нашої столиці – [From.Capital.GetCapitalName], чудово підготувалося до свята і сонце будуть вшановувати жертвопринесеннями тварин. Люди щасливі, адже попереду кілька днів чудового бенкету."
 inti_events.25.a:0 "Славимо Сонце!"
 inti_events.26.t:0 "Святкування Інті Раймі"
 inti_events.26.d:0 "Після кількох днів посту і утримання від зайвого нарешті прийшов час фестивалю Сонця. Площі міста [From.Capital.GetCapitalName] заповнені вщент з початком церемоній зустрічі сонця. Люди нашої держави та багато вождів з підконтрольних нам земель приносять у жертву тварин та інші дари. [Root.Monarch.GetTitle] подарував нам кілька днів веселощів і насолоди, тож не розчаруємо його!"
 inti_events.26.a:0 "Славімо Сонце!"
 inti_events.27.t:0 "Святкування Інті Раймі"
 inti_events.27.d:0 "Після кількох днів посту і утримання від зайвого нарешті прийшов час фестивалю Сонця. Площі міста [From.Capital.GetCapitalName] заповнені вщент з початком церемоній зустрічі сонця. Люди нашої держави та багато вождів та жерців Уака з підконтрольних нам земель, усі приносять у жертву тварин та інші дари. [Root.Monarch.GetTitle] подарував нам кілька днів веселощів і насолоди, тож не розчаруємо його!"
 inti_events.27.a:0 "Славімо Сонце!"
 inti_events.28.t:0 "Святкування Інті Раймі"
 inti_events.28.d:0 "Після кількох днів посту і утримання від зайвого прийшов час фестивалю Сонця. Площі міста [From.Capital.GetCapitalName] заповнені вщент з початком церемоній зустрічі сонця. Люди нашої держави та багато вождів та жерців Уака з підконтрольних нам земель, усі приносять у жертву тварин та інші дари. [Root.Monarch.GetTitle] подарував нам кілька днів веселощів і насолоди, тож не розчаруємо його!"
 inti_events.28.a:0 "Славімо Сонце!"
 inti_events.29.t:0 "Фестиваль Вту"
 inti_events.29.d:0 "Великі біди, що обрушилися на наш народ. Населення страждає від негараздів і побоюється за своє майбутнє. В ці дні свято Увп повинен стати променем світла для наших підданих у всій державі. Жертви повинні зробити богів більш сприйнятливими до нашим маленьким бід. \nНа цьому особливому фестивалі наші священики принесуть людську жертву, щоб страждає населення нарешті отримало надію, адже боги обов'язково допоможуть після такої великої жертви."
 inti_events.29.a:0 "Давайте не будемо відходити від традиційних жертвопринесень."
 inti_events.29.a.tt:0 "Проводиться звичайний фестиваль з жертвоприношенням лам, одягу, овець і чічі."
 inti_events.29.b:0 "Людська жертва врятує всіх нас!."
 inti_events.29.b.tt:0 "Проводиться набагато більш розкішний і довгий фестиваль, що завершується жертвопринесенням дітей."
 inti_events.29.c:0 "Ми повинні займатися більш нагальними проблемами, а не святами."
 inti_events.30.t:0 "Фестиваль Вту"
 inti_events.30.d:0 "Після кількох днів святкувань майбутнє безумовно стане краще. Масові церемоніальні танці на величезних площах [Root.Capital.GetCapitalName], бенкет для всіх васальних вождів і численні жертви тварин, одягу та пива чічі гарантують прихильне ставлення богів в найближчому майбутньому."
 inti_events.30.a:0 "Хвала богам!"
 inti_events.31.t:0 "Фестиваль Іту"
 inti_events.31.d:0 "Свято тривало кілька днів поспіль, бурхливі бенкети, церемоніальні танці, а довершило все це жертвоприношення кращих дітей нашої Імперії. Тепер ми можемо бути впевнені, що майбутнє несе лише процвітання."
 inti_events.31.a:0 "Добре."
 inti_events.32.t:0 "Королівська варта"
 inti_events.32.d:0 "Честь охороняти життя і здоров'я нашого правителя передається спадково і належить кільком шляхетним сім'ям міста [From.Capital.GetCapitalName]. Проте це не є гарантією військового майстерності солдатів. Після відвідування провінцій нашої держави стало остаточно ясно, що [Root.Monarch.GetName] потребує набагато більш кращу охорону, ми не знаємо хто вирішить напасти на нього в наступний раз, тому потрібно додати нової крові у гвардію. \n Зрозуміло, що сім'ї, які вже мають даний привілей, не відразу приймуть нових гвардійців, але рано чи пізно все владнається."
 inti_events.32.a:0 "Додати нової крові."
 inti_events.32.b:0 "Зберегти привілеї."
 inti_events.33.t:0 "Обурені дворяни"
 inti_events.33.d:0 "Делегати від найшляхетніших родин столиці прибули до двору і вимагають, щоб [Root.Monarch.GetName] відправив новоспечених охоронців назад по своїх домівках. Вони одночасно раді, що сам принцип формування гвардії не змінився, але категорично відкидають нових її членів, які нещодавно отримали спадкове право захищати нашого правителя. За їх словами, ті не підходять на роль аристократії міста [From.Capital.GetCapitalName]. Однак, тільки ми вирішуємо, що є аристократія."
 inti_events.33.a:0 "Скасувати рішення про розширення гвардії."
 inti_events.33.b:0 "Нехай пройде одне-два покоління."
 inti_events.34.t:0 "Атака в місті [From.Capital.GetCapitalName]"
 inti_events.34.d:0 "Під час традиційної роздачі напоїв і милостині простолюдинам на великій площі столиці, [Root.Monarch.GetName] був атакований невеликою групою професійних вбивць. Нападники відступили так само несподівано, як з'явилися, так і не досягнувши своєї мети, хоч і були в кроці від бажаного. Варта була захоплена зненацька подібним нападом, можливо тому, що новачки ще не звикли до жвавих вулиць міста [From.Capital.GetCapitalName]."
 inti_events.34.a:0 "Скасувати рішення про розширення гвардії."
 inti_events.34.b:0 "Це виглядає дуже підозріло..."
 inti_events.34.b.tt:0 "Буде розпочато розслідування цієї зухвалої вилазки."
 inti_events.35.t:0 "Розслідування зупинено"
 inti_events.35.d:0 "Розслідування зухвалого нападу в нашій столиці [From.Capital.GetCapitalName] досі майже не просунулася, а змусити людей співпрацювати практично неможливо. Слідчий підозрює, що це могли бути деякі з синів місцевих аристократів-баламутів, але ми не можемо виходити лише з якихось підозр."
 inti_events.35.a:0 "Шкода..."
 inti_events.36.t:0 "Змова розкрита"
 inti_events.36.d:0 "Розслідування замаху в нашій столиці оголило дилетантську змову групи молодих дворян-вихідців із сімей, незадоволених перестановками в гвардії. Вони запевняють нас, що ніколи не завдали б шкоди Сапа-Інка, але лише вказали на відриті через нещодавні рішення слабкі місця. Покарання за зраду одне – смерть, але аристократія міста [From.Capital.GetCapitalName] не стане сильніше любити нас після вбивства їх синів. Мудра милість з нашого боку може заспокоїти їх ефективніше."
 inti_events.36.a:0 "Кинути їх до звірячої клітки!"
 inti_events.36.b:0 "Я дарую їм своє прощення."
 ENABLE:0 "Увімкнути"
 DISABLE:0 "Вимкнути"
 ND_COST_START:0 "Поточна вартість вашої країни вираховується з наступних факторів: "
 ND_DISABLED_BY_GOVERNMENT:0 "§RВаша форма правління не дозволяє цю дію§!"
 ND_TOGGLE_USE_HEIR:0 "Цей перемикач дозволяє почати гру із спадкоємцем"
 ND_TOGGLE_USE_CONSORT:0 "Цей перемикач дозволяє почати гру з консортом"
 ND_PART_COST:0 "§YВартість§!"
 ND_RULER_COST:0 "Цей правитель коштує $VAL$, завдяки таким чинникам:\n"
 ND_HEIR_COST:0 "Цей спадкоємець коштує $VAL$, завдяки таким чинникам:\n"
 ND_CONSORT_COST:0 "Цей консорт коштує $VAL$, завдяки таким чинникам:\n"
 ND_HAS_ELECTIONS:0 "Тип уряду"
 ND_CONSORT_COST_MODIFIER:0 "є консорт"
 ND_SKILL_COST:0 "Уміння: $COST$\n"
 ND_STATS_COST:1 "Навички правителя $RULER$: $VALUE$"
 ND_IDEAS_COST:0 "Національні ідеї: $VALUE$"
 ND_TOO_MUCH_ADM_COST:0 "Адміністративні ідеї перевищують ліміт §Y$LIMIT$%§!: $VALUE$"
 ND_TOO_MUCH_DIP_COST:0 "Дипломатичні ідеї перевищують ліміт §Y$LIMIT$%§!: $VALUE$"
 ND_TOO_MUCH_MIL_COST:0 "Військові ідеї перевищують ліміт §Y$LIMIT$%§!: $VALUE$"
 ND_EXTRA_IDEA_COST:0 "Високі значення традицій і ранніх ідей: $VALUE$"
 ND_PROVINCE_COST:0 "Податки з провінцій: $VALUE$"
 ND_PROVINCE_COST_TERRAIN:0 "Земля в провінції: $VALUE$"
 ND_MANPOWER_COST:0 "Рекрути з провінцій: $VALUE$"
 MEMBER_OF_HRE:0 "Членство в СРІ: $VALUE$"
 ND_GOLD_COST:0 "Золотоносні провінції: $VALUE$"
 ND_TECH_PENALTY:0 "Немає сусідів з $GROUP$ групою технологій: $VALUE$"
 ND_GOVERNMENT_COST:0 "Тип уряду: $VALUE$"
 ND_GOVERNMENT_RANK_COST:0 "Ранг уряду: $VALUE$"
 ND_TECH_COST:0 "$GROUP$ група технологій на континенті $CONTINENT$: $VALUE$"
 ND_COST_END_1:0 "§YВи можете витратити $VALUE$ балів.§!"
 ND_COST_END_3:0 "§GВи витратили $VALUE$ доступних балів.§!"
 ND_COST_END_2:0 "§RКількість балів перевищує допустиме значення на $VALUE$!§!"
 DONE:0 "Готово"
 ND_SELECT_IDEA:0 "Вибрати ідею"
 ND_ADMINISTRATIVE:0 "адмін."
 ND_DIPLOMATIC:0 "дипло."
 ND_MILITARY:0 "військ."
 JMN:0 "Ян-Майєн"
 JMN_ADJ:0 "Ян-Майєнськ"
 TREASURE_FLEET_TOOLTIP:0 "Наступний золотий флот з колонії $COUNTRY$ прибуде §Y$DATE$§! року. Ми оцінюємо наш прибуток у §Y$NUM$§!."
 TREASURE_FLEET_TOOLTIP_CANT_REACH:0 "§RКолонія $COUNTRY$ не може відправити золотий флот, оскільки наша торгова столиця $OURNODE$ не має зв'язку з $THEIRNODE$. Замість цього вони збільшать свої виплати.§!"
