l_ukrainian:
 # Country formation decisions
 TTS:0 "Дві Сицилії"
 ANH_ideas:0 "Ангальтські ідеї"
 ANH_ideas_start:0 "Ангальтські традиції"
 ANH_ideas_bonus:0 "Ангальтські амбіції"
 ANH_mittelgebirge:0 "Mittelgebirge"
 ANH_mittelgebirge_desc:0 "Our home is situated between the mountains of the Harz and the River Elbe, protected and cut off from the rest of Saxony. This relative isolation and defensive position has brought prosperity to Anhalt for centuries, and if we continue to remain out of the petty conflicts of our fellow Princes, we shall make Anhalt into the pearl of the Elbe."
 ANH_branches:0 "The Branches of Anhalt"
 ANH_branches_desc:0 "When the good Duke Henry passed, his territories were divided amongst his three sons, who in turn would also partition their territories amongst their sons, and so the royal administration of Anhalt would continue to divide and grow with each generation. Though many branches converge and consolidate into one, this style of government shall facilitate for the expansion of Anhalt and the growth and prosperity of our royal line."
 ANH_incorporating_the_bishopric:0 "Incorporation of the Bishopric"
 ANH_incorporating_the_bishopric_desc:0 "Long ago, our nation was divided between the Princedom of Anhalt and the Bishopric of Halberstadt on the north side of the Harz mountains. When Duke Henry passed, his territories were divided amongst his sons, and with a promise to always follow the one true word of God, the Bishop of Halberstadt pledged fealty to Henry's eldest son and joined the Aschersleben district."
 ANH_castle:0 "Anhalt Castle"
 ANH_castle_desc:0 "Although our nation has long been protected by the mountains and rivers of our home, the terrain alone was not sufficient to protect us from invaders. In spite of our small size, Anhalt Keep was quickly transformed into Anhalt Castle, built in the Harz Mountains to protect our nation from any entering with malicious intent. It's the necessity of survival that motivates the swiftness of our builders, and if Anhalt is to continue to protect itself from subjugation, we must continue this tradition of cheap and rapid construction."
 ANH_garden_kingdom:0 "Dessau Garden Kingdom"
 ANH_garden_kingdom_desc:0 "Our home is full of vast empty spaces, but our Royal line deserves something to demonstrate the wealth and power held within Anhalt. Though many would construct a palace or a cathedral, our wise nobility desire instead to establish a garden so vast and beautiful that it is itself a Kingdom for noblemen to explore."
 ANH_schultheiss:0 "The Duke and the Schultheiss"
 ANH_schultheiss_desc:0 "One of the largest settlements in the Duchy of Anhalt is Dessau, which itself is governed autonomously by an individual selected by the Duke and elected by the people. Rulership in this style is common across Anhalt and guarantees that tax collection in our many towns and villages is carried out in an exact and expedient manner without embezzlement."
 ANH_confessor:0 "The Confessor"
 ANH_confessor_desc:0 "With the Reformation spreading through the Christian world, it is time Anhalt took a stance on this worrisome matter. By siding with the reformers and adopting the title of the Confessor, we may end the corruption of Catholicism in our nation, and spread the one true word of God, free from the finery and fakery of the Catholics!"
 AUS_ideas:0 "Австралійські ідеї"
 AUS_ideas_start:0 "Австралійські традиції"
 AUS_ideas_bonus:0 "Австралійські амбіції"
 AUS_outback_stations:0 "Outback Stations"
 AUS_outback_stations_desc:0 "The Outback is a harsh and unforgiving wilderness devoid of necessary amenities for life such as rivers and rainfall. However, we have adopted a method of farming akin to American ranching, where the landowner is granted Crown lands on which to raise his cattle and horses. This method of ranching is adaptable to all conditions, and has made regions of the country that would usually be useless into productive vital components of the state."
 AUS_land_down_under:0 "The Land Down Under"
 AUS_land_down_under_desc:0 "Oceania was the last continent to be discovered by the Europeans, and Australia is by far the largest singular landmass on the Oceanic continent. The creatures found in Australia were at one point considered so fantastical and otherworldly that many Europeans simply did not believe they could exist until they saw them with their own eyes. The unfamiliar nature of our wildlife and geography makes Australia deadly for invading armies. We were once foreigners to this land as well, but we have adapted to the harsh conditions of the outback and our soldiers can easily adapt to any foreign soil."
 AUS_eureka_rebellion:0 "The Eureka Rebellion"
 AUS_eureka_rebellion_desc:0 "We were sent over to Australia by our former overlord as prisoners, unwanted minorities, and political insurgents from the homeland to work the gold mines in this alien land. Our overlord was foolish enough to believe that sending men who had reason to hate the state would not instigate a rebellion, but the gold miners did inevitably raise their flag in rebellion against the crown. Our overlord demanded that we surrender most of the riches accumulated from mining our gold, but we were having none of that nonsense! It was this rebellion that birthed the Eureka Flag, and although this rebellion failed, we now finally stand as an independent nation, and nobody will take Australian gold but Australians!"
 AUS_sandpaper_and_cheating:0 "The Diggers"
 AUS_sandpaper_and_cheating_desc:0 "The Australian Diggers are riflemen and marines deployed to fight on foreign soil for our glorious Empire. The term "digger" is slang for miner due to the fact that most Digger soldiers are miners when not on active duty. The informal term is symbolic of the Australian concept of “being mates”; equals, comrades, and friends."
 AUS_royal_navy:0 "Royal Australian Navy"
 AUS_royal_navy_desc:0 "The Australian Royal Navy is split into six divisions based on the different provinces of the Australian colony. Now that we are free from colonial rule, we are free to unite the six provinces into one and we will make Australia into a fierce uncontested force in the Pacific."
 AUS_bushrangers:0 "Integration of the Bushrangers"
 AUS_bushrangers_desc:0 "A sizeable number of settlers sent from the mainland to live in Australia were convicts and undesirables forced into exile, and the particularly cunning amongst these thieves and cutthroats would become Bushrangers. These were hardened men who used the unforgiving Australian bush as a base for their robbing operations. They were particularly rich and powerful during the Australian Gold Rush, but now that we have won our freedom for our colonial oppressors, these men are convicts to no-one, and we would do well to utilise their ambushing tactics on our enemies!"
 AUS_waltzing_matilda:0 "Waltzing Matilda"
 AUS_waltzing_matilda_desc:0 "Once a jolly swagman camped by a billabong\nUnder the shade of a coolibah tree,\nAnd he sang as he watched and waited till his Billy boiled,\n"You'll come a-waltzing Matilda, with me."\n\nThis traditional Australian folk song symbolises the values held by our people. It tells the story of an escaped convict stealing a sheep and dying in his fight against the law. For we in Australia, it is not the glory of victory, but the honour of the struggle that defines who we are!"
 swabian_ideas:0 "Ідеї Швабії, міста-держави"
 swabian_ideas_start:1 "Традиції Швабії, міста-держави"
 swabian_ideas_bonus:1 "Амбіції Швабії, міста-держави"
 swabian_mercenaries:0 "Swabian Mercenaries"
 swabian_mercenaries_desc:0 "Though Swiss Mercenaries are famed throughout Europe, we Swabians provide the swiss with some stiff competition, with our own mercenaries being famed for their discipline and effectiveness on the battlefield. "
 swabian_river_iller:0 "By the River Iller"
 swabian_river_iller_desc:0 "We are separated from the Bavarians by the River Iller, and with the expansion of the Bavarian dukes to our East, the river will prove useful not only in feeding our crops and keeping Swabia fertile, but also as a defensive position in any conflict we find ourselves in against the Bavarians."
 swabian_bavarian_resistance:0 "Bavarian Resistance"
 swabian_bavarian_resistance_desc:0 "Much like any region in the Empire, the Swabian states find themselves in as much conflict with each-other as any external threat. With our neighbors to the East consolidating into a centralized Kingdom and with growing Habsburg influence in the region, we must set our petty squabbles aside and work to maintain the independence of all Swabian states."
 swabian_decapole:0 "Decapole"
 swabian_decapole_desc:0 "The Decapole was an alliance formed by the Imperial states on the French border, of which many are Swabian. Though we usually depend on the Empire to support our independence, the internal politics of the Empire is always in turmoil, and it is only by forming alliances like the Decapole that we may truly resist foreign influence."
 swabian_reclaiming_the_duchy:0 "Reclaiming the Duchy"
 swabian_reclaiming_the_duchy_desc:0 "The Duchy of Swabia was dissolved over a century ago, but the dream of reuniting the nation is strong amongst all of the successor states. Our attempts to reconsolidate thus far have been quashed by the Emperor, but he cannot keep us suppressed forever!"
 swabian_thorn_of_the_empire:0 "The Thorn of the Empire"
 swabian_thorn_of_the_empire_desc:0 "Throughout our history, the Emperor has sought to do little else but bring us to heel, but Swabia is no Habsburg lapdog. We will continue to be a thorn in the Emperor's side, until we have removed all traces of Habsburg influence from Swabia!"
 swabian_habsburg_league:0 "The Habsburg League"
 swabian_habsburg_league_desc:0 "Inspired by the Swiss leagues to our south, the Emperor organized the many Swabian city-states into a free and independent league with a Habsburg Prince as its leader. Unlike the Swiss Cantons which organize their government around mutual protection and a shared desire for independence and freedom, the Swabian League is a much more aggressive and militaristic union designed to contest the Swiss. Though many Swabians support the idea of joining the Swiss League, we must maintain the illusion that the Swabian League will do just as well to keep our independence."
 LAU_ideas:0 "Ідеї Саксен-Лауенбурга"
 LAU_ideas_start:0 "Традиції Саксен-Лауенбурга"
 LAU_ideas_bonus:0 "Амбіції Саксен-Лауенбурга"
 LAU_partition_of_saxony:0 "The Partition of Saxony"
 LAU_partition_of_saxony_desc:0 "Our nation was born out of the partitioning of the original Duchy of Saxony. When John I abdicated his duties as Duke, he determined he would divide his titles and government amongst his sons and brothers. This deconstruction of the old Saxon state makes it somewhat unclear who is the rightful owner of what, but the confusion certainly does make claiming the region a much easier task."
 LAU_diarchy:0 "Diarchic Duchy"
 LAU_diarchy_desc:0 "Once the Duchy of Saxony had been dissolved and our nation fully established, we spent an extensive few years under a diarchic government of Eric I and a few of his brothers. Dissolving this government and centralizing Saxe-Lauenburg into a free duchy in its own right was a great challenge, but the political maneuverings taken by Eric I have made our dukes masters of statecraft and pleasing the court."
 LAU_niedersachsen:0 "Niedersachsen"
 LAU_niedersachsen_desc:0 "We find ourselves in constant conflict with the Saxon successor states, many of which hold more lands and titles than our Duke. The other nations in the area see us as pretenders to the Saxon throne, and while it may be a nice idea to sit the throne of Saxony, we need a new title for our nation that at least gives the illusion that we have no desire to unite the Saxon nations. Niedersachsen, meaning Lower Saxony, both confirms that we do not claim to be the successors to the old Saxon duchy while not weakening our claim to the title, should we choose to pursue it."
 LAU_claiming_electorate:0 "Claiming the Electorate"
 LAU_claiming_electorate_desc:0 "While we may never reunite Saxony into a single nation, we would certainly like to hold the electoral position in the Empire that our nation once held. Currently, the Saxon states are divided into the Upper-Saxon Circle and the Lower-Saxon Circle, and it is the Upper Saxons that have the Emperor's favor and hold the electoral position. Perhaps by making the Emperor more amiable to our cause, we may make the Lower-Saxon Circle the Emperor's choice for any future electoral positions."
 LAU_church_of_hadeln:0 "The Church Order of Hadeln"
 LAU_church_of_hadeln_desc:0 "With the reformation burning its way through Europe, Saxe-Lauenburg must decide whether it will remain loyal to the Vatican or branch out and form its own church based on the teachings of Luther. The People of Hadeln have already begun organizing an ecclesiastical order centered on the Reformation, and with our Duke's approval and embracement of Protestant teachings, the order could be officially recognized and form a vital part of our government."
 LAU_centralisation:0 "Lauenburg Centralization"
 LAU_centralisation_desc:0 "Even as our state expands and grows, and our ruler claims more and more titles, Lauenburg remains the seat of power in the Duchy. The walls of Lauenburg Castle are impenetrable, and our central position in the Schleswig-Holstein area makes our great capital an ideal location for governing northern Germany."
 LAU_salty_salty_salty:0 "Old Salt Route"
 LAU_salty_salty_salty_desc:1 "The Old Salt Route is a trade route through Northern Germany, and Saxe-Lauenburg is an important trade capital in this salty business. So profitable is this trade route that salt is often referred to as “white gold”, and although this “gold” can be easily acquired by boiling the briny waters of Lünburg, the profits it brings to Saxe-Lauenburg through this lucrative trade speak for themselves."
 BRG_ideas:0 "Бергські ідеї"
 BRG_ideas_start:0 "Бергські традиції"
 BRG_ideas_bonus:0 "Бергські амбіції"
 BRG_heirs_of_lotharingia:0 "The Heirs of Lotharingia"
 BRG_heirs_of_lotharingia_desc:0 "Our bloodline can be traced back to the original Kings of Lotharingia, and had it not been for the decline of the ancient kingdom, the entire Rhine and beyond would bend the knee to our family. Though those days are long behind us, the prestige of our bloodline and our claim to the divine right to rule the Rhine is not a matter of dispute."
 BRG_julich_berg:0 "Duchy of Julich-Berg"
 BRG_julich_berg_desc:0 "Following the downfall, of the Lotharingian Kingdom, our territory was divided into two regions; the county of Mark and the county of Berg. The count would later be elevated to Duke rank by Emperor Wenceslaus, granting us some of our lost territories and titles back in the process."
 BRG_united_duchies:0 "The United Duchies"
 BRG_united_duchies_desc:0 "As our mighty duchy expands, the varying succession laws and increasing number of claimants to our titles is beginning to grow a little confusing. We find ourselves constantly falling in and out of unions, and forming unions of our own. Modelling our state as a series of separate and autonomous duchies united under a single duke may prove useful in maintaining all of our various lands and titles."
 BRG_seat_of_the_electorate:0 "The Seat of the Electorate"
 BRG_seat_of_the_electorate_desc:0 "As our united duchies grow closer to the Electorate of the Palatinate, the chances of our two nations coming into union are beginning to appear more likely. However, should such a thing ever occur, it is clear that Dusseldorf would become the new capital of the Palatine Electorate."
 BRG_rhineland_market:0 "The Rhineland Market"
 BRG_rhineland_market_desc:0 "As our influence in the Rhineland grows, Dusseldorf is beginning to grow into quite the metropolis. Merchants are flocking to the market square on the bank of the Rhine, and the prosperity from the market is beginning to spread throughout the entire city. Cathedrals, mansions, and stately homes are becoming a common sight in Dusseldorf, and we would be foolish not to capitalize on this prosperity and make our great city into one of the most prestigious in all of Germany!"
 BRG_art_gallery:0 "Dusseldorf Art Gallery"
 BRG_art_gallery_desc:0 "With the emergence of the Renaissance in Italy, our Dukes and Duchesses took quite the interest in the arts. In the city-castle, our noble class have constructed an art gallery swimming with the most breathtaking sculptures and paintings in all of Germany, and nobility from all across the Empire are flocking to see the incredible collection housed in Dusseldorf."
 BRG_happy_clergy:0 "Respecting the Autonomy of the Clergy"
 BRG_happy_clergy_desc:0 "Even as our state expands across the Rhine, we have never done any harm to the good men of the cloth that occupy the Rhineland. We believe in the sanctity of the church, and to attack a member of the clergy is a line that we shall never cross without the proper provocation."
 TNT_ideas:0 "Трентські ідеї"
 TNT_ideas_start:0 "Трентські традиції"
 TNT_ideas_bonus:0 "Трентські амбіції"
 TNT_prince_bishop:0 "Prince-Bishop"
 TNT_prince_bishop_desc:0 "Our government is a compromise between the secular rulership of an Imperial Prince, and the devout rulership of a Catholic Priest, with the Prince-Bishop as its head. By consolidating the secular and religious authorities in our nation, Church and State shall together be the two pillars that hold our nation aloft."
 TNT_republican_slaughter:0 "Slaughter of the Republicans"
 TNT_republican_slaughter_desc:0 "The inseparable bond between Church and State has caused a great deal of unrest within our nation. The peasants foolishly envy the Republican governments embraced by other small states within Italy and the Empire, but they simply don"t understand that it is their duty to serve God and the Emperor and the only way to do so is by serving the Prince-Bishop. Perhaps by periodically thrusting our spears through rebellious peasant hearts, we may remind them of our peaceful values."
 TNT_south_tyrol_identity:0 "South Tyrol Identity"
 TNT_south_tyrol_identity_desc:0 "Our mountainous home exists at a crossroads between Italy and Austria, and as such our nation is a melting pot of Germanic and Latin cultures. We have learned to coexist with those different from ourselves, and perhaps by embracing this multicultural identity, we may promote dialogue between countless other cultures within our state."
 TNT_italy_and_the_empire:0 "Italy and the Empire"
 TNT_italy_and_the_empire_desc:0 "Our geographical position is also a great advantage for trade and economics. There are few paths between Italy and the Empire, and ours is the most direct route from Wien to Milan and Venice, and the trade opportunities for our little nation are great and perhaps one day, we may even outgrow these major trade partners and build a great economy in ourselves!"
 TNT_trent_brixen_confederacy:0 "Trent-Brixen Confederacy"
 TNT_trent_brixen_confederacy_desc:0 "Our rule is secured by the perpetual confederation between our Prince-Bishopric and the Bishopric of Brixen. Our Confederacy is united both in faith and in our fierce desire to maintain our independence. Perhaps by establishing more bishoprics as we expand our nation, we may maintain more direct control over our conquered territories."
 TNT_mountain_warfare:0 "Mountain Warfare"
 TNT_mountain_warfare_desc:0 "Throughout the history of Tyrol, the combat we have faced in the mountains has made us hardy and unconquerable to the soft and weak forces of foreign invaders. They"re not used to the harsh conditions of the Alps, but we were born on these hills and raised in these mountains, and we shall use our familiarity with these harsh conditions to send any foreign army fleeing back home!"
 TNT_trent_religious_unity:0 "Trent Religious Unity"
 TNT_trent_religious_unity_desc:0 "Though we are divided culturally, it is our faith that unites us. As the fires of reformation burn their way through Europe, we shall not allow our people to become divided on matters of faith. Whichever Christian doctrine we pledge ourselves to, we must ensure above all else, that everyone within our nation does the same."
 HRZ_ideas:0 "Герцеговинські ідеї"
 HRZ_ideas_start:0 "Герцеговинські традиції"
 HRZ_ideas_bonus:0 "Герцеговинські амбіції"
 HRZ_eparchy:0 "Eparchy"
 HRZ_eparchy_desc:0 "The Eparchy of Zahumlje and Herzegovina is not only a spiritual center of our nation, it is also the Metropolitan in which the bishops of Herzegovina inform our ruler and ensure that he is continuing to follow the righteous path of God."
 HRZ_saint_sava:0 "Saint Sava"
 HRZ_saint_sava_desc:0 "The official title of our nation is the Duchy of Saint Sava. We adopted this title to distance ourselves from the newly converted Catholic Kingdom of Bosnia, and to venerate the great Saint Sava who had been a unifying icon for many of the different peoples of the Balkans. Saint Sava was a count of Hum who abandoned his royal titles to become a monk on Mount Athos, which he would then transform into an important religious center for the Orthodox church with the establishment of the Monastary of Hilandar. Saint Sava represents to us our dedication to the Orthodox church and is the icon that separates us from the Bosnian Kingdom."
 HRZ_stjepan_rebellion:0 "Stjepan's Rebellion"
 HRZ_stjepan_rebellion_desc:0 "When the King of Bosnia dared to stray from the one true faith, our good leader Stjepan used Herzegovina as the grounds to mount his rebellion. Whether we continue to practice Eastern Orthodoxy or not, the spirit of what makes us Herzegovinian is entrenched in resistance and strength and we shall never serve any “King” who dares to demand us to change."
 HRZ_ottoman_accommodation:0 "Accommodation with the Ottoman Turks"
 HRZ_ottoman_accommodation_desc:0 "While many other nations resist the growing power of the Ottoman Turks, many nobles in Herzegovina flock to the Turks for support in overthrowing the tyrannical regime in Bosnia. Perhaps by embracing the rise of the Ottomans, we may be able to manipulate their nobility and armies into fighting for our cause and advancing our interests in the Balkans."
 HRZ_herceg:0 "Herceg"
 HRZ_herceg_desc:0 "When we declared our independence from the Kingdom of Bosnia, we were neither a King nor a Duke. Our wise leader Stjepan adopted the title “Herceg”, a title borrowed from the Holy Roman Empire. So, the secular title for the Duchy of Saint Sava came to be Herzegovina, the lands belonging to the Herceg. With our national identity tied to our brilliant leader, we shall remain united in our absolute devotion to the wise rulers of our nation as they guide us down the path to victory and prosperity."
 HRZ_shifting_allegiances:0 "Shifting Allegiances"
 HRZ_shifting_allegiances_desc:0 "Our Herceg has bent the knee to Spaniards, Turks, Bosnians, and Serbians. We understand that the winds of change and fortune favor those with a silver tongue and flexible foreign policy. We have never been a great empire or kingdom, but we have continued to protect our interests both as an independent nation and subject of foreign powers through our flexible diplomacy and fierce negotiation tactics. By keeping our ears open to new diplomatic opportunities, we shall continue to protect our interests in the inconstant landscape of Mediterranean politics."
 custom_positive_piety:0 "Devotion to Legalism"
 custom_positive_piety_desc:0 "The Quran makes it quite clear how our religion should be practiced. It's only through total devotion to Islamic Legalism that we may prove ourselves a pious and dogmatic nation, united by the study of Islamic law."
 custom_negative_piety:0 "Devotion to Mysticism"
 custom_negative_piety_desc:0 "Our state is utterly devoted to Islamic Mysticism, and try as we might to bring followers more to the letter of the law as dictated in the Quran and Hadith, the people of our nation inevitably stray more towards the spiritual aspect of Islamic practice."
 custom_reform_progress:0 "Progressive Politics"
 custom_reform_progress_desc:0 "Our nation is famed for its constantly evolving and changing politics. It is said that every day in our nation, the gears of governmental progress are in action; always pushing our nation towards a bright future."
 custom_free_religion:0 "Freedom of Religion"
 custom_free_religion_desc:0 "Many people live as if they are separate and different but are actually all parts of the same whole; our great nation. Although we still maintain an official state religion that may be propagated, Heretics and Heathens alike are our brothers and will be protected from religious persecution."
 custom_same_culture_idea_advisor_cost:0 "Patron of Culture"
 custom_same_culture_idea_advisor_cost_desc:0 "The nature of our culture and our state have become inseparable, and many talented people of our culture come to visit our nation as something of a rite of passage. People of our proud and ancient culture see it as their patriotic duty to service the state, and will gladly due so for far less pay than they likely deserve."
 custom_power_prod_insults:0 "Professional Insult Artists"
 custom_power_prod_insults_desc:0 "Our state employs only those most experienced in the art of the insult. When one is spurned by a diplomat from our nation, it is said that even the mightiest Khans and Kings would run home weeping for their mothers to nurse their deeply wounded pride."
 custom_manifest_destiny:0 "Sharing Our Golden Age"
 custom_manifest_destiny_desc:0 "Our nation is enjoying the longest golden age in history; culture, economics, agriculture, all are prospering like never before within our nation. It would be selfish of us to hoard all this prosperity for ourselves when there are poor unfortunate primitives around the world who could be sharing this great age with us!"
 custom_justify_conflict_cost:0 "Fierce Traders"
 custom_justify_conflict_cost_desc:0 "Our traders are a vital part of our nation, and they are fierce and overzealous in their negotiations. Some foreigners mistake our passion for trade as aggression, but we don"t really care, we just want their money."
 custom_claim_fab_cost:0 "Masters of Whispers"
 custom_claim_fab_cost_desc:0 "We possess the divine right to rule, and that right extends to just about anywhere we choose. Our web of spies and schemers knows no bounds, and they are experts at finding the most obscure document detailing how we are the legitimate rightful rulers of just about anywhere on our direct border."
 custom_sailor_maintenance:0 "Soft-Spoken Sailors"
 custom_sailor_maintenance_desc:0 "We are a maritime society, and our sailors are widely renowned for their good manners and gentle nature. It is said that no matter where our sailors make harbor, they are welcomed into the town with open arms. There are even those in our nation who claim they only speak to sailors, for they are the only people worth their time."
 custom_artillery_fire:0 "Golden Cannons"
 custom_artillery_fire_desc:0 "Some would say spending massive quantities of the treasury on cannons made of gold is a wasted expense, but these people are merely unenlightened. By only using the highest quality metals in crafting our cannons, the world will fear the thunder of our barrels."
 custom_coastal_combat:0 "One With the Water"
 custom_coastal_combat_desc:0 "The harsh waves and typhoons of the ocean always seem to be a nightmare for our enemies, but a great help to our own men. Some even believe our sailors are literally bending the water to their will, but such a suggestion is clearly ridiculous."
 custom_manchu_ban:0 "Organizing the Banners"
 custom_manchu_ban_desc:0 "Horde tactics are very useful for shattering a nation's defenses, but by organizing our horsemen, we will be able to gather far greater numbers."
 custom_garrison_growth:0 "Light the Beacons"
 custom_garrison_growth_desc:0 "Usually in times of peace, forts are left abandoned and gathering soldiers to reinforce those forts in times of war can take several months. By installing a series of beacons across our nation, our men will quickly know that it is their duty to report to their local garrison and begin the defense of our nation."
 custom_available_province_loot:0 "Organized Looting"
 custom_available_province_loot_desc:0 "The spoils of war are great indeed. We will systematically pillage every inch of the enemy countryside so that no hidden treasures are left uncovered."
 greek_orthodox_constantinople_title:0 "Restore Constantinople"
 greek_orthodox_constantinople_desc:0 "The city of Constantinople was once a shining beacon of the Eastern Roman Empire before the Turkish conquest and conversion of the city. We must recapture the city and restore it to its former glory."
 EVTDESC3072.TC:0 "Our settlers in [Root.GetName] are merely attempting to bring civilization to the savage lands of [Root.GetSuperRegionName] and enlighten it with our superior culture. However, it seems that the [Root.NativeCulture.GetName] savages refuse to accept our superior ways, and our harsh treatment of these native people has only served to increase tensions between the [Root.NativeCulture.GetName] tribesmen and our colonists. The only question now is how do we resolve this situation?"
 EVTDESC3074.TC:0 "It would seem that our harsh treatment of the [Root.NativeCulture.GetName] people living in [Root.GetName] has paid off in a massive way. Forcing those primitives off of their rich fertile soil has created new opportunities for our  settlers to take their place and our colonial companies have already begun exploiting the ancestral land of the [Root.NativeCulture.GetName], but they request financial aid to complete the construction of the new settlement."
 extremadura_area:0 "Екстемадура"
 extremadura_area_name:0 "Екстемадура"
 extremadura_area_adj:0 "Екстемадурськ"
 PROV4786:0 "Прігніц"
 PROV_ADJ4786:0 "Прігніцьк"
 PROV4787:0 "Рібатежу"
 PROV_ADJ4787:0 "Рібатежуцьк"
 PROV4788:0 "Пласенсія"
 PROV_ADJ4788:0 "Пласенсійськ"
 PROV4789:0 "Сеговія"
 PROV_ADJ4789:0 "Сеговійськ"
 nahuatl_events.32.t:0 "The Muxe in Court"
 nahuatl_events.32.d:0 "In Zapotec society, there are three defined genders; male, female, and muxe. The muxe are a group of people who were determined as being male at birth, but have since come to acknowledge themselves as female. They wear traditional women’s clothing, identify with female titles, and usually abandon their birth name in favor of something more conventionally feminine.\n\nUsually, the muxe are of little concern to the [Root.Monarch.GetTitle], however our [Root.Adm_Advisor.GetTitle] [Root.Adm_Advisor.GetName] has confessed that she is a member of the muxe community and has entered court introducing herself as [Root.muxe_advisor_name.GetName]. As a woman, she is ineligible to continue serving beside the [Root.Monarch.GetTitle], but her unique talents make her a difficult asset to let go.\n\nSome high ranking officials at court are suggesting that the talents of [Root.muxe_advisor_name.GetName] are evidence that we are missing out on an endless trove of talent by forbidding women from serving at court and our [Root.Monarch.GetTitle] would be well-advised to revise the legal requirements for becoming a royal advisor."
 nahuatl_events.32.a:0 "Women have no place at court, muxe or otherwise."
 nahuatl_events.32.b:0 "Male, female, or muxe, we cannot lose our [Root.Adm_Advisor.GetTitle]!"
 nahuatl_events.321.t:0 "Muxe in the Military"
 nahuatl_events.321.d:0 "Ever since our [Root.GovernmentName] came to accept the rights of muxe to serve at court, more and more high-ranking officials have started being open about their muxe identity. This has not been an issue thus far, but recently our [Root.Mil_Advisor.GetTitle] [Root.Mil_Advisor.GetName] has adopted a female identity under the name [Root.muxe_military_name.GetName] and has banded together with a number of powerful warriors to demand that the right to serve in our military is also extended to women; both muxe and otherwise."
 nahuatl_events.321.a:0 "Absolutely not!"
 nahuatl_events.321.b:0 "Why didn't we think of this sooner?"
 muxe_is_fired_tt:0 "Our §Y[Root.Adm_Advisor.GetTitle]§! will be fired."
 muxe_general_is_fired_tt:0 "Our §Y[Root.Mil_Advisor.GetTitle]§! will be fired."
 muxe_advisor_tt:0 "§Y[Root.Adm_Advisor.GetName]§! will be removed and reappear at court under the name §Y[Root.muxe_advisor_name.GetName]§!."
 muxe_advisor_mil_tt:0 "§Y[Root.Mil_Advisor.GetName]§! will be removed and reappear at court under the name §Y[Root.muxe_military_name.GetName]§!."
 muxe_at_court:0 "Muxe Rights"
 desc_muxe_at_court:0 "The presence of muxe at court has motivated this country to extend the rights available to women."
 muxe_at_military:0 "Muxe in the Military"
 desc_muxe_at_military:0 "The muxe have motivated this country to allow females to serve in the military."
 cornish:0 "Корнуол"
 PROV4785:0 "Шеффілд"
 PROV_ADJ4785:0 "Шеффілдськ"
 loses_old_world_provs_tt:0 "§RYou will abandon all territories in Europe, Asia, and Africa.§!\nYou will annex all §YColonial Nation§! subjects."
 producing_wine_and_grain_tt:0 "Production of §YGrain§!: §G+75.0%§!\nProduction of §YWine§!: §G+50.0%§!"
 ALA:0 "Аляска"
 ALA_ADJ:0 "Алясканськ"
 CSC:0 "Каскадія"
 CSC_ADJ:0 "Каскадськ"
 NZL:0 "Зеландія"
 NZL_ADJ:0 "Ківі"
 zealandia_nation_title:0 "Form Zealandia"
 zealandia_nation_desc:0 "Here on the islands north and south, we have made a home for ourselves. Though many forget about us and neglect to mark our place on the map, we shall unite together and ensure all people know the name 'Zealandia'!"
 alaska_nation_title:0 "Form Alaska"
 alaska_nation_desc:0 "Although our home is cold and harsh, we have mastered its terrain and called it home. Countless empires have attempted to build and buy us, but now we stand alone and independent, ready to carve out a name for ourselves!"
 cascadia_nation_title:0 "Form Cascadia"
 cascadia_nation_desc:0 "All along the Columbia river and on the Pacific coast of America, our colonies stand united and independent and it is time we decided a name for our new nation, free from the labels of our colonial overlords. As Cascadia, we will lay claim to all lands north of the Columbia river and create a new nation of trade, freedom, and beauty!"
 NZL_ideas:0 "Kiwiі ідеї"
 NZL_ideas_start:0 "Kiwiі традиції"
 NZL_ideas_bonus:0 "Kiwiі амбіції"
 NZL_maori_seats:0 "Maori Seats"
 NZL_maori_seats_desc:0 "In Zealandia, we Kiwis are not alone in our occupation of our island home. Our lands are also home to the native people known as the Maori. Historically, these people have been greatly mistreated in the endless tide of colonialism and although we may never heal the scars that our ruthless conquest has left in its wake, allowing the Maori their own representation within the government may begin the slow healing process between our people."
 NZL_otago_gold:0 "The Otago Gold Rush"
 NZL_otago_gold_desc:0 "Zealandia is rife with food and resources, and our home is ideal for miners and shepherds alike. With cattle breeding in abundancy and our hills exploding with gold, copper, and tin, Zealandia shall be a land far richer and more prosperous for its small size."
 NZL_piopiotahi:0 "Piopiotahi"
 NZL_piopiotahi_desc:0 "Milford Sound or ‘Piopiotahi’ as the Maori call it is a spectacular range of coast and mountain lush with life and greenery in the South Island. It has stood as a testament to the fertility of this land and for years it was a shared common ground amongst Maori of all Iwi."
 NZL_haka:0 "The Kiwi Haka"
 NZL_haka_desc:0 "The Maori people have practiced the traditional war-chant known as the Haka for centuries before we arrived on their shores. As our cultures begin to grow more and more intertwined, many people from outside the Maori culture have begun practicing the Haka as a demonstration of patriotism before a battle or sports match. Far beyond our shores, foreigners tell stories of Maori and Kiwi alike bursting into a terrifying demonstration of fearlessness and masculinity before charging into battle."
 NZL_company:0 "Новозеландська компания"
