l_ukrainian:
 mil_tech_cost_modifier:0 "Вартість військ. технологій"
 IMG_supreme_ruler_of_tokaido:0 "Контроль Токайдо"
 IMG_supreme_ruler_of_tokaido_desc:0 "Токайдо або 'Східний Морський Шлях' – це місце найважливішого торгового маршруту між Центральною і Східною Японією. Зробімо ж усе можливе для встановлення контролю над цим регіоном, щоби контролювати всю його економіку."
 IMG_history_of_imagawa:0 "Історія клану Імаґава"
 IMG_history_of_imagawa_desc:0 "У нашого клану є славне минуле, про яке повинен знати кожен. Складемо повну історію нашого клану і нашого народу, розповідаючи про справи минулого, щоби бути прикладом для наших синів і сусідів."
 IMG_revised_clan_law:0 "Перегляд закону про клани"
 IMG_revised_clan_law_desc:0 "Нам потрібна міцна і ясна збірка законів клану, щоби ми могли справедливо та ефективно управляти нашими суб'єктами – будь то васали, чи простолюд. Скомпонувавши всі закони і укази, ми забезпечимо міцну структуру кланів. 'Імаґава-Кана-Мокуроку' стане найвизначнішою збіркою законів у Японії."
 IMG_triple_alliance:0 "Потрійний альянс"
 IMG_triple_alliance_desc:0 "Іноді кращий спосіб перемогти ворога – зробити його своїм другом. Забезпечення безпеки наших флангів за допомогою шлюбу не тільки умиротворить наших ворогів, а й у той же час дасть нам нових союзників, забезпечивши нам у кінцевому підсумку домінування над ними завдяки родинним зв'язкам."
 IMG_mount_fuji:0 "У тіні гори Фудзі"
 IMG_mount_fuji_desc:0 "Гора Фудзі славиться найкрасивішим пейзажем у всій Японії, який великі поети здавна оспівували в своїх віршах. Беручи на себе роль зберігачів цієї гори, наш клан вигідно це використає для підвищення своєї репутації."
 IMG_march_to_kyoto:0 "Похід на Кіото"
 IMG_march_to_kyoto_desc:0 "Японія і Кіото загрузли в політичному хаосі. Наш обов'язок і наше право, як близьких родичів попередніх сьоґунів, охороняти Імператора і Сьоґуна. Ми не втратимо наше місце в авангарді рядах сьоґунату, перш ніж інші клани скористаються цією можливістю!"
 AMA_ideas:0 "Ідеї Амаґо"
 AMA_ideas_start:0 "Традиції Амаґо"
 AMA_ideas_bonus:0 "Амбіції Амаґо"
 ama_omi_genji:0 "Омі-Ґендзі"
 ama_omi_genji_desc:0 "Наші предки колись належали до клану Ґендзі, з родини Мінамото. Вони служили сьоґуну як воїни і чиновники, і ця традиція вірного служіння тече в крові наших людей."
 ama_izumo_shugo:0 "Сюґо провінції Ідзумо"
 ama_izumo_shugo_desc:0 "Гірські землі Ідзумо багаті залізною рудою і відомі своєю високоякісною бронею, списами і мечами. Ми повинні цінувати цю спадщину й гарантувати, що сам факт того, що щось було зроблено в Ідзумо, став товарним знаком якості, відомим кожному воїнові."
 ama_gassan_toda_castle:0 "Укріплені твердині"
 ama_gassan_toda_castle_desc:0 "Навіть коли військо зазнало поразки в бою, укріплений замок дозволяє нашим арміям відступати і відновлюватися. За допомогою ряду сильних замків на цих землях ми зможемо контролювати поля битв у Японії. Зробимо нашу головну фортецю Ґассан-Тода прикладом, якого ми прагнемо наслідувати у всіх провінціях, які підпадають під наш контроль."
 ama_coastal_trade:0 "Панування прибережної торгівлі"
 ama_coastal_trade_desc:0 "Морський шлях – це недооцінений спосіб транспортування товарів по всій Японії. Ми повинні перетворити наших рибалок і місцевих торговців на морських купців."
 ama_kizuki_shrine:0 "Кіцукі"
 ama_kizuki_shrine_desc:0 "Ми є хранителями храму Кіцукі, місця, де народився перший імператор Японії. Святиня вшановується, але вона потерпає впродовж багатьох років. Ми повинні забезпечити утримання храму Кіцукі в хорошому стані та захист усіх його паломників."
 ama_iwami_ginzan:0 "Івамі Ґіндзан"
 ama_iwami_ginzan_desc:0 "Найбільша срібна шахта в Японії знаходиться в межах нашого володіння. Розвиток і захист цього джерела багатства буде наріжним каменем не лише нашої власної економічної політики, а й політики всього архіпелагу."
 ama_ten_brave_warriors:0 "Десять відважних воїнів"
 ama_ten_brave_warriors_desc:0 "Наші воїни завжди цінували відданість вище всіх інших чеснот і ніколи не відмовлялися від своєї справи навіть перед обличчям вірної поразки. Вшануймо десять найкращих з них як приклад для наслідування, щоби тримати бойовий дух наших військ на висоті."
 HSK_ideas:0 "Ідеї Хосокави"
 HSK_ideas_start:0 "Традиції Хосокави"
 HSK_ideas_bonus:0 "Амбіції Хосокави"
 hsk_kanrei:0 "Канрей"
 hsk_kanrei_desc:0 "Наш клан – один з тих, чиї представники, за традицією, найчастіше обіймають посаду канрея – радника сьоґуна. Ця посада дає нам повноваження діяти від імені сьоґунату й дає нам вплив у японській політиці."
 hsk_branches_and_retainers:0 "Родичі та васали"
 hsk_branches_and_retainers_desc:0 "Наші родичі та васали володіють декількома багатими провінціями Центральної Японії, і вони дуже віддані лідерові клану. Завдяки внутрішній гармонії наш клан буде одним з наймогутніших у державі."
 hsk_sakai_city:0 "Місто Сакай"
 hsk_sakai_city_desc:0 "Тоді як Кіото зменшилося під час громадянських війн, місто Сакай стало одним з найбагатших міст Японії. Розвиваючи хороші стосунки з торговцями в Сакаї, ми можемо зміцнити нашу економіку."
 hsk_leader_of_eastern_army:0 "Східна армія"
 hsk_leader_of_eastern_army_desc:0 "Громадянська війна роздирає Японію. Візьмемо славну армію Сходу й поглинемо сили Заходу нашими військами."
 hsk_ashigaru:0 "Асіґару"
 hsk_ashigaru_desc:0 "Якщо ми зможемо підняти армію розміру, необхідного для того, щоб перемагати в ці часи, ми повинні різко збільшити частку асіґару в наших військах. Велике число легкоброньованих піхотинців дозволить нам перемогти наших ворогів."
 hsk_yamabushi:0 "Ямабусі"
 hsk_yamabushi_desc:0 "Ямабусі, паломники і ченці, які йдуть за Сюґендо, подорожують від держави до держави. Оскільки багато хто з членів нашого клану віддані Сюґендо, ми повинні прагнути до того, щоб ямабусі стали нашими інформаторами про зовнішній світ."
 hsk_horeki_reform:0 "Реформа Хорекі"
 hsk_horeki_reform_desc:0 "Важливо проявляти стійкість під час війни, але в мирний час ми повинні створити сильне суспільство зі стійкими інституціями правління, освіти та економіки.\nЧас руйнування закінчився, настав час будівництва!"
 UES_ideas:0 "Ідеї Уесуґі"
 UES_ideas_start:0 "Традиції Уесуґі"
 UES_ideas_bonus:0 "Амбіції Уесуґі"
 ues_kanto_kanrei:0 "Канто Канрей"
 ues_kanto_kanrei_desc:0 "Наш клан отримав призначення в Канто на посаду канрея, представника кубо, повелителів Камакури, володарів Східної Японії. Наше завдання – допомогти кубо правити цим диким регіоном та придушувати будь-які бажання повстати проти сьоґунату."
 ues_yamanouchi_and_ogigayatsu_branches:0 "Гілки Оґіґаяцу і Яманоуті"
 ues_yamanouchi_and_ogigayatsu_branches_desc:0 "Будинки Яманоуті та Оґіґаяцу є двома важливими гілками родини Уесуґи та їхньої царини. Поки обидві лінії дружні, наш клан залишиться сильним. Ми повинні зробити все можливе, щоб уникнути ворожнечі між нашими братами."
 ues_kamakura_office:0 "Представництво Камакури"
 ues_kamakura_office_desc:0 "Камакура – найважливіше з політичної точки зору місто в регіоні Канто. Воно є також центральним представництвом колишнього сьоґунату, і з тих пір місто не втратило свою політичну функцію. Оскільки ми захисники Камакури, нас вважають правителями Канто. Використаємо це положення повною мірою, щоби залучити воїнів до нашої справи."
 ues_dragon_of_echigo:0 "Дракон Етіґо"
 ues_dragon_of_echigo_desc:0 "Наш клан зміцнив дух сміливості і справедливості, який змусив би ворогів боятися нас на полі битви. Ми повинні розповісти світові про силу лідерів нашого клану. Усі будуть боятися і поважати Дракона Етіґо."
 ues_nokizaru:0 "Нокізару"
 ues_nokizaru_desc:0 "Ніндзя Нокізару діють за межами наших земель і вірні нашій справі. Вони не найвідоміше угруповання в Японії, але мало хто сумнівається в їхніх здібностях. Об'єднаймо таємні операції Нокізару з нашими планами й військовими операціями наскільки можливо й вони допомагатимуть виконувати волю нашого правителя."
 ues_agakita_shu:0 "Аґакіта-шу"
 ues_agakita_shu_desc:0 "З часів Бакуфу Камакури наші північні землі були домівкою для 'Аґакіти-шу' або банди Північного Аґано. Група незалежних однодумців з кланів по всій Японії, – вони можуть бути не найлегшими перемовниками, але цей регіон є добрим ґрунтом для досвідчених самураїв."
 ues_denkoku_no_ji:0 "Денкоку но дзі"
 ues_denkoku_no_ji_desc:0 "Прийшов час для проведення реформи і щоб реформувати наше суспільство ми повинні залишатися вірними 'Денкоку но дзі' – шляху монарха.\n\n'1. Володіння успадковується від батька до сина. Ніщо не повинне розглядатися як власність монарха.\n2. Люди належать країні. Вони також не повинні розглядатися як власність монарха.\n3. Монархи існують для служіння країні та людям, а не навпаки."
 YMN_ideas:0 "Ідеї Ямани"
 YMN_ideas_start:0 "Традиції Ямани"
 YMN_ideas_bonus:0 "Амбіції Ямани"
 ymn_descendant_of_nitta:0 "Нащадок Нітти"
 ymn_descendant_of_nitta_desc:0 "Ми є нащадками клану Нітта – найбільшого суперника старої родини Асикаґа. Для деяких це було б доказом нашої лояльності, тоді як для інших це робить нас природним кандидатом від опозиції. Ми повинні розумно використовувати це в багатьох політичних увертюрах цієї епохи."
 ymn_grand_shugo:0 "Великий сюґо"
 ymn_grand_shugo_desc:0 "В зеніті нашого минулого лідера нашого клану було призначено сюґо – захисником 11 провінцій, що складає майже 1/6 Японії! Ми повинні відновити наші провінції та продовжити виконання кінцевої політичної мети наших предків!"
 ymn_mediate_succession_disputes:0 "Посередництво під час врегулювання суперечок за престолонаслідування"
 ymn_mediate_succession_disputes_desc:0 "Оскільки багато інших кланів сюґо сваряться між собою, хто є законним спадкоємцем, вони звертаються до нас, щоб ми виступили за посередника в їхніх спорах. При цьому ми можемо отримати більше союзників і контактів, не кажучи вже про дестабілізацію наших суперників."
 ymn_leader_of_western_army:0 "Західна армія"
 ymn_leader_of_western_army_desc:0 "Створімо велику західну армію, щоб об'єднати держави Японії, що сваряться між собою. Хоробрі та вмілі генерали з добре навченими солдатами легко примусять східняків стати на коліна!"
 ymn_acquisition_of_torinin:0 "Придбання Торин-іня"
 ymn_acquisition_of_torinin_desc:0 "Хоча й чисто символічна перемога, наше успішне придбання родинного храму Хосокава для нашого власного клану є потужним стимулом для підняття морального духу й послужить нагадуванням нашій родині про те, чого ми можемо досягти, коли об'єднаємося."
 ymn_reunification_of_branches:0 "Возз'єднання гілок Ямани"
 ymn_reunification_of_branches_desc:0 "Оскільки Японія вступає в новий період, ми більше не можемо дотримуватися наших старих методів керування. Гілки нашої родини з інших провінцій стали занадто незалежними і бунтівними. Ми повинні возз'єднати їх будь-якими можливими способами й навести в нашій державі порядок!"
 ymn_isolated_heartland:0 "Ізольовані центральні райони"
 ymn_isolated_heartland_desc:0 "Наша батьківщина, Тадзіма й Інаба, є гірською та ізольованою. На щастя, це також означає, що їх буде важко розшукати будь-якому потенційному завойовникові. Побудуємо наш захист використовуючи природні плюси нашого географічного розташування та змусимо будь-якого зловмисника шкодувати, що звернув свої жадібні очі на наші володіння."
 DTE_ideas:0 "Ідеї Дате"
 DTE_ideas_start:0 "Традиції Дате"
 DTE_ideas_bonus:0 "Амбіції Дате"
 dte_oshu_shugo:0 "Сюґо провінції Осю"
 dte_oshu_shugo_desc:0 "Як почесний клан, який існує з часів раннього періоду Камакура, ми маємо серйозні претензії на владу над всією провінцією Осю. На щастя для нас, межі земель Осю чітко не визначено."
 dte_expansion_trhough_marriages:0 "Експансія за допомогою шлюбів"
 dte_expansion_trhough_marriages_desc:0 "Іноді привести клани в нашу родину легше за допомогою шлюбів і усиновлення, а не через списи і мечі. Видаючи заміж наших дочок і пропонуючи нашим вільним синам усиновити їхніх дітей, ми зможемо мирно розширюватися, не привертаючи занадто багато уваги."
 dte_renga_group:0 "Жанр ренґа"
 dte_renga_group_desc:0 "Хоча наші володіння знаходяться далеко від Кіото, ми стежимо за останніми культурними тенденціями в імперській столиці. Одна з примітних тенденцій – Ренґа, форма спільної поезії, яка вимагає від творців блискучого освоєння строф та інших правил японської літератури. Навчання цьому допоможе освіжити наше мислення, зробивши його більш сприйнятливим до інновацій."
 dte_dragon_corps:0 "Корпус дракона"
 dte_dragon_corps_desc:0 "Ми повинні активно шукати можливості впровадження західної зброї в нашу армію. Рухливі, озброєні аркебузами підрозділи, повинні скласти елітний корпус нашої армії, дозволяючи нам доставляти нові види зброї і техніки туди, де вони потрібні найбільше. Завдяки сучасній вогнепальній потужності ми домінуватимемо на полі бою."
 dte_red_seal_ships:0 "Кораблі Червоної печатки"
 dte_red_seal_ships_desc:0 "Введення в експлуатацію серії кораблів, побудованих на західний манер для здійснення нашої торгівлі через моря, поставить нас у вигідне становище для домінування на ринках і краще управлінням потоками товарів."
 dte_keicho_embassy:0 "Посольство Кейтьо"
 dte_keicho_embassy_desc:0 "Ми вдало розташовані, щоби дістатися до земель західників, не йдучи на захід, а перетинаючи Тихий океан на сході. Використаємо ж це, щоб знайти батьківщину південних варварів, домагаючись нових союзів, технологій і прибутковіших торгових угод."
 dte_intensive_domain_development:0 "Інтенсивний розвиток володіння"
 dte_intensive_domain_development_desc:0 "Сувора погода і гірська географія роблять Тохоку найбіднішим регіоном в очах багатьох. Однак існує великий потенціал для поліпшення наших земель. Створюючи нові міста, заохочуючи і захищаючи торгівлю, будуючи водні шляхи і збільшуючи площу оброблюваних земель, ми здатні істотно поліпшити нашу батьківщину. Скасовуючи задушливі мита та податки, ми також зробимо наших підданих багатими, а регіон процвітаючим."
 SHN_ideas:0 "Ідеї Сьоні"
 SHN_ideas_start:0 "Традиції Сьоні"
 SHN_ideas_bonus:0 "Амбіції Сьоні"
 shn_vice_minister_of_dazaifu:0 "Віце-міністр Дадзай-фу"
 shn_vice_minister_of_dazaifu_desc:0 "Історія клану Сьоні в Кюсю почалася, коли наш лідер був призначений віце-міністром Дадзай-фу в провінції Тікудзен. Ця установа є дипломатичним і військовим центром регіону й ми традиційно управляємо Північним Кюсю як представники імператорів."
 shn_defender_against_mongols:0 "Захисник Японії"
 shn_defender_against_mongols_desc:0 "Як провідна родина самураїв у Північному Кюсю, ми сміливо боролися проти двох монгольських навал у кінці XIII століття. Люди кажуть, що японські боги врятували нас, але насправді це наші люди боролися за Японію!\nЯкщо виникне необхідність, ми знову станемо на захист Кюсю і Японії від зовнішніх загарбників."
 shn_diplomacy_through_tsushima:0 "Дипломатія через Цусіму"
 shn_diplomacy_through_tsushima_desc:0 "Один з наших васалів, клан Со на острові Цусіма має багатий досвід переговорів з Кореєю. Таким чином, ми завжди підтримували відкритим зв'язок із зовнішнім світом, навіть у ті часи, коли офіційні стосунки було заборонено."
 shn_nagasaki_city:0 "Місто Наґасакі"
 shn_nagasaki_city_desc:0 "Північний Кюсю сповнений хороших портів для зовнішньої торгівлі, але Наґасакі в провінції Хідзен, можливо, є найбільш відповідним місцем з усіх. Зробимо це місто нашими головними воротами на Захід."
 shn_bear_of_hizen:0 "Ведмідь із Хідзеня"
 shn_bear_of_hizen_desc:0 "Землі Хідзен є домом для багатьох лютих воїнів. Деякі з них, як лідер родини Рюдзодзі, славляться своєю відвагою. Подбаймо, щоби достойні люди завжди могли піднятися в наших рангах і винесемо максимальну користь з репутації наших людей."
 shn_hagakure:0 "Хаґакуре"
 shn_hagakure_desc:0 "У ці важкі часи важливо мати керівний принцип. Хаґакуре – це теорія про Бусідо, яка фокусується на тому, як ми повинні жити і померти."
 shn_nabeshima_reform:0 "Реформа Набесіми"
 shn_nabeshima_reform_desc:0 "Голод, хвороби та інші стихійні лиха залишаються постійною загрозою для нашої економіки і політичної стабільності. У наших володіннях родина Набесіма стала першопрохідцем у вирішенні цих проблем, використавши нові технології із Заходу. Було б розумно навчитися у них і запровадити нові технології та методологію для захисту наших володінь у найближчому майбутньому."
 OGS_ideas:0 "Ідеї Оґасавари"
 OGS_ideas_start:0 "Традиції Оґасавари"
 OGS_ideas_bonus:0 "Амбіції Оґасавари"
 ogs_shinano_shugo:0 "Сюґо провінції Сінано"
 ogs_shinano_shugo_desc:0 "Клан Оґасавара належить до старої гілки Ґендзі й управляє провінцією Сінано як її сюґо. Ця земля гориста і непривітна для тих, хто її не знає, проте для наших людей вона є невід'ємною частиною захисту від чужинців.\nВикористаємо цей досвід усюди, куди б не йшли наші армії, завжди заручаючись збиранням достовірної інформації серед місцевих, щоби максимально використати місцевість у будь-якому регіоні, в якому ми воюємо."
 ogs_suwa_taisha:0 "Храм Сува-тайсі"
 ogs_suwa_taisha_desc:0 "Храм Сува-тайсі на озері Сува є однією з найстаріших святинь Японії, і приваблює людей не тільки із Сінано. Його найважливіший фестиваль – Омбасіра-мацурі – доводить усім хоробрість наших людей, коли вони з'їжджають на священних колодах вниз по схилу гори до святині."
 ogs_kiso_uma:0 "Кісо-ума"
 ogs_kiso_uma_desc:0 "Коні в районі Кісо – наші унікальні друзі. Вони не такі високі, як арабські скакуни, і не бігають так швидко, як монгольські, але вони мають високу витривалість для виживання у високогірній місцевості."
 ogs_unification_of_ten_kori:0 "Об'єднання Корі"
 ogs_unification_of_ten_kori_desc:0 "Провінція Сінано ділиться на десять повітів, корі, і кожен з яких управляється незалежною родиною самураїв. Ми повинні об'єднати землі цих нелояльних кланів, щоби сповна скористатися їхніми ресурсами."
 ogs_ogasawara_ryu:0 "Оґасавара-рю"
 ogs_ogasawara_ryu_desc:0 "Традиційні стилі мають велике значення в нашому суспільстві. Ми офіційно закріпили систему бойових мистецтв і етикету. Нашу класичну школу повинен вивчити кожен самурай."
 ogs_improvment_of_nakasendo:0 "Покращення Накасендо"
 ogs_improvment_of_nakasendo_desc:0 "Центральний гірський маршрут 'Накасендо' є одним з найважливіших маршрутів між центральною та східною Японією. Ми повинні збудувати міста, готелі та замки вздовж цього гірського маршруту, щоби зв'язати регіони разом."
 ogs_zenkoji:0 "Дзенко-дзі"
 ogs_zenkoji_desc:0 "Велике паломництво розташоване в наших землях, але час і війни не пощадили його будівлі та споруди. Ми повинні відновити храм і показати нашим людям належне та шанобливе ставлення до традиційних японських релігій."
 OTM_ideas:0 "Ідеї Отоми"
 OTM_ideas_start:0 "Традиції Отоми"
 OTM_ideas_bonus:0 "Амбіції Отоми"
 otm_domination_of_northern_kyushu:0 "Об'єднати клани"
 otm_domination_of_northern_kyushu_desc:0 "У нашому регіоні є багато ворожих і сильних кланів з хоробрими воїнами. Ми повинні об'єднати дрібних власників цих земель і приєднати їхні армії до наших!"
 otm_lord_of_bungo:0 "Володар Бунґо"
 otm_lord_of_bungo_desc:0 "Клан Отомо є незмінним сюґо провінції Бунґо від часів епохи Камакури. Ці землі відомі своїм родючим ґрунтом, а багаті врожаї цього регіону дозволяють нам прогодувати набагато більші армії, ніж багатьом іншим даймьо."
 otm_brave_retainers:0 "Вірні васали"
 otm_brave_retainers_desc:0 "У нас багато васалів з відгалужень нашого клану й інших старих і незалежних сімей. Хоча вони є в своєму роді незалежною групою, вони як і раніше демонструють максимальну відданість нашому кланові й щиро бажають бачити його процвітання. Воістину, нам пощастило з такими відданими послідовниками."
 otm_nanban_trade:0 "Початок торгівлі з південними варварами"
 otm_nanban_trade_desc:0 "Інші цураються іноземців, вважаючи їх варварами, але ми визнаємо вигоди і переваги торгівлі з ними. Нехай знають, що їх завжди вітатимуть у наших портах, а ми зможемо розширити нашу торгову мережу далі, ніж наші конкуренти."
 otm_christian_conversion:0 "Навернені християни"
 otm_christian_conversion_desc:0 "Наше зростаюча взаємодія з іноземцями привернула увагу багатьох з нашого клану до християнської віри. У християн є багато могутніх покровителів серед наших володарів і васалів, а деякі з них так само ревні, як і новонавернені. Ми можемо ефективно скористатися цими християнськими новонаверненими, незалежно від нашого власного шляху, використовуючи їхній вплив і завзяття для досягнення наших цілей."
 otm_tensho_embassy:0 "Посольство Тенсьо"
 otm_tensho_embassy_desc:0 "Оскільки ми все більше зміцнюємо наші зв'язки із Заходом, багато хто пропонує зробити щось досі нечуване і відправити посольство, щоб дізнатися більше про наших нових друзів, їхні технології, ідеї та спосіб життя, сподіваючись знайти нових союзників.\nМи ніколи не повинні відмовлятися від чужих звичаїв або ідей, якщо їх можна ефективно використати на благо нашої батьківщини."
 otm_kunikuzushi:0 "Кунікузусі"
 otm_kunikuzushi_desc:0 "Велика гармата з'явилася у нашому арсеналі. Її дія руйнівна – вона здатна знищити цілі фортифікації та підрозділи за декілька пострілів. Ця зброя швидко стала відома як 'Кунікозусі' – руйнівник провінцій. Ми повинні відлити їх якомога більше, аби стати непереможними на полі бою."
 OUC_ideas:0 "Ідеї Оуті"
 OUC_ideas_start:0 "Традиції Оуті"
 OUC_ideas_bonus:0 "Амбіції Оуті"
 ouc_descendant_of_baekje:0 "Нащадок Пекчє"
 ouc_descendant_of_baekje_desc:0 "У нашому літописі йдеться, що ми є нащадками принца Імсеона зі стародавнього королівства Пекчє на Корейському півострові. Ця легенда дозволяє нам займати престижне становище в Східній Азії."
 ouc_korea_trade:0 "Корейська торгівля"
 ouc_korea_trade_desc:0 "Наше географічне положення зробило нас найактивнішим даймьо для корейської торгівлі. Женьшень та інші екзотичні товари фактично монополізовані нашими торговцями. Ми повинні робити все можливе, щоб зберегти цю вигідну позицію і використати її, щоб залишити поза конкуренцією будь-якого випанка, який кинув нам виклик."
 ouc_fight_against_wokou:0 "Захист від піратства"
 ouc_fight_against_wokou_desc:0 "Щоб зберегти хороші торгові стосунки з Китаєм і Кореєю, нам необхідно постійно патрулювати Східно-Китайське море. Поки пірати і контрабандисти є звичайним явищем у цих водах, іноземці не будуть довіряти нам і можуть діяти проти нас. Якщо ми допомагаємо їм, з іншого боку, ми можемо отримати прихильність, титули та престиж у іноземних дворах."
 ouc_hakata_city:0 "Торговці міста Хаката"
 ouc_hakata_city_desc:0 "Хаката є ключовим торговим портом у Західній Японії з часів Хейан. Торговці цього міста плавають до Кореї та Китаю, а також далеко за межі Південно-Китайського моря і навіть Південно-Східної Азії. Ми повинні ефективно використовувати їхню комерційну мережу, щоб розширити наш вплив на торгівлю Східної Азії."
 UTN_ideas:0 "Ідеї Уцуномії"
 UTN_ideas_start:0 "Традиції Уцуномії"
 UTN_ideas_bonus:0 "Амбіції Уцуномії"
 utn_fujiwara_descendant:0 "Нащадок Фудзівари"
 utn_fujiwara_descendant_desc:0 "У родоводі йдеться, що предки клану Уцуномія були спочатку членами роду Фудзівара з Кіото. Ця спорідненість з такою давньою і шанованої родиною – це те, що ми все ще можемо використовувати у формі дипломатичних зв'язків з Імператорським двором та іншими кланами."
 utn_legacy_of_nasu_no_yoichi:0 "Спадщина Насу но Йоїті"
 utn_legacy_of_nasu_no_yoichi_desc:0 "Провінція Сімоцуке колись була домівкою Насу но Йоїті, який став найвідомішим лучником у старій війні родів Мінамото і Тайри – Ґемпей. До сих пір воїни Сімоцуке вивчають свою школу стрільби з лука."
 utn_barrier_of_shirakawa:0 "Бар'єр Сіракави"
 utn_barrier_of_shirakawa_desc:0 "Сіракава-но-Секі є серйозною перешкодою на шляху Токайдо. Використаймо цю браму до регіону Тохоку як пункт для контролю над людьми і торгівлею товарами."
 utn_cadet_branches_in_western_japan:0 "Молодші гілки в Західній Японії"
 utn_cadet_branches_in_western_japan_desc:0 "Члени роду Уцуномія мають рідню майже всюди в Японії. Деякі з них могутніші, ніж інші, а у Західній Японії їхній досвід ведення морської війни може принести користь основній гілці клану."
 utn_annexation_of_oyama_clan:0 "Об'єднання островів Сімоцуке"
 utn_annexation_of_oyama_clan_desc:0 "Інші клани, такі, як Ояма, з роками почали ставити під сумнів наше право на Сімоцуке . Ми повинні розбити ці угрупування й перетворити цих старих ворогів у вірних васалів. Як тільки вони здадуться, об'єднані, ми станемо сильнішими, ніж коли б то не були роз'єднаними."
 utn_mediator_of_kanto:0 "Посередник Канто"
 utn_mediator_of_kanto_desc:0 "Як один з найстаріших кланів у Канто, ми добре розбираємося у політиці цього регіону й багаторазово виступали в ролі посередника між різними фракціями. Таким чином, нам добре відомо, як ефективно розширити нашу територію, не викликаючи ненависті й страху інших..."
 utn_mount_nikko:0 "Гора Нікко"
 utn_mount_nikko_desc:0 "З давніх часів гора Нікко була знаменитим святим місцем для сюґендо – гірського аскетизму, що з'єднує синтоїзм і буддизм. Навіть наймогутніший сьоґун повинен любити цю гору і прагнути побудувати тут свою святиню."
 ouc_mercantile_diplomacy:0 "Меркантильна дипломатія"
 ouc_mercantile_diplomacy_desc:0 "Торгівля була прибутковою справою для нашого клану. Але ми ніколи не повинні припинити пошук нових можливостей для розширення впливу наших торговців. Якщо це означає, що треба пройти через певні канали та виплатити данину, – ми це повинні зробити. З іншого боку, якщо потрібна прихована дипломатія й швидке прийняття рішень – ми не повинні коливатися. Необхідно враховувати все, що допоможе нам зайняти сприятливе положення на нових ринках!"
 ouc_welcome_missionaries:0 "Ласкаво просимо, західники"
 ouc_welcome_missionaries_desc:0 "У міру того як наша торгова мережа починає розширюватися, ми контактуємо з багатьма іноземцями й ще більшим числом віросповідань. Незалежно від того, у що вони вірять, вони платять хороші гроші, і ми повинні бути відкриті для їхніх ідей настільки, наскільки це потрібно для того щоб вони у нас торгували."
 ouc_retainer_factions:0 "Васальні фракції"
 ouc_retainer_factions_desc:0 "У нашому клані васали розділені на дві групи: адміністратори і мілітаристи. Обидві мають своє призначення, але ми повинні бути обережні й не повинні віддавати перевагу одній зі сторін, щоб тримати обидві групи під контролем. Таким чином, ми можемо пожинати плоди їхнжої здорової конкуренції."
 ASK_ideas:0 "Ідеї Асікаґи"
 ASK_ideas_start:0 "Традиції Асікаґи"
 ASK_ideas_bonus:0 "Амбіції Асікаґи"
 ask_head_of_the_genji:0 "Голова Ґендзі"
 ask_head_of_the_genji_desc:0 "Ми були визнані головами всіх гілок Мінамото й усіх самураїв Японії після того, як лінія Мінамото Йорітомо вимерла. Лідерство нашого клану пов'язано з високими очікуваннями бойової майстерності, а успіх на полі битви підтвердить нашу цінність."
 ask_defender_of_the_imperial_court:0 "Захисники імператорського двору"
 ask_defender_of_the_imperial_court_desc:0 "Коли впав сьоґунат Камакура, ми стали на захист імператора й імператорського двору. Це забезпечило нам положення на чолі всіх кланів Японії, як справжнього захисника Імперії та придворних традицій."
 ask_bugyoshu_and_hokushu:0 "Буґьосю і Хокосю"
 ask_bugyoshu_and_hokushu_desc:0 "Ми повинні посилити чиновників імперії, таких як магістрати Буґьосю і командири Хокосю, за рахунок рішучих і часто бунтівних даймьо, які почали домінувати в державі. Іноді сильна бюрократія буде єдиною річчю, яка стоїть між нами і відкритою громадянською війною."
