l_ukrainian:
 NO_EDICT_PLAIN:0 "Немає едиктів"
 shinto_events.27.a:0 "Ми повинні зробити все можливе, щоб стимулювати поширення західної науки."
 shinto_events.27.b:0 "Дозволити займатися цим тільки в провінції [nanban_traders_here.GetCapitalName]."
 shinto_events.28.t:0 "Іноземний вплив"
 shinto_events.28.d:0 "Подейкують, що ми стали дуже залежними від іноземних торговців. Наші власні ремісники не менш талановиті, ніж закордонні, і, замість того, щоб витрачати купу грошей на імпорт промислових товарів із зовнішнього світу, ми могли б самі почати виробляти їх. Таким чином, ми самі стали б мати зиск з їхнього продажу.\nЗараз, звичайно, не дуже вдалий час для того, щоб повністю закривати торгівлю із зовнішнім світом, але якщо наші найкращі майстри займуться виробництвом цих товарів, з часом нам не треба буде чекати прибуття наступного торгового корабля з такою тривогою."
 shinto_events.28.a:0 "Чудова інвестиція!"
 shinto_events.28.b:0 "Немає необхідності намагатися робити те, що інші роблять краще."
 shinto_events.29.t:0 "Кайкоку?"
 shinto_events.29.d:0 "Зустріч із Заходом була досить бурхливою, особливо для [Root.GetAdjective]ого народу. Наше доброзичливе ставлення до західних торговців призвело нас до безпрецедентного розуміння європейської культури і широкого доступу до їхніх товарів. Заповзятливі Кокудзин та інші впливові особи почали відправляти своїх синів до Європи, для того, щоб спочатку вивчити західників, намагаючись максимально розібратися в тому, що ми могли б використовувати вдома."
 shinto_events.29.a:0 "Гаразд."
 shinto_events.30.t:0 "Торгівля із Заходом"
 shinto_events.30.d:0 "Згодом доходи від торгівлі із Заходом знизилися з початкового максимуму, але приплив товарів та ідей від далеких мандрівників як і раніше мають значний вплив на наше суспільство. Тільки час покаже, наскільки ми змогли засвоїти їхні ідеали."
 shinto_events.30.a:0 "Гаразд."
 shinto_events.31.t:0 "Сакоку?"
 shinto_events.31.d:0 "Ми діяли рішуче, щоб обмежити вплив західних торговців на наше суспільство. Оскільки спроби розірвати всі контакти повністю приведуть до поширення контрабанди, ми обмежили торговців одним портом, і ми строго регулюємо їхню взаємодію зі світом за межами цієї точки дотику. Таким чином, ми можемо вибирати які товари (і зброю) ми хочемо придбати, зменшуючи ризики виникнення підривної релігійної діяльності або змов."
 shinto_events.31.a:0 "Гаразд."
 shinto_events.32.t:0 "Вогнепальна зброя"
 shinto_events.32.d:0 "З появою західних торговців з'явилася й перша переносна вогнепальна зброя. Ця зброя відрізняється від тої, що використовується тут, і може кардинально змінити вигляд війни, якщо пошириться. Однак придбати її не так просто, як здається. Мушкети користуються великим попитом серед тих, хто бачив їхню міць, але ймовірність того, що вони можуть зробити в руках наших ворогів або навіть непокірної селянської громади, також викликає занепокоєння.\nЯк тільки ми почнемо їх виробляти і навчати наших солдатів користуватися ними, нам потрібно буде вирішити, хто матиме до них доступ і скільки мушкетів ми зробимо."
 shinto_events.32.a:0 "Сила в кількості! Виробляти стільки, скільки зможемо."
 shinto_events.32.b:0 "Ми зробимо досить для невеликої групи довірених людей."
 shinto_events.33.t:0 "Поширення вогнепальної зброї"
 shinto_events.33.d:0 "Кременеві мушкети, отримані від іноземців, виявилися дешевшими в масовому виробництві, ніж ми припускали. Оскільки все більше й більше наших військ може бути забезпечено цією зброєю, стає ясно, що ми не зможемо стримувати її поширення серед наших ворогів або простолюду. Якщо ми дійсно хочемо зменшити кількість вогнепальної зброї в обігу, ми повинні будемо діяти найближчим часом, і дуже рішуче."
 shinto_events.33.a:0 "Це тільки послабить наші армії."
 shinto_events.33.b:0 "Повна заборона на використання вогнепальної зброї для простолюду."
 shinto_events.34.t:0 "Еволюція зброї"
 shinto_events.34.d:0 "Коли перше захоплення вогнепальною зброєю пройшло, стало ясно, що вона не така ефективна, як стверджували її прихильники. Завдяки тренуванням, ми, безсумнівно, могли б підвищити цю ефективність, і деякі наші ковалі також запропонували способи поліпшення самої зброї. Інші стверджують, що ми повинні витрачати час як наших ковалів, так і наших солдатів на традиційніше озброєння. Зброя наших предків до сих пір має вирішальне значення в боях, а ми як і раніше шануємо їхні традиції."
 shinto_events.34.a:0 "Нам потрібна краща зброя!"
 shinto_events.34.b:0 "Меч сильніше мушкета."
 shinto_events.35.t:0 "Військова революція"
 shinto_events.35.d:0 "З появою в наших краях перших мушкетів вони перетворилися з нововведення в одну з найпоширеніших видів зброї. Подейкують, що ми робимо її краще і виробляємо зброї більше, ніж країни, в яких вона була створена. Це вклало небезпечну зброю в руки будь-кого, хто противиться нашій владі, але її швидке впровадження примусить шанувати нашу армію понад багатьма іншими."
 shinto_events.35.a:0 "Гаразд."
 shinto_events.36.t:0 "Мушкет – зброя та інструмент"
 shinto_events.36.d:0 "З появою в наших краях перших мушкетів вони перетворилися з нововведення в один з найпоширеніших видів зброї. Коли новизна зникла й інші правителі отримали цю зброю, вона перестала бути чимось незвичайним на полі бою, але залишилася переважно в загонів, які спеціалізуються на вогнепальній зброї.\nВ цивільному житті також стало звичним використання мушкетів стражниками і мисливцями."
 shinto_events.36.a:0 "Гаразд."
 shinto_events.37.t:0 "Сила меча"
 shinto_events.37.d:0 "Замість того, щоб спрямувати всі наші сили на використання і поширення вогнепальної зброї, ми спробували її обмежити й замість цього заохочувати використання мечів і списів. Мушкети можуть з часом стати повсякденним явищем, але ми все ще віримо, що традиційна зброя принесе славу і честь нашій державі."
 shinto_events.37.a:0 "Гаразд."
 shinto_events.38.t:0 "Дайнісі?"
 shinto_events.38.d:0 "З приходом європейців ми вступили в контакт з новою культурою і новою релігією. У певному сенсі вони схожі на нас, але в усьому іншому вони абсолютно чужі. Група людей прибула в провінцію [Root.Capital.GetCapitalName], намагаючись проповідувати Євангеліє християнського бога. Їхня проповідь здається дуже дивною, можливо, через некомпетентних або недобросовісних перекладачів.\nПрагнучи отримати заступництво нашого правителя, місіонери прийшли без подарунків і базікали всяку нісенітницю. [Root.Monarch.GetTitle] сприйняли це, як смертельну неповагу, однак, деякі думають, що ці промахи означають, що вони відчайдушно потребують нашої допомоги."
 shinto_events.38.a:0 "Безглуздя! Їм тут не місце!"
 shinto_events.38.b:0 "Ми дозволимо їм залишитися, доки вони поводяться пристойно."
 shinto_events.38.c:0 "Давайте послухаємо, чому їхній Бог може нас навчити."
 shinto_events.39.t:0 "Місія в провінції [Root.Capital.GetCapitalName]"
 shinto_events.39.da:0 "Сьогодні група киришитян (християн) прибула до двору в провінції [Root.Capital.GetCapitalName], просячи, щоб їм дозволили створити невелике співтовариство віруючих у нашому прекрасному місті. Вони збираються піклуватися про бідних і проповідувати своє вчення серед тих, хто готовий слухати про їхнього бога.\nНаш спадкоємець – [Root.Heir.GetName] – буде навчатися місіонерами основам християнства та християнських наук. Буддійське духівництво, а також деякі з наших кокудзинів застерігають нас від цього, оскільки вони бачать у цьому образу нашим давнім традиціям, у той час, як торговці нашої провінції сподіваються отримати вигідні торгові угоди із західниками в разі, якщо ми дозволимо їм залишитися."
 shinto_events.39.db:0 "Сьогодні група християн прибула до двору в провінції [Root.Capital.GetCapitalName], з проханням, щоб їм дозволили створити невелике співтовариство віруючих у нашому величному місті. Вони збираються піклуватися про бідних містян та проповідувати своє вчення серед тих, хто готовий слухати про їхнього бога.\nБуддійське духівництво, а також деякі з наших кокудзинів застерігають нас від цього, оскільки вони бачать у цьому образу нашим давнім традиціям, у той час, як торговці нашої провінції сподіваються отримати вигідні торгові угоди із західниками в разі, якщо ми дозволимо їм залишитися."
 shinto_events.39.a:0 "[Root.Heir.GetName] радіє можливості дізнатися про їхнього бога."
 shinto_events.39.b:0 "Ми можемо дозволити їм поширювати тут свою віру."
 shinto_events.39.c:0 "Ми повинні захищати віру наших предків!"
 shinto_events.40.t:0 "Торгові привілеї"
 shinto_events.40.d:0 "[Root.Monarch.GetName] отримали пропозицію від групи християнських місіонерів направити великі торгові судна зі своєї батьківщини в наші порти, за умови, що їм буде дозволено створити на узбережжі спільноту для християнських новонавернених. Подібна пропозиція обіцяє чималі вигоди нашим торговцям."
 shinto_events.40.a:0 "Нехай вони приходять!"
 shinto_events.40.b:0 "Ми не можемо цього допустити."
 shinto_events.41.t:0 "Рекомендаційний лист"
 shinto_events.41.d:0 "Християнські місії на наших землях з моменту свого заснування проявили себе якнайкраще. Вони поважають закони, і все більше чоловіків і жінок звертаються до світла їхнього бога. Їхній лідер заробив репутацію чудового посередника і, швидше за все, стане чудовим міністром. Він погодиться на це за умови, що ми напишемо рекомендаційний лист іншим мирським лідерам Японії.\nЗвичайно, наші більш традиціоналістські васали побачать у його призначенні образу традицій і їх самих. Їхній самопроголошений лідер також хотів би отримати посаду, хоча його таланти лежать в інших областях."
 shinto_events.41.a:0 "Написати лист."
 shinto_events.41.b:0 "Ми не можемо цього зробити."
 shinto_events.42.t:0 "Суд над християнством"
 shinto_events.42.d:0 "До нас звернулися багато впливових кокудзинів, а також високопоставлених сановників храмових громад на наших землях. Всі вони вимагають, щоб ми вивчили згубні якості християнства. На їхню думку, ця чужа релігія руйнує наші традиції і ображає наших предків, і вони наполягають на судовому розгляді, дозволивши найбільш гідним і шляхетним людям ретельно вивчити це питання."
 shinto_events.42.a:0 "Вони отримають своє розслідування."
 shinto_events.42.a.tt:0 "Результати залежать від підсумків розслідування."
 shinto_events.42.b:0 "Це не їхня справа. Доводи розуму не можуть превалювати над вірою."
 shinto_events.42.b.tt:0 "Це не буде мати прямого впливу на результат цього інциденту."
 shinto_events.43.t:0 "Природа Бога"
 shinto_events.43.d:0 "Розслідування природи християнства завершилося найнесподіванішим чином: судді, які повернулися, зажадали охреститися. Один з них – освічений і поважний вчитель нео-конфуціанства, інший – відомий астроном, а третій – один з наших найблагородніших самураїв. Вони – стовпи нашого суспільства, і тому були обрані на роль суддів, але такий поворот виявився несподіваним для всіх."
 shinto_events.43.a:0 "Тоді ми будемо повинні це дозволити."
 shinto_events.43.b:0 "Нісенітниця! Ми повинні слідувати порадам наших кокудзинів!"
 shinto_events.44.t:0 "Висміювання християнства"
 shinto_events.44.d:0 "Не дивно, що вивчення природи християнства завершилося логічним висновком, що ця релігія не проявляє належної поваги та прихильності традиціям нашої культури. Вчені та шановні люди, які проводили розслідування, заявили, що, хоч ця релігія й здається привабливою, в дійсності вона несе загрозу нашому суспільству."
 shinto_events.44.a:0 "Це земля Богів!"
 shinto_events.44.b:0 "Хоча ми поважаємо їхні висновки, християни повинні залишитися."
 shinto_events.45.t:0 "Християнські громади атаковано"
 shinto_events.45.d:0 "Склади християнських купців у провінції [christian_port_event_target.GetName] спалахували вже кілька разів у цьому місяці, і, хоча місцеві самураї стверджують, що це була серія нещасних випадків, вочевидь, що не всі раді прибуттю чужоземців у тій же мірі, що й ми."
 shinto_events.45.a:0 "Проведіть розслідування, щоб покарати злочинців."
 shinto_events.45.b:0 "Що поробиш, нещасні випадки."
 shinto_events.46.t:0 "Відмова від традицій?"
 shinto_events.46.d:0 "Не є таємницею, що [Root.Monarch.GetName] і [Root.Monarch.GetHerHis] династія зв'язали себе з християнством. Згодом християнство потіснило синтоїстські, буддійські і конфуціанські традиції Японії і є керівною ідеологією нашої держави. Зараз, коли Японія стала єдиним і впорядкованим суспільством, можливо, прийшов час завершити перехід і прийняти християнство як державну релігію?"
 shinto_events.46.a:0 "Ні, ми ніколи повністю не відмовимося від наших традицій!"
 shinto_events.46.b:0 "Прийшов час змін."
 shinto_events.47.t:0 "Християнська держава"
 shinto_events.47.d:0 "Ми взяли під свою опіку послідовників християнського бога і запропонували їм захист з боку держави. Куди б вони не пішли в нашому світі, всі знають, що християнам дозволено проживати, працювати і навертати в свою віру. Християнські торговці стали звичайним явищем у наших містах, а при дворі ця релігія найпоширеніша серед наших міністрів і слуг."
 shinto_events.47.a:0 "Гаразд."
 shinto_events.48.t:0 "Значна християнська присутність"
 shinto_events.48.d:0 "Ми дозволили християнським громадам рости на наших землях під нашим пильним наглядом, забезпечуючи захист їхніх послідовників. Завдяки цьому ми уклали вигідні торгові угоди з їхньою заморською батьківщиною, і заслужили репутацію справедливої та чесної держави."
 shinto_events.48.a:0 "Гаразд."
 shinto_events.49.t:0 "Християнство переможене"
 shinto_events.49.d:0 "Нам вдалося підірвати небезпечний вплив християнства в нашому суспільстві. Ми тримали їхніх місіонерів на відстані витягнутої руки та закрили нашу державу від їхніх послідовників, переслідуючи кожного підозрюваного в прихильності цій вірі. Цим ми заробили схвалення як наших васалів, так і синтоїстського та буддійського духовенства, отримавши репутацію захисника традицій наших предків."
 shinto_events.49.a:0 "Гаразд."
 shinto_events.50.t:0 "Сьоґунат [Root.Overlord.GetName]"
 shinto_events.50.d:0 "У спробі посилити свою владу над даймьо Японії, [Root.Overlord.Monarch.GetName] проводить загальнонаціональні вивчення кадастрів. Дослідження включає в себе перепис населення, ресурсів, стосунки між правовласниками та приведення їх у відповідність з [Root.Overlord.Monarch.GetHerHis] баченням. Це завдання, доручене нашому сьоґуну, використовується Імператором для консолідації влади в своїх руках.\nСьогодні прийшов час вивчення кадастрів у країні [Root.GetName]. До нас звернулися чиновники [Root.Overlord.GetAdjective]ої адміністрації із заявою, що земельні наділи, надані васалам, у кінцевому рахунку належать державі, і що васали володіють землею в довірчому управлінні тільки на даний час."
 shinto_events.50.a:0 "Ніхто не зазіхне на моє право збирати податки!"
 shinto_events.50.b:0 "Пообіцяти провести необхідні розрахунки і надати результати сьоґуну."
 shinto_events.50.c:0 "Вітаємо [Root.Overlord.GetAdjective]их чиновників."
 shinto_events.51.t:0 "Питання про резиденцію"
 shinto_events.51.d:0 "Сьоґун надіслав повідомлення, що Імператор вимагає нашої присутності при Імператорському дворі. Проживання в нашому власному маєтку в місті [Root.Capital.GetCapitalName] протягом усього року паче не вважається прийнятним, і було наказано, що з цього моменту наша сім'я повинна проживати весь рік при Імператорському дворі. Подібне траплялося й раніше, й заведений імператорський порядок не залишає нам вибору. [Root.Monarch.GetName] повинні негайно вирушити до двору або очікувати серйозних негативних наслідків у разі відмови."
 shinto_events.51.a:0 "Якщо їм так завгодно, так і зробимо."
 shinto_events.51.b:0 "[Root.Overlord.GetAdjective]ий правитель слабкий і безвладний."
 shinto_events.52.t:0 "Призначення на імператорську службу"
 shinto_events.52.d:0 "Бакуфу відправили послання про те, що [Root.Monarch.GetName], як очікується, буде виконувати роль імператорського чиновника. Враховуючи прямолінійність прохання, відмова виключена і може навіть розглядатися як ознака відкритого заколоту і безчестя. Безумовно, це прекрасна можливість підняти престиж і [Root.GetAdjective]ий вплив, але це небезпечна честь. Останнім часом [Root.Overlord.GetAdjective]ий Сьоґунат змінює чиновників із загрозливою швидкістю. Не задовольнившись призначенням на високі посади своїх прихильників і вірних слуг, вони позбавляються від усіх, хто не приносить очікуваних сьоґуном результатів. Деяким здається, що така система віддає кожному по заслугах, однак, для багатьох чиновників вона обертається постійним страхом перед перевірками."
 shinto_events.52.a:0 "Ми повинні служити сьоґуну і імператору."
 shinto_events.52.b:0 "Ми не можемо приймати участь у цьому фарсі, відмовитися від призначення."
 shinto_events.52.b.tt:0 "[Root.Overlord.GetName] може оголосити війну країні [Root.GetName]."
 shinto_events.53.t:0 "Даймьо [From.GetName] відмовляється служити!"
 shinto_events.53.d:0 "Наш васал, [From.Monarch.GetTitle] [From.GetAdjective]ої країни, відмовляється від призову на імператорську службу в ролі чиновника. Незважаючи на слабкі спроби виправдатися, це явний виклик нашій владі."
 shinto_events.53.a:0 "Тоді нам доведеться знайти когось другого."
 shinto_events.53.b:0 "Ми не залишимо це безкарно, ми повинні покарати [From.GetAdjective]ого даймьо!"
 shinto_events.54.t:0 "[Root.Overlord.GetAdjective]ий правитель поступається"
 shinto_events.54.d:0 "Сьоґун [Root.Overlord.GetName] погодився з нашою відмовою від імператорської служби, ще раз довівши цим свою слабкість. Відхилену нами пропозицію було надіслано комусь іншому, але авторитет сьоґуна виявився підірваний, оскільки всі могли бачити наслідки нашої відмови."
 shinto_events.54.a:0 "Нехай всі бачать їхню слабкість!"
 shinto_events.55.t:0 "Вірність бакуфу"
 shinto_events.55.d:0 "По мірі того, як Сьоґунат підсилює контроль над Японією, наша політика вірності і покірності принесла нам довіру та відданість імператорського двору. Деякі бачать у цьому втрату незалежності, але натомість ми отримали його прихильність і місце серед правлячих родин нової Японії."
 shinto_events.55.a:0 "Ми залишаємося вірними слугами Сина Неба."
 shinto_events.56.t:0 "Зростаюча сила Сьоґунату"
 shinto_events.56.d:0 "Ми намагалися дотримуватися нейтралітету, у той час, як Сьоґунат зміцнював контроль над Імперією. Хоч ми й не значимося серед нелояльних васалів Імператора, але й не входимо в групу наближених до уряду. Це дозволило нам зберегти нашу незалежність і отримати вигоду від законів, порядку і безпеки нового часу."
 shinto_events.56.a:0 "Ми і далі залишимо за собою простір для маневру."
 shinto_events.57.t:0 "Дрібнення влади сьоґунату"
 shinto_events.57.d:0 "Наша політика активного відстоювання власної незалежності й опори на альтернативну владу на місцях, замість участі в махінаціях сьоґунату, принесла нам репутацію могутнього даймьо і відчайдушного борця за незалежність. До наших слів прислухаються, а наші дії знаходять широкий відгук серед багатьох даймьо і кокудзинів Японії, спраглих обмежити тиск васальних стосунків. Активно руйнуючи імператорський авторитет, ми швидко формуємо основу для своєї власної влади."
 shinto_events.57.a:0 "Дії промовляють гучніше, ніж слова."
 shinto_events.58.t:0 "Будда Аміда"
 shinto_events.58.d:0 "Наша тривала підтримка ікко-ікки не обходилась без гострих кутів, часто викликаних наявністю двох паралельних пірамід влади в Японії. І все ж, багато хто згоден з тим, що без нашої захисту ікко-ікки не досягли б таких успіхів.\nГромадянська війна скінчилася, і багато хто чекає, що ми призначимо лідерів ікко-ікки на високі пости і дамо їхній вірі офіційну підтримку в державі. Однак багато хто визнає подібне грубою образою наших традицій..."
 shinto_events.58.a:0 "Ні, ми не можемо повністю відмовитися від традицій предків."
 shinto_events.58.b:0 "Амітабха."
 MAX_TRIBUTE_REACHED:0 "\nДанники не можуть платити більше, ніж $AMOUNT|Y$ $SYMBOL$ на рік."
 CHANGE_TRIBUTE_COOLDOWN:0 "Ви можете змінити вид данини тільки раз на місяць. Зробити це знову ви зможете $UNTIL|Y$."
 SWITCH_HARMONIZATION_DESC:0 "Це §Rскасує§! вашу гармонізацію з релігією $CURRENT|Y$ (поточний прогрес $PROGRESS|%|Y|0$).\n"
 meritocracy_events.1.t:0 "Розширені іспити"
 meritocracy_events.1.d:0 "Наша адміністрація вимагає збільшити кількість чиновників, що випускаються нами після щорічних іспитів. Деякі з наших міністрів запропонували нам збільшити квоту для того, щоб більшій кількості студентів вдалося домогтися успіху, і ми могли швидше заповнити наші ряди.\nОднак Великий секретар застерігає, що ми ризикуємо порушити цілісність екзаменаційного процесу, якщо почнемо дозволяти будь-кому, крім найкращих, скласти іспити."
 meritocracy_events.1.a:0 "Збільшіть квоту!"
 meritocracy_events.1.b:0 "Ми не можемо ризикувати."
 meritocracy_events.2.t:0 "Чесноти екзаменаційної системи"
 meritocracy_events.2.d:0 "Імперська екзаменаційна система гарантує нам, що всі посадові особи були належним чином навчені тому, як найкраще управляти Китаєм, і що тільки найкраще підготовлені допускаються до цієї відповідальної задачі.\nАле іноді система працює краще, ніж завжди. За словами великого секретаря, у нас був відмінний рік, лише з кількома випадками поганого керування і хорошим випуском нових чиновників."
 meritocracy_events.2.a:0 "Чудово!"
 meritocracy_events.3.t:0 "Новий Старший Великий Секретар"
 meritocracy_events.3.d:0 "Великий Секретаріат є центральним координаційним органом нашого уряду, і хоча він технічно нижче за рангом, ніж багато інших галузей управління, його роль дозволяє йому контролювати інших.\nНовий діючий Великий секретар взяв на себе роль найстаршого з шести чоловік, відповідальних за діяльність, що має далекосяжні наслідки для всіх сфер державної влади."
 meritocracy_events.3.a:0 "Його корупція пошириться на всі частини адміністрації."
 meritocracy_events.3.b:0 "Його некомпетентність просочиться на всіх чиновників."
 meritocracy_events.3.c:0 "Його безперервні змови зашкодять країні."
 meritocracy_events.3.dd:0 "Його численні вороги будуть перешкоджати нашому уряду."
 meritocracy_events.3.e:0 "Його ефективність позначиться на всіх рівнях."
 meritocracy_events.3.f:0 "Його етика пошириться на всі частини адміністрації."
 meritocracy_events.3.g:0 "Його науковий ступінь буде прикладом для всіх нас."
 meritocracy_events.3.h:0 "Його відданість буде служити джерелом натхнення для інших."
 meritocracy_events.4.t:0 "Занепад екзаменаційної системи"
 meritocracy_events.4.d:0 "Екзаменаційна система добре служила імператорам Китаю протягом багатьох століть, вона теоретично дозволяє нам гарантувати, що тільки ті, що мають найкращі здібності, будуть обрані посадовими особами в уряд, яким керує наш монарх [Root.Monarch.GetTitle].\nОднак, останнім часом стало помітно, що загальний рівень есе обстежуваних знижується. На думку екзаменаторів, навіть роботи цього року набагато гірші, ніж самі невдалі за останні декілька років."
 meritocracy_events.4.a:0 "Невже для цього покоління всі надії втрачені?"
 meritocracy_events.5.t:0 "Корупція в екзаменаційній системі"
 meritocracy_events.5.d:0 "Зростаюча корупція в нашій державі повільно, але впевнено почала роз'їдати цілісність екзаменаційної системи. Великий секретар висунув пропозицію про те, як ми могли б боротися з цією тенденцією, очистивши іспити від корумпованих елементів.\nДеякі впливові сім'ї зазнають багато втрат від боротьби з корупцією в системі, проте будуть надавати нам підтримку, якщо ми закриємо очі на складені іспити їхніх дітей."
 meritocracy_events.5.a:0 "Ми повинні очистити систему від зловживань!"
 meritocracy_events.5.b:0 "Ми можемо на мить відвести очі..."
 overlord_military_aid:0 "Прислали військову підтримку"
 overlord_military_mission:0 "Військова місія"
 desc_overlord_military_mission:0 "Наш повелитель послав нам військову місію, щоб допомогти нам у нашій нинішній війні з їхнім суперником. Ці люди, які мають досвід ведення військових дій та військової логістики, допомагають нам досягти максимальної ефективності нашого вербування та полегшують нашу військову логістику."
 tributary_events.30.t:0 "Данник воює з суперником"
 tributary_events.30.d:0 "Наш данник, [tributary_warring_rival.GovernmentName] з держави [tributary_warring_rival.GetName], знаходиться в стані війни з нашим суперником, державою [overlord_rival.GetName]. Оскільки вони надають нам важливу послугу в ослабленні нашого противника, можливо, ми повинні підтримати їх, посилаючи військову місію, складену з досвідчених воєначальників і фахівців, на весь час конфлікту. Надана військова або фінансова підтримка, якщо це буде можливо, послужить гарною підмогою для досягнення перемоги над нашим суперником."
 tributary_events.30.a:0 "Ми повинні відправити все, що можемо!"
 tributary_events.30.b:0 "Мабуть, [overlord_rival.Capital.GetCapitalName] – чудове місце для відпочинку..."
 tributary_events.30.c:0 "Фінансової підтримки буде цілком достатньо."
 tributary_events.30.e:0 "Буде досить й військової місії."
 tributary_events.30.f:0 "На жаль, ми не можемо собі дозволити прямо зараз відправити будь-яку допомогу."
 tributary_events.31.t:0 "Сюзерен посилає військову місію"
 tributary_events.31.d.a:0 "У світлі нашої нинішньої війни з суперником нашого сюзерена, держави [overlord_rival.GovernmentName] з державою [overlord_rival.GetName], до нас була відправлена військова місія, щоб допомогти нам у наших зусиллях. Складена з досвідчених воєначальників і фахівців в області вербування та забезпечення, вона, безсумнівно, стане великою допомогою в розгромі нашого ворога."
 tributary_events.31.d.b:0 "У світлі нашої нинішньої війни з суперником нашого сюзерена, держави [overlord_rival.GovernmentName] з державою [overlord_rival.GetName], до нас була відправлена військова місія і велике пожертвування в нашу військову скриню, щоб допомогти нам у наших зусиллях. Складена з досвідчених воєначальників і фахівців в області вербування та забезпечення, ця місія, безсумнівно, стане великою допомогою в розгромі нашого ворога."
 tributary_events.31.d.c:0 "У світлі нашої нинішньої війни з суперником нашого сюзерена, держави [overlord_rival.GovernmentName] з державою [overlord_rival.GetName], до нас була відправлена військова місія та військовий контингент, щоб допомогти нам у наших зусиллях. Складена з досвідчених воєначальників і фахівців в області вербування та забезпечення, ця місія, безсумнівно, стане великою допомогою в розгромі нашого ворога."
 tributary_events.31.d.d:0 "У світлі нашої нинішньої війни з суперником нашого сюзерена, держави [overlord_rival.GovernmentName] з державою [overlord_rival.GetName], до нас була відправлена військова місія та велике пожертвування в нашу військову скриню, щоб допомогти нам у наших зусиллях. Складена з досвідчених воєначальників і фахівців в області вербування та забезпечення, ця місія, безсумнівно, стане великою допомогою в розгромі нашого ворога."
 tributary_events.31.a:0 "Вся допомога вітається!"
 tributary_events.32.t:0 "Скасована військова місія"
 tributary_events.32.d:0 "Тепер, коли війна закінчилася, наш сюзерен вважає за потрібне відкликати, надіслану нам, військову місію. Нам у черговий раз доведеться обійтися без їхнього керівництва."
 tributary_events.32.a:0 "Неприємно, хоч і було очікувано."
 ESTIMATE_TRIBUTE_AMOUNT:0 "Ми прогнозуємо, що вони висунуть вимоги в $AMOUNT|Y$."
