l_ukrainian:
 ONE_TIME_COST:0 "Одноразова виплата"
 RANDOM_WORLD_RESTORE_CONTINENTS:0 "Відновлення континентів..."
 RANDOM_WORLD_RESTORE_COLONIAL:0 "Відновлення колоніальних регіонів..."
 RANDOM_WORLD_RESTORE_MAP_DATA:0 "Відновлення даних мапи..."
 RANDOM_WORLD_RESTORE_TRADE:0 "Відновлення торгівлі..."
 RANDOM_WORLD_FIND_DATA:0 "Визначення опцій рандомізації..."
 RANDOM_WORLD_CONTINENTS_TOPOLOGY:0 "Створення топології континентів..."
 RANDOM_WORLD_MOUNTAINS:0 "Створення гір..."
 RANDOM_WORLD_SMOOTH_COASTAL_TOPOLOGY:0 "Згладжування узбережжя..."
 RANDOM_WORLD_SMOOTH_TOPOLOGY:0 "Згладжування топології..."
 RANDOM_WORLD_RIVERS:0 "Створення річок..."
 RANDOM_WORLD_TERRAIN:0 "Створення суші..."
 RANDOM_WORLD_TREES:0 "Створення дерев..."
 RANDOM_WORLD_AMBIENTOBJECTS:0 "Створення навколишніх об'єктів..."
 RANDOM_WORLD_COLORMAP_WATER:0 "Створення мапи кольорів води..."
 RANDOM_WORLD_COLORMAP:0 "Створення мапи кольорів..."
 RANDOM_WORLD_PROVINCEMAP:0 "Створення мапи провінцій..."
 RANDOM_WORLD_CLIMATE:0 "Встановлення клімату..."
 RANDOM_WORLD_CONTINENTS:0 "Встановлення континентів..."
 RANDOM_WORLD_REGIONS:0 "Встановлення регіонів..."
 RANDOM_WORLD_COLONIAL_REGIONS:0 "Встановлення колоніальних регіонів..."
 RANDOM_WORLD_TRADE:0 "Встановлення торгівлі..."
 RANDOM_WORLD_POSITIONS:0 "Встановлення міст і військ..."
 RANDOM_WORLD_COUNTRIES_PROVINCES:0 "Встановлення держав і провінцій..."
 RANDOM_WORLD_GENERATE_WORLD:0 "Генерація Випадкового Нового Світу..."
 RANDOM_WORLD_SAVE_WORLD:0 "Збереження Випадкового Нового Світу..."
 RANDOM_WORLD_GENERATE_WORLD_TILES:0 "Генерація Випадкового Нового Світу...\nРозташування плиток..."
 RANDOM_WORLD_GENERATE_WORLD_SEA:0 "Генерація Випадкового Нового Світу...\nСтворення морів..."
 RANDOM_WORLD_GENERATE_WORLD_SEA2:0 "Генерація Випадкового Нового Світу...\nЗбільшення числа морів..."
 RANDOM_WORLD_GENERATE_WORLD_SEA3:0 "Генерація Випадкового Нового Світу...\nЗаповнення пустот..."
 RANDOM_WORLD_GENERATE_WORLD_SMOOTHING:0 "Генерація Випадкового Нового Світу...\nЗгладжування $PASS$..."
 POLICYVIEW_TITLE:0 "Едикти внутрішньої політики"
 FERVOR_CHANGE:0 "Щомісячна зміна:"
 FERVOR_VALUE2:0 "Бали завзяття:"
 ENFORCE_MILITARY_ACCESS:0 "Держава $FROM$ була змушена надати право проходу військам держави $TO$. Це право не може скасоване до закінчення перемир'я."
 ENFORCE_FLEET_BASING_RIGHTS:0 "Держава $FROM$ була змушена надати право на базування флоту державі $TO$. Це право не може скасоване до закінчення перемир'я."
 WAR_REPARATIONS_DESC:0 "\nДержава $FROM$ буде змушена передавати державі $TO$ $VALUE|0%$ свого доходу в якості воєнних репарацій. Виплати надходитимуть протягом $YEARS$ років."
 ENFORED_MILITARY_ACCESS:0 "Примусове право проходу для військ"
 ENFORCED_FLEET_BASING_RIGHTS:0 "Примусове право на базування флоту"
 WAR_REPARATIONS:0 "Репарації"
 SHOW_AS_ALERT:0 "Показувати як оповіщення"
 SHOW_AS_POPUP:0 "Показувати у спливаючому вікні"
 FE_IRONMAN_CHECKSUM:0 "Неможливо почати гру у режимі Ironman, поки не порахована версія гри, будь ласка, зачекайте ще трохи."
 PLX_WAIT:0 "Будь ласка, зачекайте"
 CAPITAL_STATE_OF:0 "Столичне володіння $NAME|Y$"
 TERRITORY_OF:0 "Територія $NAME|Y$"
 STATE_OF:0 "Володіння $NAME|Y$"
 PROV_REGION_DESC:0 "Провінції: $NUM_PROV|Y$\nРозвиток: $DEV_VAL|Y$\nУтримання: $MAIN_VAL|Y$¤"
 PROV_SOME_PROVINCES_IN_STATE:0 "Ви не володієте цією провінцією, але володієте провінціями у межах цього володіння."
 PROV_SOME_PROVINCES_IN_TERRITORY:0 "Ви не володієте цією провінцією, але володієте провінціями у межах цієї території."
 SAVEGAME_ERROR_BACK_UP:1 "Помилка резервування файла збереження!"
 SAVEGAME_ERROR_BACK_UP_DESC:1 "Резервна копія файла збереження пошкодилася під час перейменування $FROM|Y$ на $TO|Y$.\n\nВи можете спробувати видалити один чи обидва файли із теки збережень."
 SAVEITEM_START_WITH_MISSING_DLC:0 "§RЦе збереження було створено з використанням DLC, якого ви не маєте. Існує висока ймовірність, що ваша гра буде нестабільною або матиме інші проблеми! Якщо це збереження ironman – досягнення будуть відключені!§!"
 IS_NOT_IN_LARGE_DEBT:0 "Не має великих боргів."
 IS_IN_ARGE_DEBT:0 "Має великі борги."
 MSGRDK_SIGNIN_FAILED_TITLE:0 "Сталася помилка"
 MSGRDK_SIGNIN_FAILED_TEXT:0 "Ми не змогли увійти у ваш Microsoft. Деякі ігрові функції будуть недоступні."
 MSGRDK_NO_PERMISSION_TITLE:0 "Права доступу"
 MSGRDK_NO_UGC_TEXT:0 "Ви не маєте прав доступу до контенту, сгенерованого користувачем. Моди буде вимкнено."
 MSGRDK_NO_MULTIPLAYER_TEXT:0 "Ви повинні увійти в акаунт, який дозволяє грати онлайн."
 MSGRDK_COMMUNICATIONS_UNAVAILABLE_PRIVILEGE_CHAT:0 "*** Повідомлення було заблоковано через відсутність у вашому екаунті прав на комунікацію ***"
 MSGRDK_UGC_MULTIPLAYER_UNAVAILABLE:0 "Заблоковано через відсутність у вашому екаунті прав на користувацький контент."
 CHAT_ERROR_MUTE_MISSINGARGS:0 "Неправильний синтаксис, очікувалося: /mute <username>"
 CHAT_ERROR_UNMUTE_MISSINGARGS:0 "Неправильний синтаксис, очікувалося: /unmute <username>"
 CHAT_ERROR_MUTEUNMUTE_SELF:0 "Ви не можете заглушити себе!"
 SETTINGS_ACCESSIBILITY:0 "Доступність"
 SETTINGS_ACCESSIBILITY_TTS:0 "Багатокористувацький чат: Текст у голос"
 SETTINGS_ACCESSIBILITY_STT:0 "Багатокористувацький чат: Голос у текст"
 SETTINGS_ACCESSIBILITY_VISUAL_ALERTS:0 "Багатокористувацький чат: Візуальні сповіщення"
 SETTINGS_ACCESSIBILITY_USE_STT_SHORTCUT:0 "Гаряча клавіша для Голос у текст"
 SETTINGS_ACCESSIBILITY_CHAT_LARGE_FONTS:0 "Багатокористувацький чат: Збільшені шрифти"
 SETTINGS_ACCESSIBILITY_STT_SHORTCUT_INPUT:0 "Багатокористувацький чат: гаряча клавіша для Голос у текст"
 CHAT_CVAA_MESSAGE:0 "$NAME$ каже $MESSAGE$"
 CHAT_CVAA_SYSTEM_NAME:0 "Система"
 CHAT_CVAA_EMPTY_TEXT:0 " "
 CHAT_CVAA_MIC:0 "Мікрофон"
