l_ukrainian:
 ARMY_PROFESSIONALISM_VALUE:0 "Професіоналізм армії: $VALUE|Y%2$"
 tribal_federation_events.9.a:0 "Обурливо!"
 tribal_federation_events.10.t:0 "Почесна монарша варта"
 tribal_federation_events.10.d:0 "Існує безліч неформальних способів для кланів нашої федерації продемонструвати свій вплив. Посада в королівській раді є безумовно одним з таких способів. Це може бути командування арміями або право оподатковувати певні провінції. Однак, однією з найпочесніших посад для клану може бути почесна варта правителя. Очікується, що будь-який впливовий клан матиме представників серед особового кавасса правителя, але для однієї людини не потрібно стільки охоронців. Це дещо суперечить ідеї монаршого захисту"
 tribal_federation_events.10.a:0 "Збільшимо почесну варту."
 tribal_federation_events.10.b:0 "Нам потрібні здібні люди, а не безглузда церемонія."
 tribal_federation_events.11.t:0 "Племена провінції [Root.GetName]"
 tribal_federation_events.11.d:0 "Племена провінції [Root.GetName] вражені нашими арміями, що насуваються, і звернулися до нас з проханням безпосередньо приєднатися до нашої федерації. Натомість вони просять поважати їхні старі привілеї та забезпечувати рівне ставлення до інших племен у районі, що знаходиться під нашим контролем.\nОднак, якщо ми погодимося, рада племен може вирішити, що їхній власний вплив буде 'розбавлено'."
 tribal_federation_events.11.a:0 "Вітаємо їх у родині."
 tribal_federation_events.11.b:0 "Після підписання миру їм доведеться змагатися з іншими місцевими володарями."
 tribal_federation_events.12.t:0 "Племена провінції [From.GetName]"
 tribal_federation_events.12.d:0 "Підступні племена провінції [From.GetName] покинули нас і приєдналися до наших ворогів. Їхнє боягузтво не заробить їм друзів після закінчення війни."
 tribal_federation_events.12.a:0 "Їхні імена навіки будуть покриті ганьбою!"
 tribal_federation_events.13.t:0 "Племена провінції [tribal_religion_province.GetName]"
 tribal_federation_events.13.d:0 "Племена провіції [tribal_religion_province.GetName] були вражені нашими харизматичними проповідниками і, швидше за все, охоче приєднаються до нашої держави..."
 tribal_federation_events.13.a:0 "Бог всеблагий."
 tribal_federation_events.13.a.tt:0 "Ми §Gнаціоналізували§! провінцію §Y[tribal_religion_province.GetName]§!."
 ADD_PASHA_BUTTON:0 "Призначити пашу"
 REMOVE_PASHA_BUTTON:0 "Зняти пашу"
 ADD_PASHA_TOOLTIP:0 "§YПризначити пашу§!"
 REMOVE_PASHA_TOOLTIP:0 "§YЗняти пашу§!"
 ADD_PASHA_TOOLTIP_DESC:0 "Призначення паші у володінні $STATE|Y$ дасть такі ефекти:\n$EFFECT$"
 REMOVE_PASHA_TOOLTIP_DESC:0 "Зняття паші у володінні $STATE|Y$ дасть такі ефекти:\n$EFFECT$"
 CONFIRMADDPASHA:0 "Призначити пашу"
 CONFIRMADDPASHA_TEXT:1 "Призначення паші у володінні $STATE|Y$ дасть такі ефекти:\n$EFFECT$"
 CONFIRMREMOVEPASHA:0 "Зняти пашу"
 CONFIRMREMOVEPASHA_TEXT:1 "Зняття паші у володінні $STATE|Y$ дасть такі ефекти:\n$EFFECT$"
 pasha_removed_modifier:0 "Пашу знято"
 desc_pasha_removed_modifier:0 "Пашу було відкликано"
 PASHA_MODIFIER:0 "Володіння під контролем паші"
 CONFORM_TO_TEMPLATE:1 "§YВідповідно до шаблону§!"
 CONFORM_TO_TEMPLATE_ARMY_DESC:0 "Виберіть шаблон армії для того, щоби привести армію у відповідність до цього шаблону.\nПолки, що не відповідають шаблону, буде відокремлено у нову армію, а відсутні полки буде добудовано, переміщено та об'єднано з цією армією."
 CONFORM_TO_TEMPLATE_NAVY_DESC:1 "Виберіть шаблон флоту для того, щоби привести флот у відповідність до цього шаблону.\nКораблі, що не відповідають шаблону, буде відокремлено у новий флот, а відсутні кораблі буде добудовано, переміщено та об'єднано з цим флотом."
 NO_CONFORM_TO_TEMPLATE_CONDOTTIERI:0 "§RНа даний час цю армію не можна привести до якогось шаблону.§!\nАрмія в оренді як кондотьєри."
 NO_CONFORM_TO_TEMPLATE_PENDING_CONDOTTIERI:0 "§RНа даний час цю армію не можна привести до якогось шаблону.§!\nАрмія запропонована як кондотьєри."
 NO_TEMPLATES_ARMY:0 "§RСпочатку потрібно створити шаблон армії в планувальнику завдань§!"
 NO_TEMPLATES_NAVY:0 "§RСпочатку потрібно створити шаблон флоту в планувальнику завдань.§!"
 NO_VALID_CONFORM_TO_TEMPLATES_ARMY:0 "§RЦя армія зараз не відповідає жодному шаблону.§!\nПереконайтеся, що у вас достатньо ¤ і £icon_manpower£."
 NO_VALID_CONFORM_TO_TEMPLATES_NAVY:0 "§RЦей флот зараз не відповідає жодному шаблону.§!\nПереконайтеся, що у вас достатньо ¤ і £icon_sailors£."
 ARMY_IS_EMBARKED:0 "§RЦя армія завантажилася на кораблі§!"
 NAVY_HAS_UNITS_EMBARKED:0 "§RЦей флот зараз перевозить війська.§!"
 crushed_non_mamluk_rebels:0 "Повстанців розбито"
 desc_crushed_non_mamluk_rebels:0 "Недавнє повстання було жорстоко придушено."
 placated_non_mamluk_rebels:0 "Місцеве населення заспокоєне"
 desc_placated_non_mamluk_rebels:0 "Ми запобігли повстанню, припинивши утискати місцеве населення."
 tarh:0 "Тарг"
 desc_tarh:0 "Ми змушуємо людей цієї провінції купувати місцеві продукти й платити за них за встановленою нами ціною. Це гарантувало прибутковість наших державних монополій, але й призвело до загального зниження продуктивності та якості продуктів."
 unprofitable_monopolies:0 "Збиткові монополії"
 desc_unprofitable_monopolies:0 "Виробництво в цій провінції контролюється державними монополіями, але останнім часом попит на вироблені товари значно знизився, що призвело до втрати частини прибутку."
 factionalism:0 "Фракційність"
 desc_factionalism:0 "Наш правитель намагається стравити між собою різні фракції, щоби посилити над ними свій контроль."
 ruler_supporting_faction:0 "Правитель підтримує фракцію"
 desc_ruler_supporting_faction:0 "Наш правитель завжди намагається стати на бік найсильнішої фракції у внутрішньодержавних конфліктах."
 cairo_markets:0 "Розширення ринків Каїра"
 desc_cairo_markets:0 "Наш султан вирішив, що під час його правління, ринкові райони Каїра повинні мати головний пріоритет у будь-яких проектах реконструкції або будівництва."
 cairo_slums:0 "Реконструкція нетрів Каїра"
 desc_cairo_slums:0 "Усі зусилля нашого нинішнього правителя спрямовані на боротьбу з бідністю та хворобами в нетрях Каїра."
 cairo_al_ahzar:0 "Заступництво аль-Азгару"
 desc_cairo_al_ahzar:0 "Значні кошти були надані як благодійні пожертви на підтримку мечетей Каїра і, зокрема, поважному аль-Азгару."
 cairo_defences:0 "Цитадель Каїра"
 desc_cairo_defences:0 "Ми витратили значні кошти на ремонт Цитаделі Каїра, а також на будівництво і ремонт захисних споруд у цілому."
 monuments_of_cairo:0 "Пам'ятники Каїра"
 desc_monuments_of_cairo:0 "Ми виділили більшу частину наших ресурсів у давньому місті Каїр на будівництво пам'ятників величі нашого правителя."
 mamluk_amir_al_hajj:0 "Мамлюк Амір аль-хадж"
 desc_mamluk_amir_al_hajj:0 "Ми відправили одного з наших найбільш довірених мамлюків на захист караванів, що йдуть у святі міста. Враховуючи, що ніхто не може зрівнятися з нашими воїнами, каравани дійсно будуть у безпеці. Навіть якщо йому не вистачає знань про місцевий ландшафт і населення."
 diplomat_amir_al_hajj:0 "Дипломат Амір аль-хадж"
 desc_diplomat_amir_al_hajj:0 "Наш Амір аль-хадж, чиновник, відповідальний за щорічні паломництва в Мекку, був обраний з числа наших найкращих дипломатів. Завдяки його вмінням, ми можемо бути впевнені в безпечному проходженні життєво важливих караванів через небезпечні території."
 warrior_amir_al_hajj:0 "Воїн Амір аль-хадж"
 desc_warrior_amir_al_hajj:0 "Наш Амір аль-хадж, чиновник, відповідальний за щорічні паломництва в Мекку, був обраний з числа наших найкращих воєначальників. Завдяки його вмінням, ми можемо бути впевнені в належному захисті цих життєво важливих караванів."
 bedouin_amir_al_hajj:0 "Бедуїн Амір аль-хадж"
 desc_bedouin_amir_al_hajj:0 "Наш Амір аль-хадж, чиновник, відповідальний за щорічні паломництва в Мекку, був обраний серед бедуїнських племен, які зазвичай становлять загрозу для самих караванів, які ми будемо захищати. Це повинно дати йому перевагу в захисті караванів, але також можна розглядати як зневагу до нашого священного обов'язку."
 awlad_al_nas_commander:0 "Командувач з Авляд ан-нас"
 desc_awlad_al_nas_commander:0 "Захист провінції [Root.GetName] залишено в руках заповзятих Авляд ан-нас – синів звільнених мамлюків."
 mamluk_commander:0 "Командувач-мамлюк"
 desc_mamluk_commander:0 "Захист цієї області знаходиться в руках одного з наших найнадійніших мамлюків."
 trusting_old_guard:0 "Карані"
 desc_trusting_old_guard:0 "Безліч чиновників працює ще з часів наших попередників. Це може зробити перехідний період менш спокійним, ніж хотілося б багатьом."
 loyal_mamluks_in_high_positions:0 "Вірні мамлюки"
 desc_loyal_mamluks_in_high_positions:0 "Ми замінили мамлюків, що залишилися з часів наших попередників, вірними нам, недавно купленими мамлюками. Це породило невелике невдоволення серед знатних родин Каїра, однак принаймні ми знаємо, що тепер можемо довіряти нашим офіцерам."
 mamluk_events.0.t:0 "Мамелюцьке престолонаслідування"
 mamluk_events.0.d:0 "[Root.Monarch.GetName] помер, лишивши нашу державу без правителя. Усі поважні мамелюцькі роди міста [Root.Capital.GetCapitalName] використовують увесь свій вплив, щоби мати останнє слово під час призначення його наступника. В залежності від того, кому це вдасться, наш новий правитель матиме підтримку різних родів у різних частинах держави.\nЛише одне не викликає сумнівів – [Root.Monarch.GetTitle] не буде сприйнятий прихильно групами, які відстоюють свої інтереси. Деякі навіть можуть намагатися обмежити його вплив до кінця свого життя."
 mamluk_events.0.a:0 "[first_ruler_alternative_province.Culture.GetName]а культура дасть нам мамлюків, підтримки яких ми потребуємо."
 mamluk_events.0.b:0 "Лише [second_ruler_alternative_province.Culture.GetName]а культура дасть так потрібних нам зараз мамлюків."
 mamluk_events.0.c:0 "[third_ruler_alternative_province.Culture.GetName]а культура висуває кандидата, який має нашу підтримку!"
 mamluk_events.0.dd:0 "Найкраща альтернатива – той, кого нічого не пов'язує з впливовими угрупуваннями міста [Root.Capital.GetCapitalName]..."
 mamluk_events.1.t:0 "[not_ruling_culture_province.Culture.GetName]а піхота"
 mamluk_events.1.d:1 "Хоча мамлюки – основна сила нашої армії, не все наше військо складається з воїнів-рабів. Місцеві [not_ruling_culture_province.Culture.GetName]і жителі складають переважне число піхотинців нашої армії, а також використовуються як охоронці та в гарнізонах.\nНевеликі шанси просування та низька платня не сильно їх мотивують, та й не ясно наскільки ми можемо їм довіряти. Проте безсумнівно, що емір, який ними керує, часто нехтував їхнім тренуванням та спорядженням.\nВорожнеча в [not_ruling_culture_province.GetAreaAdjective]ій області, де переважає [not_ruling_culture_province.Culture.GetName]а культура, та мамелюцькими емірами призвела до заколоту."
 mamluk_events.1.a:0 "Треба розчавити його допоки не розрослося!"
 mamluk_events.1.b:0 "Подивимося, що ми можемо зробити для покращення їхньої ситуації."
 mamluk_events.2.t:0 "Тарг i королівські монополії"
 mamluk_events.2.d:0 "Наші попередники розумно використовували систему королівських монополій для контролю надходжень від продажу зерна і тканин. Але з втратою попиту ми почали втрачати інвестовані гроші. Наш наглядач з провінції [monopoly_province.GetName] звітує, що вони вже два роки не можуть продати надлишки їхніх товарів і хвилюються, що це може коштувати державі грошей.\nВін пропонує змусити наших підданих купувати товари за встановленою ціною, аби ми змогли повернути наші вклади. Цей традиційний процес називається тарг."
 mamluk_events.2.a:0 "Яка чудова ідея!"
 mamluk_events.2.b:0 "Нам доведеться знести ці витрати."
 mamluk_events.3.t:0 "Повстання еміра провінції [mamluk_province.GetName]"
 mamluk_events.3.d:0 "Один з наших наймогутніших мамелюцьких емірів зміг закріпитися в [mamluk_province.GetAreaAdjective]ій області та веде військо на столицю – місто [Root.Capital.GetCapitalName]. Ходять чутки, що його підтримують мамелюцькі родини столиці й навіть дехто в самій цитаделі."
 mamluk_events.3.a:0 "Покарання за зраду – смерть!"
 mamluk_events.4.t:0 "Фракційність"
 mamluk_events.4.d:0 "Не лише [Root.Monarch.GetTitle] володіє мамлюками в нашій державі. Дуже часто родини впливових колишніх мамлюків утримують велике, якщо не більше ніж у нас, число нещодавно імпортованих рабів з їхніх рідних земель. Ці впливові еміри мають вкрай великий вплив під час передачі наступництва, але навіть коли трон зайнятий, можна відчути вплив мамелюцьких родин у [Root.GetAdjective]ій політиці. [Root.Monarch.GetName] повинен слідкувати, аби ця фракційність не гальмувала політику столиці – міста [Root.Capital.GetCapitalName]."
 mamluk_events.4.a:0 "Ми повинні спробувати нацькувати їх одне на одного."
 mamluk_events.4.b:0 "Визначимося на чий бік ми станемо й підтримаємо сильніших."
 mamluk_events.5.t:0 "Заколот у палаці"
 mamluk_events.5.d:0 "[Root.Monarch.GetName] своїм жахливим правлінням викликав страшенне невдоволення у впливових мамелюцьких емірів і вони змовилися між собою задля вчинення заколоту, Вони хочуть, щоби трон зайняв більш здібний [Root.Monarch.GetTitleKHTO]."
 mamluk_events.5.a:0 "[Root.Monarch.GetName] – правитель, якого ми не покинемо!"
 mamluk_events.5.b:0 "Усі люди смертні."
 mamluk_events.6.t:0 "Каїр"
 mamluk_events.6.d:0 "Набагато старіший, ніж [Root.GovernmentName] [Root.GetAdjective]ої держави, Каїр століттями, якщо не тисячоліттями оздоблювали різноманітні правителі та завойовники. Наведення ладу в цьому лабіринті будівель – від мавзолеїв міста мертвих і нетрів фустату, до гомінливих ринків Хан аль-Халілі чи самої Каїрської цитаделі, виявилося колосальною задачею для наших попередників. Однак, люди очікують, що володар міста, [Root.Monarch.GetName], зробить і свій вклад, як в оздоблення та розвиток міста, так і в правопорядок та боротьбу з епідеміями. "
 mamluk_events.6.a:0 "Відновимо суки (ринки) і Хан аль-Халілі."
 mamluk_events.6.b:0 "Ми повинні оновити швидкозростаючі нетрі та передмістя."
 mamluk_events.6.c:0 "Мечеті та Аль-Азгар потребують нашої уваги."
 mamluk_events.6.dd:0 "Сфокусуємося на цитаделі та захисті міста."
 mamluk_events.6.e:0 "Наступні покоління заздритимуть монументам, які ми спорудимо."
 mamluk_events.6.f:0 "Зараз ми не маємо змоги щось робити для жителів Каїра."
 mamluk_events.7.t:0 "Новий амір аль-хадж"
 mamluk_events.7.d:0 "Кожен мусульманин зобов'язаний хоча б раз у житті здійснити паломництво до священних міст Мекки та Медіни. Як [Root.Monarch.GetTitle], ви зобов'язані забезпечити їхню безпеку на цьому шляху. Ця посада в рівній мірі потребує як хитрощів так і грубої сили, оскільки в коло наших обов'язків входять і перемоги над грабіжниками, і перемовини з місцевими правителями, аж до прямих погроз і хабарів. Амір аль-хадж мусить нести відповідальність за хаджеві каравани й матиме багато свободи в тому як забезпечити безпеку всіх [Root.GetAdjective]их паломників."
 mamluk_events.7.a:0 "Виберемо бедуїна – найкращого з нас."
 mamluk_events.7.a.tt:0 "Обраний вами §YАмір аль-хадж§! матиме вплив як на шанс успіху хаджійських караванів вашого народу, так і на будь-які проблеми, що можуть статися під час хаджу:\nАмір аль-хадж, що походить з бедуїнів, зможе захищати ваші каравани від небезпек способами, що недоступні решті."
 mamluk_events.7.b:0 "Виберемо бедуїна, якому рідні пустелі Аравії."
 mamluk_events.7.c:0 "Вмілий воїн найкраще впорається із завданням."
 mamluk_events.7.c.tt:0 "Обраний вами §YАмір аль-хадж§! матиме вплив як на шанс успіху хаджійських караванів вашого народу, так і на будь-які проблеми, що можуть статися під час хаджу:\nАмір аль-хадж, що походить з воїнів, матиме непогані шанси захистити караван у разі нападу, але через відсутність манер він може створювати непотрібні конфлікти."
 mamluk_events.7.dd:0 "Здатний дипломат розв'яже цю задачу якнайкраще."
 mamluk_events.7.dd.tt:0 "Обраний вами §YАмір аль-хадж§! матиме вплив як на шанс успіху хаджійських караванів вашого народу, так і на будь-які проблеми, що можуть статися під час хаджу:\nАмір аль-хадж, який є дипломатом, ефективніший у мирні часи, але не дуже в часи війни."
 mamluk_events.7.e:0 "Лише вірний мамлюк здатний виконати це завдання."
 mamluk_events.7.e.tt:0 "Обраний вами §YАмір аль-хадж§! матиме вплив як на шанс успіху хаджійських караванів вашого народу, так і на будь-які проблеми, що можуть статися під час хаджу:\nАмір аль-хадж, що походить з мамлюків, лояльніший, коли ваш правитель має високий рівень легітимності, і не дуже, коли рівень легітимності занизький."
 mamluk_events.8.t:0 "Каравани хаджу пограбовано"
 mamluk_events.8.d:0 "Хтось влаштував засідку та пограбував нещодавній караван пілігримів до наших святих міст. Оскільки ми зобов'язані захищати наших підданих, які бажають відвідувати священні міста, тепер люди починають сумніватися в нашій здатності це зробити."
 mamluk_events.8.a:0 "Це більше не повториться."
 mamluk_events.8.b:0 "Нам потрібно витратити більше на їхній захист."
 mamluk_events.8.c:0 "Наш амір аль-хадж скористається своїми зв'язками для забезпечення кращого результату в майбутньому."
 mamluk_events.9.t:0 "Пілігрими в безпеці"
 mamluk_events.9.d:0 "Зусилля, що ми спрямовували на захист підданих, які бажали здійснити паломництво до Святих Міст, окупилися. Давно ми вже не чули жодних новин про напади, країна перебуває у спокої."
 mamluk_events.9.a:0 "Чудово."
 mamluk_events.10.t:0 "Авлад аль-нас"
 mamluk_events.10.d:0 "З дитинства навчені бути вірними воїнами, раби-мамлюки часто мають повну довіру своїх власників або наймачів. Однак їхні сини, Авлад аль-нас, що виросли за сприятливіших та поблажливіших умов, загалом вважаються не такими вправними та вірними. Не в змозі служити королівськими мамлюками, Авлад аль-наси є соціальною елітою серед регулярного війська та нижчої адміністрації.\nЩоправда, ці шляхтичі постійно намагаються довести, що вони готові взяти більшу відповідальність. І оскільки посада командувача укреіпленнями області [defence_province.GetAreaName] звільнилася, деякі з них сподіваються, що ми призначимо на неї когось із них."
 mamluk_events.10.a:0 "Запросимо одного з його синів."
 mamluk_events.10.b:0 "Ми можемо довіряти лише одному з нас. Командувачем має бути мамлюк."
 mamluk_events.11.t:0 "Карані"
 mamluk_events.11.d:0 "[Root.GovernmentName] нашої держави заснували раби-мамлюки, тому імпорт і володіння досвідченими воїнами-рабами – це той фундамент влади, на який спирається [Root.Monarch.GetTitle]. Те, що раб буде вірнішим своєму володареві, аніж будь-кому іншому на його новій батьківщині, природно, особливо якщо його можуть емансипувати за його заслуги.\nАле зараз більша частина королівських мамлюків, які обіймають посади в нашій адміністрації, судах та арміях завдяки тому, що їх купив і призначив туди $RANDOM_OLD_MONARCH$. Вони мають великий вплив, але [Root.Monarch.GetName] не може розраховувати на їхню вірність, і саме їх наші нові мамлюки звинувачують у змовах та намагаються обмежити їхній вплив."
 mamluk_events.11.a:0 "Очистимо важливі позиції від карані!"
 mamluk_events.11.b:0 "Ми не маємо іншого виходу, як довіряти їм. Зрештою, ми всі мамлюки..."
 mamluk_events.12.t:0 "Фурусія"
 mamluk_events.12.d:0 ""Фурусія – збірник кінних вправ, що вчить молодих воїнів мистецтву кінного бою. Завдяки детально описаним правилам, тренувальними посібниками та популяризації змагань і переможців, Фурусія була доведена до ідеалу мамелюцькою військовою аристократією. Хоча деякі літописці кажуть, що чемпіони сучасності навряд би змогли зрівнятися з легендами минулого, великі фурусійні змагання, що вважає за честь організовувати кожний [Root.Monarch.GetTitle], все ще залишаються популярною традицією, а переможці – героями оповідань."
 mamluk_events.12.a:0 "Це добре для людей, але не те, на що [Root.Monarch.GetTitle] витрачатиме гроші."
 mamluk_events.12.b:0 "Розширимо й збудуємо нові іподроми, щоби протегувати квітам лицарства."
 furusiyya:0 "Фурусія"
 desc_furusiyya:0 "Ми витрачаємо значні кошти на підтримку славних традицій мамелюцької держави – військових змагань серед вершників."
 STATE_JANISSARIES_MIL_POWER:0 "Вартість: $AMOUNT|Y$ £mil£"
 CREATEJANISSARIES_TEXT:0 "$EFFECT$"
 STATE_JANISSARIES_CREATED_REGIMENTS:0 "$NUM|Y$ яничарів з'явиться в провінції $PROV|Y$"
 STATE_JANISSARIES_HEATHEN_PROVINCES:1 "Загальний розвиток підконтрольних і повністю націоналізованих чужовірних провінцій цього володіння повинно бути щонайменше $AMOUNT|Y$."
 STATE_JANISSARIES_BATTLE_OR_SIEGE:0 "Ви не можете вербувати яничарів у провінції, де триває бій чи облога."
 STATE_JANISSARIES_NO_REGIMENTS:0 "Присутність чужовірців у державі $STATE|Y$ занадто низька, щоб забезпечити яничарів."
 STATE_RECRUIT_NO_SUITABLE_PROVINCE:0 "Жодна провінція в державі $STATE|Y$ не підходить для збору військ. Війська можна зібрати тільки в націоналізованих провінціях, які не окуповані, не перебувають в облозі або не є місцем, де триває битва."
 ALREADY_BULDING_TO_UNIT:0 "§RВже триває набір загонів для об'єднання з цим загоном.§!\n"
 CONFORM_TO_TEMPLATE_BUILD_DESC_ARMY:0 "$PROVS|Y$ провінцій буде використано для підготовки:\n$INF$ £infantry_icon_small£ / $CAV$ £cavalry_icon_small£ / $ART$ £artillery_icon_small£"
 CONFORM_TO_TEMPLATE_BUILD_DESC_NAVY:0 "$PROVS|Y$ провінцій буде використано для підготовки:\n$HEAVY$ £big_ship_icon_small£ / $LIGHT$ £light_ship_icon_small£ / $GALLEY$ £galley_icon_small£ / $TRANSPORT$ £transport_icon_small£"
 CONFORM_TO_TEMPLATE_MANPOWER_COST:0 "Витрати рекрутів: $VAL|Y$ £icon_manpower_in_text£\n"
 CONFORM_TO_TEMPLATE_SAILOR_COST:0 "Витрати моряків: $VAL|Y$ £icon_sailors£\n"
 CONFORM_TO_TEMPLATE_REMOVED_ARMY:0 "$NUM|Y$ – число полків, що не відповідають шаблону і будуть відокремлені."
 CONFORM_TO_TEMPLATE_REMOVED_NAVY:0 "$NUM|Y$ – число кораблів, що не відповідають шаблону і будуть відокремлені."
 ENVIRONMENT:0 "Оточення"
 OUTLINER_ARMY_QUEUE:0 "Будується для цієї армії:\n$INF$ £infantry_icon_small£ / $CAV$ £cavalry_icon_small£ / $ART$ £artillery_icon_small£\n"
 OUTLINER_NAVY_QUEUE:0 "Будується для цього флоту:\n$HEAVY$ £big_ship_icon_small£ / $LIGHT$ £light_ship_icon_small£ / $GALLEY$ £galley_icon_small£ / $TRANSPORT$ £transport_icon_small£\n"
 ADVISOR_RELIGION:0 "Релігія радника: §Y$RELIGION$§!"
 ADVISOR_CULTURE:0 "Культура радника: §Y$CULTURE$§!§z§!§Yа§!"
 NO_ADVISOR_RELIGION:0 "Релігія радника"
 NO_ADVISOR_CULTURE:0 "Культура радника"
 pasha_state:0 "Паша"
 CREATE_JANISSARIES_BUTTON:1 "Призов яничарів"
 CREATEJANISSARIES:1 "Призов яничарів"
 JANISSARIES_REGIMENT:0 "Полк яничарів\n$EFFECT$"
 RAJPUT_REGIMENT:0 "Раджпутський полк\n$EFFECT$"
 GAIN_PIETY:0 "Змістити в сторону Законництва на $VALUE|Y$"
 LOSE_PIETY:0 "Змістити в сторону Містицизму на $VALUE|Y$"
 RELIGION_VIEW_BANNER_INSTANT:0 "$NAME|Y$\n$DESC$"
 RELIGION_VIEW_BANNER_DELAYED:0 "Має такі стосунки з іншими мазгабами:\n$RELATION$"
 RELIGIOUS_SCHOOL_ITEM_ICON_INSTANT:0 "$NAME|Y$\n$DESC$"
 RELIGIOUS_SCHOOL_ITEM_ICON_DELAYED:0 "Має такі стосунки з іншими мазгабами:\n$RELATION$"
 NATIONS_WITH_TRADING_POLICY_IN_NODE:1 "\nНаступні країни застосовують цю політику у вузлі $NAME$:\n $LIST$"
 CONFORM_TO_TEMPLATE_ALREADY_MATCHES:0 "§RОбраний полк вже відповідає цьому шаблону.§!"
 ONLY_JANISSARY_MODIFIER:0 "§YВпливає лише на полки яничарів§!"
 ONLY_RAJPUT_MODIFIER:0 "§YВпливає лише на раджпутські полки§!"
 INVITE_SCHOLAR_COUNTRY_TEXT:0 "\nЗапрошення богослова зі школи, де вчать §Y[From.GetReligiousSchool]§!, дасть нам такі ефекти:"
 HAS_NOT_GENERAL_WITH_STEAM_NAME:0 "Армію не очолює генерал на ім'я $NAME|Y$."
 HAS_GENERAL_WITH_STEAM_NAME:0 "Армію очолює генерал на ім'я $NAME|Y$."
 TRADING_POLICY_TRADE_POWER:0 "$NAME|Y$ Торгова політика: $VAL$"
 TRADING_POLICY_NAME:0 "Торгова політика: $NAME|Y$"
 alert_can_use_trade_policy_instant:0 "Можна використовувати торгову політику $LIST|Y$"
 alert_can_use_trade_policy_delayed:0 "$LIST$"
 alert_can_use_trade_policy_node_list_entry:0 "$COLOR$$NAME$§!"
 RELOAD_SAVE_MULTIPLAYER:0 "Неможливо завантажити збереження, якщо воно вже завантажене в мережевій грі"
 LOAD_SAVE_CN_MULTIPLAYER:0 "Неможливо завантажити збереження після створення індивідуальної держави в мережевій грі"
 HISTORICAL_START_SAVE_MULTIPLAYER:0 "Неможливо повернутися до історичного старту після завантаження збереження в мережевій грі"
 RNW_CN_MULTIPLAYER:0 "Неможливо згенерувати випадковий Новий Світ після створення індивідуальної держави в мережевій грі"
 alert_can_invite_scholar_instant:0 "Можна запросити §Yвченого§!"
 alert_can_invite_scholar_delayed:0 "$LIST$"
 alert_can_invite_scholar_list_entry:0 "$SCHOOL|Y$\n"
 RELATION_UPKEEP_ENTRY:0 "$NATION|Y$ ($RELATION|G$)\n"
 nothingness_modifier:0 "Назбирані війська"
 COUNTRIES_AFFECTED_LIST:1 "\n\nЦе впливає на такі держави:\n$LIST$"
 STATE_JANISSARIES_GOVERNMENT_ALLOWS:0 "Яничарів можуть набирати лише держави з формою правління Османський Султанат."
 STATE_JANISSARIES_COOLDOWN:0 "Можна набирати яничарів після $DATE|Y$."
 STATE_JANISSARIES_NEED_MIL_POWER:0 "Щоб набирати яничарів потрібно $AMOUNT|Y$ £mil£"
 STATE_JANISSARIES_TITLE:0 "§YНабрати яничарів§!"
 STATE_JANISSARIES_DESC:2 "З формою правління §YОсманський султанат§!, ми можемо набирати яничарів у чужовірних провінціях. Чим більше розвитку мають чужовірні провінції, тим більше яничарів ми можемо набрати."
 RELIGIOUS_SCHOOL_MAP_ICON_TOOLTIP:0 "Держава $COUNTRY$ $FLAG$ слідує вченню мазгабу, де викладають $SCHOOL|Y$"
 DISBAND_UNIT_RETURN_MANPOWER_CAPPED:0 "Лише $NUMBER|Y$ людей повернуться до нашого резерву, оскільки ми не можемо перевищити ліміт рекрутів $MAX|Y$. Найманці не повернуться."
 CENTER_HAS_NO_PROVINCES_TO_CONVERT:0 "§RНавернення завершено! Усі відповідні провінції вже було навернено.§!\n"
 PROVINCES_LEFT_TO_CONVERT:0 "$NUM|Y$ провінцій можна навернути.\n"
 CONFIRM_HOTJOINERS:0 "Підтвердити гаряче приєднання гравців"
 ACCEPTED_HOTJOINERS:0 "У гру зайдуть такі гравці:"
 DECLINED_HOTJOINERS:0 "Ці запити буде відхилено:"
 MODIFIER_DRILL_DECAY_MODIFIER:1 "Втрата полкової муштри"
 RELIGION_VIEW_NO_SCHOOL_TOOLTIP:0 "На даний момент ви не слідуємо вченню жодного мазгабу."
 PASHA_WRONG_GOVERNMENT:0 "\n§RТільки країни з формою правління §!§YОсманський Султанат§!§R можуть призначати пашу.§!"
 PASHA_CORRECT_GOVERNMENT:0 "З формою правління §YОсманський султанат§! ми можемо призначати пашу в наших володіннях.\n"
