l_ukrainian:
 nw_native_ideas:0 "Ідеї тубільців Північного Заходу"
 colonial_nation.189.a:0 "[Root.Adm_Advisor.GetName] з цим розбереться."
 colonial_nation.189.b:0 "Ми завжди можемо попросити посередництва Церкви."
 colonial_nation.189.c:0 "Деякі чутки щодо їхньої репутації можуть виявитися дуже доречними..."
 colonial_nation.189.e:0 "Хапайте цих крамольників!"
 colonial_missionaries:0 "Колоніальні місіонери"
 desc_colonial_missionaries:0 "Для збереження миру в нашій колонії було відправлено релігійних місіонерів."
 colonial_nation.190.t:1 "Відсутній [Root.GetLowLevelOfficialForCountry]"
 colonial_nation.190.d:1 "Подейкують, що [Root.GetLowLevelOfficialForCountry], якого так люб'язно призначи[Root.GetMEndVLa] [Root.Monarch.GetTitle] [Root.Monarch.GetName] піклуватися про нашу колонію, як виявилося, вже довгий час ухиляється від виконання своїх обов'язків. Його бачили на різних бенкетах і балах прямо тут, [Root.Get_UV] [Root.GetTagDE], що досить таки... далеко від місця його служби.\nЗрозуміло, що бунт проти правителя, якого немає на місті, приречений на успіх, а тому при дворі не стала несподіванкою звістка про небезпечне повстання в провінції [absent_governor_province.GetName]. У результаті, коли йому надали всі ці факти, він заявив: 'Ці комарі їли мене живцем!'"
 colonial_nation.190.a:1 "Йому більше не доведеться турбуватися про комарів..."
 colonial_nation.191.t:0 "Очей тут немає"
 colonial_nation.191.d:0 "Очей тут немає. У цій порожній долині голоси зникають швидше, ніж настає темрява, від цієї темряви неможливо втекти, бо тікати нікуди. Тут завмерло життя і дням втрачається рахунок, кожен день одночасно наступний і попередній, вони настільки переплетені, як діамантове намисто.\nІ ось одного разу пташиний спів повертається. І це звичайний день, за винятком птахів. І їхніх голосів. І того факту, що він не схожий на будь-який інший день. А потім з'явилася дитина. Маленька дитина, звичайна дитина. Вона й раніше намагалася тікати з селища, але завжди поверталася, хоч би скільки разів вона йшла і як далеко не йшла, вона завжди повертається, беззвучно сідаючи на ґанку.\nІ сьогодні вона знову йде. І знову вертається. А коли вона повертається, у дзьобах всіх птахів в селищі виростають квіти, їхні співочі голоси заглушаються – і знову відновлюється тиша. І багато-хто каже, що це диво, бо квіти – це така коштовність, а спокій селища настільки важливий, що ми в жодному разі не повинні втратити його, ми не сміємо його втратити."
 colonial_nation.191.a:0 "Ми могли б скористатися цим для залучення паломників."
 colonial_nation.191.b:0 "Треба негайно повідомити Папську державу!"
 miraculous_colony:0 "Диво в колонії"
 desc_miraculous_colony:0 "Щойно в колонії сталося диво."
 colonial_nation.191.c:0 "Це повна нісенітниця."
 volcano_events.1.t:0 "Початок вогню"
 volcano_events.1.d:0 "У темряві, що охопила ніч, вогняні потоки стрімко хлинули з пагорба, немов відкрита рана, їхню різку червоність неможливо було ігнорувати. Немов нетерплячий мисливець, пломінка лавина вулканічного попелу слідувала за ними, її відкритий рот жадав зжерти все на своєму шляху, доки голод, нарешті, остаточно не вгамується."
 volcano_events.1.d2:0 "У темряві, що охопила ніч, пролунав громоподібний звук, подібний до першого серцебиття гори. З дрімаючого кратера піднялася колона попелу і диму, в страху за своє життя – несамовитий вибух народження природи. Довколишні села закидало розпеченим камінням, а за ним, немов нетерплячий мисливець, пішла лавина палаючого вулканічного попелу."
 volcano_events.1.a:0 "Природа нас покарала."
 monument_events.1.t:0 "Монумент у провінції [monument_province.GetName]!"
 monument_events.1.d:0 "Будівництво нашого монументу в провінції [monument_province.GetName] нарешті завершено! Люди з усієї країни збираються перед його вражаючою постаттю, як допитливі діти. Уражені цим дивом, вони радіють своїй приналежності до [Root.GetTagOGO]."
 monument_events.1.a:0 "Сьогодні день святкування."
 monument_events.2.t:0 "Рука допомоги"
 monument_events.2.d:0 "Один з наших найвідоміших і найшанованіших масонів звернувся до [Root.Monarch.GetTitleOGO] сьогодні вранці, висловивши свою стурбованість станом монументу в провінції [monument_province_2.GetName]. 'М[Root.GetMEndIJA] дорог[Root.GetMEndAYJ] [Root.Monarch.GetTitleKLY], у мене серце аж крається, коли я бачу таку прекрасну споруду, недбало покинуту, залишену наодинці з небезпекою часу та погоди. Прошу вас, дозвольте мені допомогти її відновити.'"
 monument_events.2.a:0 "Ми повинні негайно взяти його на роботу."
 monument_events.2.b:0 "У нас немає на це часу."
 monumental_pride:0 "Монументальна гордість"
 desc_monumental_pride:0 "Будівництво однієї з найбільших пам'яток нашої країни наповнює серця наших людей гордістю за те, що вони є частиною нашої держави!"
 monument_boost:0 "Благоустрій монументів"
 desc_monument_boost:0 "Залучення найкращих каменярів в нашій країні допомогло оптимізувати будівництво наших монументів."
 monument_church_of_the_people:0 "Народна Церква"
 desc_monument_church_of_the_people:1 "Від простого селянина до вищих священнослужителів – всіх наших підданих [Root.GetGovernmentOGO] вітають в базиліці Святого Петра."
 monument_events.3.t:0 "Дім Господній"
 monument_events.3.d:0 "Бог всюди має очі, але Його всюдиприсутність повинна знайти місце для відпочинку. Завершено будівництво базиліки Святого Петра, а дім Господній тепер готовий запропонувати таке відповідне місце відпочинку. Звідти [Root.Monarch.GetTitleKHTO] [Root.Monarch.GetName] здатн[Root.GetMEndAY] за всім спостерігати, оскільки є частиною очей Божих. Найшанованіші члени Церкви порадили нам провести велику месу, щоб відсвяткувати та вшанувати цей момент радості."
 monument_events.3.a:0 "Ми повинні запросити наших союзників!"
 monument_events.3.b:0 "Це народна Церква"
 opinion_st_peters:0 "Інавгураційна меса в базиліці Святого Петра"
 monument_events.4.t:0 "Паломники прибувають до провінції [pagoda_province.GetName]"
 monument_events.4.d:0 "Позолочена краса пагоди Шведагон не залишилася непоміченою. Після завершення її будівництва паломники з усього буддійського світу почали прибувати до провінції [pagoda_province.GetName], щоб піднести свої молитви."
 monument_events.4.a:0 "Це ідеальний момент для оподаткування паломників."
 monument_events.4.b:0 "Ми повинні пожертвувати квіти та свічки для підношень."
 shwedagon_pilgrimage:0 "Паломництво до пагоди Шведагон"
 desc_shwedagon_pilgrimage:0 "Приплив паломників сприяв зростанню нашої скарбниці."
 monument_events.5.t:0 "Завершення Боробудура"
 monument_events.5.d:0 "Є ряд речей, які нескінченні у своїй концепції. Віра – одна з них. Після відновлення Боробудура сила нашої нації стала візуально очевидною, символом нашого гордого минулого та нашого світлого майбутнього."
 monument_events.5.a:0 "Це покаже нашу перевагу над державою [MAJ.GetName]."
 monument_events.5.b:0 "Це покаже нашу перевагу над державою [SUN.GetName]."
 monument_events.5.c:0 "Ми повинні відправити когось з нашої ради про це подбати."
 monument_events.5.e:0 "Це стане потужним капіталом."
 opinion_trent:0 "Тридентський Собор"
 coup_attempt_disaster:0 "Спроба державного перевороту"
 coup_attempt_disaster_desc:0 "У тінях ходять люди, які намагаються повалити нашого правителя."
 coup_attempt_disaster_resolved_tt:0 "Переворот закінчився"
 plot_has_succeeded_or_failed:0 "Наслідки перевороту §Yусунуто§!"
 plot_failed_tooltip:0 "Змова провалилася"
 plot_succeeded_tooltip:0 "Змова вдалася"
 coup_in_palace_events.6.b:0 "Корона перемогла!"
 tot_ceramics_discovered:0 "Відкрито кераміку"
 desc_tot_ceramics_discovered:0 "Відкриття старовинної кераміки допоможе нам вдосконалити власні техніки гончарства."
 ancestor_just_personality_die_desc:0 "Нашому народу не вистачатиме [Root.GetMJOGO] справедливих і неупереджених рішень."
 ancestor_righteous_personality_die_desc:0 "Наші люди оплакують смерть само[Root.GetMEndJiGO] доброчесно[Root.GetMEndJiGO] [Root.Monarch.GetTitleOGO] в нашому житті."
 ancestor_tolerant_personality_die_desc:0 "Наші релігійні меншини оплакуватимуть кончину [Root.Monarch.GetTitleOGO] – людини великої толерантності."
 ancestor_kind_hearted_personality_die_desc:0 "Наші люди пам'ятатимуть [Root.Monarch.GetHerHim] як добросердечн[Root.GetMEndUOgo] та любляч[Root.GetMEndUOgo] [Root.Monarch.GetTitlePRO]."
 ancestor_free_thinker_personality_die_desc:0 "[Root.GetMSheHeCap] ніколи не бояв[Root.GetMEndVSia] порушити старі традиції, щоб досягти наших цілей."
 ancestor_well_connected_personality_die_desc:0 "Без сумніву, [Root.GetMSheHe] тепер вже встановлює цінні контакти у потойбічному світі."
 ancestor_calm_personality_die_desc:0 "[Root.GetMSheHeCap] несе мир і порядок нашому народові."
 ancestor_careful_personality_die_desc:0 "[Root.GetMJOGOCap] добре сплановані рішення зміцнили наші позиції у світі."
 ancestor_secretive_personality_die_desc:0 "Безперечно, [Root.GetMSheHe] забра[Root.GetMEndVLa] багато своїх секретів з собою в могилу."
 ancestor_intricate_web_weaver_personality_die_desc:0 "[Root.GetMSheHeCap] оплакується армією інформаторів."
 ancestor_benevolent_personality_die_desc:0 "Наші піддані оплакують смерть такого милосердного володаря."
 ancestor_zealot_personality_die_desc:0 "[Root.GetMJOGOCap] енергія та впевненість привели багатьох невірних до лона церкви."
 ancestor_pious_personality_die_desc:0 "Можливо, ми ніколи більше не взнаємо [Root.Monarch.GetTitleOGO] такої чесноти та духовного зростання."
 ancestor_lawgiver_personality_die_desc:0 "Врешті-решт, усі ми постанемо перед судом."
 ancestor_midas_touched_personality_die_desc:0 "[Root.GetMJOGOCap] талант знаходити гроші де завгодно зробив нас багатшими людьми."
 ancestor_incorruptible_personality_die_desc:0 "[Root.GetMJOGOCap] сильний характер зробив наші землі чеснішим місцем."
 ancestor_architectural_visionary_personality_die_desc:0 "Пам'ять про н[Root.GetMEndEJijogo] назавжди залишиться в тих численних будівлях, які [Root.GetMSheHe] залиши[Root.GetMEndVLa] після себе."
 ancestor_scholar_personality_die_desc:0 "[Root.GetMJOGOCap] наукова діяльність принесла нашому народові як інновації, так і популярність."
 ancestor_entrepreneur_personality_die_desc:0 "[Root.GetMSheHeCap] сформува[Root.GetMEndVLa] економічне життя свого часу."
 ancestor_industrious_personality_die_desc:0 "Нам дуже бракуватиме [Root.GetMJOGO] невпинних зусиль щодо покращення нашої економіки."
 ancestor_expansionist_personality_die_desc:0 "Наші колоністи оплакуватимуть втрату свого великого благодійника."
 ancestor_charismatic_negotiator_personality_die_desc:0 "Без н[Root.GetMEndEJijogo] переговори з іноземними державами здаватимуться тихими та смутними."
 ancestor_silver_tongue_personality_die_desc:0 "[Root.GetMJOGOCap] солодкі промови тримали світ в страху. Хто нас тепер захищатиме?"
 ancestor_conqueror_personality_die_desc:0 "Після [Root.GetMJOGO] кончини наші вороги, безсумнівно, відчують полегшення."
 ancestor_tactical_genius_personality_die_desc:0 "[Root.GetMJOGOCap] хитромудрий маневр залишив наших ворогів приголомшеними і збитими з пантелику."
 ancestor_bold_fighter_personality_die_desc:0 "[Root.GetMJOGOCap] сміливі атаки на ворожі лінії справили незабутнє враження на кожного воїна [Root.GetMJOGO] покоління."
 ancestor_strict_personality_die_desc:0 "[Root.GetMJOGOCap] постійний нагляд завжди тримав нас у напрузі."
 ancestor_inspiring_leader_personality_die_desc:0 "[Root.GetMSheHeCap] надихну[Root.GetMEndVLa] покоління взяти зброю проти наших ворогів."
 ancestor_martial_educator_personality_die_desc:0 "Правила, які [Root.GetMSheHe] створи[Root.GetMEndVLa] для наших воєначальників, використовуватимуться наступними поколіннями."
 ancestor_navigator_personality_die_desc:0 "[Root.GetMJOGOCap] захоплення морем залишило нам сильний флот."
 ancestor_fierce_negotiator_personality_die_desc:0 "[Root.GetMJOGOCap] жорсткі переговори залишили лідерів найманців у бідності по всіх наших землях."
 merchant_basileus_personality_die_desc:0 "Нам не вистачатиме [Root.Monarch.GetHerHis] позитивного впливу на нашу скарбницю."
 pillaged_rival_capital_state:0 "Пограбували столицю суперника"
 requested_relative_on_throne:0 "Запросили свого спадкоємця"
 custom_yearly_zeal:0 "Вогонь революції"
 custom_yearly_zeal_desc:0 "У серцях наших людей палає вогонь революції! Вони хочуть змінити світ назавжди!"
 custom_missionary_strength_heretics:0 "Віддані інквізитори"
 custom_missionary_strength_heretics_desc:0 "На відміну від чужовірців, єретики вважають себе частиною нашої релігійної групи. Хоча це й може бути правдою, але вони все одно надто далекі від справжньої істинної віри. На щастя, наші місіонери – віддані інквізитори і навчать кожного єретика, що тільки наша віра істинна!"
 custom_missionary_strength_heathens:0 "Розумні місіонери"
 custom_missionary_strength_heathens_desc:0 "Наші місіонери – не звичайні проповідники, а розумні істоти, які використовують факти та логіку на додаток до своєї ревності, щоб переконати чужовірців у нашій правоті."
 custom_missionary_maintenance:0 "Скриньки для пожертв"
 custom_missionary_maintenance_desc:0 "Кожен місіонер має власну скриньку для пожертв. Щоразу, коли вони проповідують істинну віру, вони пасивно збирають пожертвування зацікавлених."
 custom_idea_slave_raiders_on_same_religion:0 "Піратське товариство"
 custom_idea_slave_raiders_on_same_religion_desc:0 "Our nation may be not in name a Pirate Nation, but we definitely have the reputation of one. Our society is built on plunder and raids and our government is completely embracing the villainy."
 custom_tribal_development_growth:0 "Прискорене зростання племені"
 custom_tribal_development_growth_desc:0 "The life in the wild is not an easy one and not many tribes can grow fast enough to overcome the challenges of Mother Nature. By focusing on the growth of our tribe, we can ensure that we will withstand the wilds."
 custom_great_project_upgrade_cost:0 "Великі інженери"
 custom_great_project_upgrade_cost_desc:0 "Sometimes a single great personality can change everything. In this case, a single engineer can construct any great wonder of our nation in a matter of a few moments."
 custom_all_power_cost:0 "Інтелектуальний бафф"
 custom_all_power_cost_desc:0 "According to our folkstale, some weird wizard came into our court a long time ago and gave our rulers a blessing, which decreases the "mana costs of our spells". To this day, nobody of us knows what this madman was referring to..."
 custom_country_admin_power:0 "Особисті секретарі"
 custom_country_admin_power_desc:0 "Not every ruler really wants to do all the paperwork associated with his job. Luckily for them, secretaries are a thing."
 custom_monthly_splendor:0 "Чудова імперія"
 custom_monthly_splendor_desc:0 "Our nation is a country of culture and prestige. Everyone around us will envy us for our splendor!"
 custom_monthly_heir_claim_increase:0 "Заняття полюванням"
 custom_monthly_heir_claim_increase_desc:0 "A young heir must prove himself before the nobles and show them that he is more than valid for the throne. As such, our heir goes regularly on hunting sessions with the nobles in order to strengthen the bound between them.\nHopefully, there will be no accidents on the way..."
 custom_monthly_support_heir_gain:0 "Підтримка дворянства"
 custom_monthly_support_heir_gain_desc:0 "Through smart internal diplomacy, we can manipulate the decision-making of the nobility and ensure their support for our local heir."
 custom_monthly_federation_favor_growth:0 "Люлька миру"
 custom_monthly_federation_favor_growth_desc:0 "The tribes may have many topics of conflicts, but nobody can say no to a relaxing round of smoking the pipe of peace."
 custom_yearly_tribal_allegiance:0 "Вірність племен"
 custom_yearly_tribal_allegiance_desc:0 "Our tribes have a high position in the government of our nation and as such they enjoy higher privileges. In return, they have sworn their allegiance and loyalty to our court."
 custom_imperial_mandate:0 "Легітимність Небес"
 custom_imperial_mandate_desc:0 "There were many clans and realms, who tried to claim the Mandate of Heaven, but only we truly have the legitimacy to do so."
 custom_election_cycle:0 "Передвиборчий ентузіазм"
 custom_election_cycle_desc:0 "Our people are true advocates of democracy. As a result, our rulers have to prove themselves in front of the voters more frequently than in other republics."
 custom_reelection_cost:0 "Влада над сенатом"
 custom_reelection_cost_desc:0 "Our elected ruler is above any other authority and even has claimed the power of our national senate. He unites both the position of our ruler and our senate."
 custom_state_governing_cost:0 "Субсидії на ратуші"
 custom_state_governing_cost_desc:0 "Although our realm desires an absolute rule over the states, a split of power is not unavoidable. By subsidizing the local town halls of the states we can ensure that the governing process is going as we want and that the local administrators stay loyal to the crown."
 custom_trade_company_governing_cost:0 "Автономні торгові компанії"
 custom_trade_company_governing_cost_desc:0 "Ruling over land is always administrative exhausting - especially if it is land in foreign regions on other continents. By giving the trade companies more autonomy, they can manage this land on their own without additional help from the court."
 custom_expand_administration_cost:0 "Понаднормова робота"
 custom_expand_administration_cost_desc:0 "A good ruler needs to be a good example for their subjects in every aspect of the realm - even if these aspects are doing overtime in the office in order to expand the administration."
 custom_curia_powers_cost:0 "Папські родичі"
 custom_curia_powers_cost_desc:0 "Some of our ruler's family members are important cardinals of the Holy See. We can use them to get away more easily with some of the favors we take from the Pope."
 custom_prestige_per_development_from_conversion:0 "Змагання місіонерів"
 custom_prestige_per_development_from_conversion_desc:0 "Our missionaries have decided to prove their skills in an international contest of fervor and conversions. With each converted province, our realm enjoys the envy of our brothers and sisters in faith!"
 custom_good_monthly_karma:0 "Благословенна карма"
 custom_good_monthly_karma_desc:0 "The past lives of our court have been ones of humility and piety. It seems like their past deeds have blessed our nation..."
 custom_bad_monthly_karma:0 "Проклята карма"
 custom_bad_monthly_karma_desc:0 "All of our court used to be people who poured water over kittens in their past lives. The karma from these actions still curses our realm..."
 custom_min_autonomy_in_territories:0 "Представники Корони"
 custom_min_autonomy_in_territories_desc:0 "Keeping control over vast amounts of territories can be tedious and the many people living there are hard to keep track of. With the use of royal representatives, our monarch can ensure to keep the autonomy of these territories at bay."
 custom_free_policy:0 "Надійна влада"
 custom_free_policy_desc:0 "Our ruler has promised to establish and maintain a policy. This is very uncommon for any ruler of any time period."
 custom_possible_policy:0 "Open-minded Government"
 custom_possible_policy_desc:0 "Being stoic and staying only one of the path of policies leads to an outdated government. We need to be open for new ideas and policies and enact them when necessary."
 custom_innovativeness_gain:0 "Innovative Innovations"
 custom_innovativeness_gain_desc:0 "Our science is the best in the world! Everyone who denies it is an utter fool!"
 custom_trade_company_investment_cost:0 "International Investors"
 custom_trade_company_investment_cost_desc:0 "Upgrading the trade companies is expensive. Very expensive. But with the money of foreign investors, we can finance this enterprise without any issue."
 custom_admiral_cost:0 "Expanded Naval Officers"
 custom_admiral_cost_desc:0 "While our admirals are the very best the naval world has to offer, they are very expensive to replace when one of them falls in battle. By expanding the naval officers, we have greater access to talented sailors, who might be the newest generation of great admirals."
 custom_global_naval_barrage_cost:0 "Organized Naval Attacks"
 custom_global_naval_barrage_cost_desc:0 "A strategic naval bombardment requires a lot more planning than it might appear. With a better organization of our ships and cannons, we can speed the planning process up and save resources while shredding through the defenses of our enemies!"
 custom_accept_vassalization_reasons:0 "Unnatural Charisma"
 custom_accept_vassalization_reasons_desc:0 "With only one hand gesture, our ruler can persuade even the most stubborn king to become our subject. Some think our ruler has unnatural powers while others think the ruler is just very charismatic."
 custom_transfer_trade_power_reasons:0 "Convincing Trade Agreements"
 custom_transfer_trade_power_reasons_desc:0 "The agreement is easy: You give us your trade power. I make more money. And you stay alive. Deal?"
 custom_country_diplomatic_power:0 "Diplomatic Council"
 custom_country_diplomatic_power_desc:0 "Not every task belongs to the ruler. Many important jobs regarding diplomacy, trade, and the navy are handled by a council of thirteen members. One of each is just slightly under our ruler in the chain of command and is the most secretive figure in our realm."
 custom_discovered_relations_impact:0 "Reverse Psychology"
 custom_discovered_relations_impact_desc:0 "Sometimes spies get caught. There's nothing we can do to prevent it. However, by using reverse psychology we can convince the other nations that they actually wanted to be spied on sixty percent of the time."
 custom_center_of_trade_upgrade_cost:0 "Volunteers Investment"
 custom_center_of_trade_upgrade_cost_desc:0 "By promising new homes and work, we can motivate the Burghers to invest in the centers of trade voluntarily. We should probably make sure that we keep our promise though..."
 custom_ship_power_propagation:0 "Painted Trade Ships"
 custom_ship_power_propagation_desc:0 "As we all know, trade ships with fancy and aggressive colors are faster and more menacing and therefore are scaring the competition away."
 custom_expel_minorities_cost:0 "Parting Gifts"
 custom_expel_minorities_cost_desc:0 "Expelling minorities is associated with a lot of horrible things like persecution and discrimination. We won't stand for that and instead will go a morally more correct way: by paying the minorities in Ducats and land of the New World, we can motivate them to leave our country without our government actually going after them."
 custom_colonist_placement_chance:0 "Comfortable Housing"
 custom_colonist_placement_chance_desc:0 "We are providing our colonists with comfortable and safe houses in the New World to ensure their survival and to cover all their needs."
 custom_appoint_cardinal_cost:0 "Cardinals for the World"
 custom_appoint_cardinal_cost_desc:0 "We cannot allow money to become the bottleneck for the authority of Catholicism in the world. By choosing the cardinals, who are more devoted to God than the Ducat, everyone in the world can enjoy a cardinal or two."
 custom_enforce_religion_cost:0 "Grand Crusade"
 custom_enforce_religion_cost_desc:0 "Our warriors fight with piety and devotion no heathen or heretic as seen before. Every heathen or heretic is more open to the idea to join our religion thanks to our soldiers' show of military and religious dominance."
 custom_promote_culture_cost:0 "Cultural Melting Pot"
 custom_promote_culture_cost_desc:0 "Our country is the melting pot of many great cultures. Accepting a new culture is for us just as natural as breathing."
 custom_rival_change_cost:0 "Ворог мого ворога..."
 custom_rival_change_cost_desc:0 "Rivalry is not a stoic system, and it is often than not beneficial to drop a previous rivalry in order to focus on a much larger threat."
 custom_global_ship_repair:0 "Provided Naval Supplies"
 custom_global_ship_repair_desc:0 "Repairing a ship requires two things: the manpower to repair them and the supplies. With a better organization, we can ensure that a good chunk of the naval supplies are always ready when a damaged ship arrives at any of our ports."
 custom_global_ship_cost:0 "Традиції суднобудівників"
 custom_global_ship_cost_desc:0 "We have a long history of constructing cost-efficient yet high-quality ships and as such we know where we can cut corners with the costs of a new ship."
 custom_yearly_army_professionalism:0 "Військознавство"
 custom_yearly_army_professionalism_desc:0 "Every one of our soldiers will spend a certain amount of time in the military school to learn the basics of warfare. This way, our armies will be built upon theoretical professionals.\nAll they need is now actual war experience to make them to actual professionals..."
 custom_drill_gain_modifier:0 "Симулятори війни"
 custom_drill_gain_modifier_desc:0 "Many generals train their troops just the basics of warfare and how to behave. They use moderate, if not too humane ways to drill their troops. Our army is different in that regard as they are drilled by a major, who likes to make the lives of the soldiers as hard and realistic as possible by using our own cannons against them during training."
 custom_drill_decay_modifier:0 "Суворі офіцери"
 custom_drill_decay_modifier_desc:0 "Soldiers tend to forget their training during times of peace or during phases of recovering from a battle. Our more than harsh officers will prevent that from happening."
 custom_infantry_fire:0 "Навчальна стрільба"
 custom_infantry_fire_desc:0 "The infantry of our country are training their aim skills every day without any pause. Their aim is both precise and deadly."
 custom_infantry_shock:0 "Hand-to-Hand Combat Expertise"
 custom_infantry_shock_desc:0 "While having a ranged weapon is always better than having only a melee weapon is of course better, it is not guaranteed in the chaos of the battle. In order to avoid unnecessary deaths, all of our troops are trained in wielding swords, pikes, and even in unarmed combat."
 custom_cavalry_fire:0 "Дисципліновані коні"
 custom_cavalry_fire_desc:0 "The cavalry always struggled to use range weapons consistently as their horses rarely stayed calm during the heat of the battle. This however changed with the introduction of disciplined horses, who are used to the sounds of gun and cannon fires."
 custom_cavalry_shock:0 "Chaaaarrrrge!"
 custom_cavalry_shock_desc:0 "Order and discipline are for the soldiers before and after the fight. During the fight, however, there is only one rule for the cavalry: Chaaaarrrrge!"
 custom_artillery_shock:0 "Фронтальна артилерія"
 custom_artillery_shock_desc:0 "Sometimes, artillery only is indeed the only right option."
 custom_reserves_organisation:0 "Холодна ефективність"
 custom_reserves_organisation_desc:0 "Our troops have gone through so much emotional and physical pain during their training, the loss of their comrades has become irrelevant to them."
 custom_global_supply_limit_modifier:0 "Логістичні серця"
 custom_global_supply_limit_modifier_desc:0 "In an unexplainable chain of events, our general staff managed to get logistic plans, which are way above anything similar during this time period. While we will never know how they got these plans, they still will come in handy when organizing our troops in our own country."
 custom_general_cost:0 "Розширити військові ранги"
 custom_general_cost_desc:0 "By increasing the amount of officers in the military, we will have a bigger pool of competent people, who can serve as great generals for our country."
 custom_raze_power_gain:0 "Набіги і грабунок"
 custom_raze_power_gain_desc:0 "Let's be real: is there anything more satisfying than leveling entire cities, raiding their wealth, and pillaging their homes?\nOh, there is? Well, not in this country!"
 custom_manpower_in_true_faith_provinces:0 "Релігійний призов"
 custom_manpower_in_true_faith_provinces_desc:0 "Military and religious institutions are usually separated, but in a country with deep religious roots like ours, it is only natural that the people of the true faith are ready to fight in our military."
 custom_country_military_power:0 "Військовий уряд"
 custom_country_military_power_desc:0 "Every member of our government does his normal duty just as expected. However, atop of that they are also all serving as high generals in our military and provide our ruler with additional ideas and suggestions for the militaristic future of our country."
 custom_cb_on_religious_enemies:0 "Deus Vult! (Так хоче Бог)"
 custom_cb_on_religious_enemies_desc:0 "There are way too many reasons why we should declare war on the religious infidels around us. But one reason can be always used: Deus Vult!"
 custom_idea_claim_colonies:0 "Колоніальні амбіції"
 custom_idea_claim_colonies_desc:0 "Світ набагато більший, ніж багато хто думає, а наша доля – підкорити його величезні порожні простори!"
 custom_reduced_stab_impacts:0 "Внутрішня пропаганда"
 custom_reduced_stab_impacts_desc:0 "Diplomatic actions, which are seen as radical or unreasonable, have always brought instability to a country. We can reduce the tumults by using well explaining propaganda and show our people, that our decisions were only logical."
 custom_extra_manpower_at_religious_war:0 "Релігійні воїни"
 custom_extra_manpower_at_religious_war_desc:0 "The men, who are devoted to the one true faith, tend to be also devoted to their one true country. These warriors are more than happy to join us in our cause against the enemies of our faith!"
 custom_may_explore:0 "Поклик до пригод"
 custom_may_explore_desc:0 "This world has so much to offer: so many wonders to be discovered, so many opportunities to be used and so many hidden treasures waiting for us! It would be foolish if we not follow the call of the adventure and discover the great world!"
 commission_some_rock_art_title:0 "Створити якесь скеляне мистецтво"
 alcheringa_events.1.t:0 "Історії палава про Мойні"
 alcheringa_events.1.d:0 "Палава ізольовані та відокремлені від решти континенту, тому вони мають свої власні історії сновидінь, зовсім не схожі на ті, що зустрічаються на материку. Після того, як ми об'єднали їх під своїм прапором та інтегрували їхні історії з нашими, наші люди отримали доступ до безлічі нових історій сновидінь!"
 alcheringa_events.1.a:0 "Чудово"
 alcheringa_events.2.t:0 "[Root.GetAdjective]і історії про Адноартину"
 alcheringa_events.2.d:0 "Багато історій розповідають про великі битви між титанами, які стикаються між собою. Так само як титани, ми зіткалися з нашими суперниками та перемагали їх в легендарних битвах. Наш героїзм не поступається героїзму героїв з історій сновидінь!"
 alcheringa_events.2.a:0 "Чудово"
 alcheringa_events.3.t:0 "Історії про Лумалуму"
 alcheringa_events.3.d:0 "Протягом багатьох років макасарці були єдиними торговцями, яких коли-небудь знала Австралія, але не більше. Завдяки об'єднанню острова Сулавесі, ми можемо вільно контролювати торгівлю в Макасарі та доставляти наші товари через моря до Китаю та Індонезії.\nОсь так випадково буває, один із цих товарів справді містив записи, що зображають Історії сновидінь про Лумалуму! Звичайно, наші духовні лідери були дуже зацікавлені в тому, щоб включити їх до нашої колекції історій сновидінь."
 alcheringa_events.3.a:0 "Чудово"
 alcheringa_events.4.t:0 "Історії про сестер Джункгао"
 alcheringa_events.4.d:0 "Колись наші люди перетинали морські простори на суднах, здатних здійснювати міжконтинентальні подорожі, але пишні береги Австралії зробили самовдоволеними – до цього часу. Завдяки будівництву флоту пробудився мандрівний дух нашого народу і надихнув його на відтворення історій сновидінь про сестер Джункгао."
 alcheringa_events.4.a:0 "Чудово"
 alcheringa_events.5.t:0 "Історії про Вагіла"
 alcheringa_events.5.d:0 "Завдяки нашому наростальному впливу на море, наші люди встановили контакт з Імператором Драконів. Звичайно, ми одразу визнали в ньому посередника Вагіла і створили Історії сновидінь, котрі розповідають про його велич."
 alcheringa_events.5.a:0 "Чудово"
 alcheringa_events.6.t:0 "Ісламські сновидіння"
 alcheringa_events.6.d:0 "Небагато іноземців знають про те, що треба плисти в Австралію, щоб скористатися її багатствами, але макасарці знають, що ми багаті та гідні торгової подорожі. Ці макасарці приносять із собою дивні історії про іноземних богів, і ми можемо багато чого навчитися у них у розумінні сновидінь."
 alcheringa_events.6.a:0 "Чудово"
 alcheringa_events.7.t:0 "Дхарма"
 alcheringa_events.7.d:0 "Люди дхармічних релігій слідують багатьом богам і приймають різні форми. Вивчаючи їхні шляхи глибше, ми отримали кілька унікальних бачень Часу сновидінь."
 alcheringa_events.7.a:0 "Чудово"
 alcheringa_events.8.t:0 "Сон про Баіаме"
 alcheringa_events.8.d:0 "До берегів Австралії прибувають чужинці, проповідуючи хрест і давнезного мученика. Хоча ми не приймемо цю нову віру всім серцем, ці нові одкровення, безсумнівно, вплинуть на круговид Історій сновидінь."
 alcheringa_events.8.a:0 "Чудово"
 alcheringa_events.9.t:0 "Духи"
